// <0000> 吉野＿体験版
<0036> 吉野＿体験版

// <0037> 「上等だ。そんなテメェの吠え面、見物だな」
<0037> 「上等だ。そんなテメェの吠え面、見物だな」

// <0038> 吉野＿体験版
<0038> 吉野＿体験版

// <0039> 「…放課後だ。忘れるんじゃねぇぞ」
<0039> 「…放課後だ。忘れるんじゃねぇぞ」

// <0040> 瑚太朗＿体験版
<0040> 瑚太朗＿体験版

// <0041> 「ああ、理解（わか）っている」
<0041> 「ああ、理解（わか）っている」

// <0042> 狂犬とまで呼ばれる吉野との、熱い、火花散る約束。
<0042> 狂犬とまで呼ばれる吉野との、熱い、火花散る約束。

// <0043> その約束をあっさり忘れて、放課後まっすぐ帰宅した。
<0043> その約束をあっさり忘れて、放課後まっすぐ帰宅した。

// <0044> 俺はあまりにもいい加減な男だった。
<0044> 俺はあまりにもいい加減な男だった。

// <0045> 瑚太朗＿体験版
<0045> 瑚太朗＿体験版

// <0046> 「うはははは」
<0046> 「うはははは」

// <0047> 約束を思い出すこともなく、夜はテレビを堪能した。
<0047> 約束を思い出すこともなく、夜はテレビを堪能した。

// <0048> 瑚太朗＿体験版
<0048> 瑚太朗＿体験版

// <0049> 「わはははは」
<0049> 「わはははは」

// <0050> 約束を思い出すこともなく、土曜の休みは町で遊んだ。
<0050> 約束を思い出すこともなく、土曜の休みは町で遊んだ。

// <0051> 約束破りに気づいたのは夜のことだった。
<0051> 約束破りに気づいたのは夜のことだった。

// <0052> 後悔するがもう遅い。
<0052> 後悔するがもう遅い。

// <0053> 吉野には今度あやまっておけばいいだろうと思い、寝た。
<0053> 吉野には今度あやまっておけばいいだろうと思い、寝た。

// <0054> こういう人を舐めたように見えるところが、吉野に嫌われる原因なのかも知れない。
<0054> こういう人を舐めたように見えるところが、吉野に嫌われる原因なのかも知れない。

// <0055> 
<0055> 

// <0056> dummy
<0056> dummy

// <0057> bgm034
<0057> bgm034

// <0058> sys20_adv00
<0058> sys20_adv00

// <0059> bg003
<0059> bg003

// <0060> sys20_adv00
<0060> sys20_adv00

// <0061> cgm_ys15
<0061> cgm_ys15

// <0062> sys20_adv00
<0062> sys20_adv00

// <0063> cgm_ys19
<0063> cgm_ys19

// <0064> sys20_adv00
<0064> sys20_adv00

// <0065> cgm_ys20
<0065> cgm_ys20

// <0066> sys20_adv00
<0066> sys20_adv00

// <0067> cgm_ys19
<0067> cgm_ys19

// <0068> sys20_adv00
<0068> sys20_adv00

// <0069> cgm_ys20
<0069> cgm_ys20

// <0070> sys20_adv00
<0070> sys20_adv00

// <0071> cgm_ys17
<0071> cgm_ys17

// <0072> sys20_adv00
<0072> sys20_adv00

// <0073> cgm_ys10
<0073> cgm_ys10

// <0074> sys20_adv00
<0074> sys20_adv00

// <0075> cgm_ys12
<0075> cgm_ys12

// <0076> sys20_adv00
<0076> sys20_adv00

// <0077> cgm_ys19
<0077> cgm_ys19

// <0078> sys20_adv00
<0078> sys20_adv00

// <0079> sys20_adv00
<0079> sys20_adv00

// <0080> kuro
<0080> kuro

// <0081> sys20_adv00
<0081> sys20_adv00

// <0082> bg001n1
<0082> bg001n1

// <0083> bgm013
<0083> bgm013

// <0084> sys20_adv00
<0084> sys20_adv00

// <0085> kuro
<0085> kuro

// <0086> sys20_adv00
<0086> sys20_adv00

// <0087> bg011
<0087> bg011

// <0088> sys20_adv00
<0088> sys20_adv00

// <0089> kuro
<0089> kuro

// <0090> sys20_adv00
<0090> sys20_adv00

// <0091> bg001n1
<0091> bg001n1

// <0092> sys00_sys00
<0092> sys00_sys00

// <0093> sys20_adv00
<0093> sys20_adv00

// <0094> kuro
<0094> kuro

// <0095> ny_mv_tree01
<0095> ny_mv_tree01

// <0096> seen01003
<0096> seen01003
