// <0000> あの日から、数日を経た。
<0000> あの日から、数日を経た。
<0084> ……彼女を一人にしないと誓った。

// <0085> それはつまり、彼女の一番最初の味方になるとの約束だ。
<0085> それはつまり、彼女の一番最初の味方になるとの約束だ。

// <0086> 瑚太朗
<0086> 瑚太朗

// <0087> 「何があったんだ。ここでこれ以上は聞けない。中に入れてくれ」
<0087> 「何があったんだ。ここでこれ以上は聞けない。中に入れてくれ」

// <0088> ルチア
<0088> ルチア

// <0089> 『いいか、瑚太朗、よく聞け。守らねば、命に関わる』
<0089> 『いいか、瑚太朗、よく聞け。守らねば、命に関わる』

// <0090> 瑚太朗
<0090> 瑚太朗

// <0091> 「お、おうっ」
<0091> 「お、おうっ」

// <0092> ルチアが低い声で、…脅す。
<0092> ルチアが低い声で、…脅す。

// <0093> やはり、相当ヤバい話のようだ。
<0093> やはり、相当ヤバい話のようだ。

// <0094> 俺は本当に、誰にも尾行も監視も受けてないだろうか…！？
<0094> 俺は本当に、誰にも尾行も監視も受けてないだろうか…！？

// <0095> 身を屈め、本気で視力と聴力の限りを尽くし、不審な何かを気取れないか探る…。
<0095> 身を屈め、本気で視力と聴力の限りを尽くし、不審な何かを気取れないか探る…。

// <0096> ヤバい話なら、先にそう言ってくれれば、ここに来るまでだって、わざと迂回したりして、尾行を防ぐような歩き方も出来たのだが。
<0096> ヤバい話なら、先にそう言ってくれれば、ここに来るまでだって、わざと迂回したりして、尾行を防ぐような歩き方も出来たのだが。

// <0097> いや、素人にそんな真似、出来るわけもないか…。かえって不審に思われて目立ったかもしれない。
<0097> いや、素人にそんな真似、出来るわけもないか…。かえって不審に思われて目立ったかもしれない。

// <0098> この扉を開けてルチアが顔を覗かせた途端、対立する悪の結社の人間がぞろっと現れるとか、映画じゃよくあるシチュエーションじゃないか…。
<0098> この扉を開けてルチアが顔を覗かせた途端、対立する悪の結社の人間がぞろっと現れるとか、映画じゃよくあるシチュエーションじゃないか…。

// <0099> 瑚太朗
<0099> 瑚太朗

// <0100> 「……俺も命は惜しいぜ。どうすればいい、指示してくれ」
<0100> 「……俺も命は惜しいぜ。どうすればいい、指示してくれ」

// <0101> ルチア
<0101> ルチア

// <0102> 『今からドアの鍵を開ける。しかしドアを開けてはならない』
<0102> 『今からドアの鍵を開ける。しかしドアを開けてはならない』

// <0103> 瑚太朗
<0103> 瑚太朗

// <0104> 「なるほど、フェイクか」
<0104> 「なるほど、フェイクか」

// <0105> ルチア
<0105> ルチア

// <0106> 『その場で静かに百を数えろ。騒がず、何もせず、静かに』
<0106> 『その場で静かに百を数えろ。騒がず、何もせず、静かに』

// <0107> 瑚太朗
<0107> 瑚太朗

// <0108> 「わかった、任せろ。俺も命が惜しい」
<0108> 「わかった、任せろ。俺も命が惜しい」

// <0109> ルチア
<0109> ルチア

// <0110> 『よし…。今から鍵を開ける。ドアから少し離れていろ』
<0110> 『よし…。今から鍵を開ける。ドアから少し離れていろ』

// <0111> ドアから三歩、後退る。急に開いて、ぶつかることがないように。
<0111> ドアから三歩、後退る。急に開いて、ぶつかることがないように。

// <0112> すると、カチャリと鍵の開く音が聞こえる。
<0112> すると、カチャリと鍵の開く音が聞こえる。

// <0113> ぱたぱたっと、鍵を開けたルチアが奥へ駆けて行く足音が聞こえた。
<0113> ぱたぱたっと、鍵を開けたルチアが奥へ駆けて行く足音が聞こえた。

// <0114> 周囲をもう一度探る。……大丈夫、不審な気配も物音もない。
<0114> 周囲をもう一度探る。……大丈夫、不審な気配も物音もない。

// <0115> よし。指示された通り、静かに心の中で百を数える。
<0115> よし。指示された通り、静かに心の中で百を数える。

// <0116> 瑚太朗
<0116> 瑚太朗

// <0117> 「……２……３……４……」
<0117> 「……２……３……４……」

// <0118> 周囲は、夜の住宅街ならば当然の静かな環境音。
<0118> 周囲は、夜の住宅街ならば当然の静かな環境音。

// <0119> 常人以上に研ぎ澄ませた五感でも、異常は感じられない。
<0119> 常人以上に研ぎ澄ませた五感でも、異常は感じられない。

// <0120> 瑚太朗
<0120> 瑚太朗

// <0121> 「４５……４６……４７……」
<0121> 「４５……４６……４７……」

// <0122> さっき鍵を開けた後、奥へ駆け戻ったルチアの気配も、それ以降は何もない。
<0122> さっき鍵を開けた後、奥へ駆け戻ったルチアの気配も、それ以降は何もない。

// <0123> 少なくとも、家の中で何者かと格闘しているという気配はない。
<0123> 少なくとも、家の中で何者かと格闘しているという気配はない。

// <0124> 瑚太朗
<0124> 瑚太朗

// <0125> 「８８……８９……９０……」
<0125> 「８８……８９……９０……」

// <0126> いや、むしろ静か過ぎるくらい？　ルチアは本当に、無事なんだろうな…？
<0126> いや、むしろ静か過ぎるくらい？　ルチアは本当に、無事なんだろうな…？

// <0127> 百を数えろとは言われたが、少し悠長に数え過ぎただろうか…。
<0127> 百を数えろとは言われたが、少し悠長に数え過ぎただろうか…。

// <0128> 彼女の身が、急に不安になる。俺は急ぎ、残りの十を数え、ドアを開けた。
<0128> 彼女の身が、急に不安になる。俺は急ぎ、残りの十を数え、ドアを開けた。

// <0129> 瑚太朗
<0129> 瑚太朗

// <0130> 「ルチア、……いるか！？　上がるぞ…！」
<0130> 「ルチア、……いるか！？　上がるぞ…！」

// <0131> 返事はない。
<0131> 返事はない。

// <0132> 俺を呼びつけておきながら、玄関での不審なやり取り。
<0132> 俺を呼びつけておきながら、玄関での不審なやり取り。

// <0133> 一体、何が俺を待ち受けているんだ…？
<0133> 一体、何が俺を待ち受けているんだ…？

// <0134> ……まさか、……。
<0134> ……まさか、……。

// <0135> 敵対する組織に襲われ、返り討ちにした敵の骸が、ごろごろと転がっているとか。
<0135> 敵対する組織に襲われ、返り討ちにした敵の骸が、ごろごろと転がっているとか。

// <0136> 居場所がバレた以上、この街にはもういられないので、どこかへ姿を消すとか。
<0136> 居場所がバレた以上、この街にはもういられないので、どこかへ姿を消すとか。

// <0137> くそ、……それでも俺を呼んでくれたんだっ。俺に出来る協力をしてやるっ！
<0137> くそ、……それでも俺を呼んでくれたんだっ。俺に出来る協力をしてやるっ！

// <0138> 瑚太朗
<0138> 瑚太朗

// <0139> 「ルチア…！！」
<0139> 「ルチア…！！」

// <0140> 廊下を足早に通り抜け、奥の居間に飛び込む。
<0140> 廊下を足早に通り抜け、奥の居間に飛び込む。

// <0141> 廊下や玄関同様、彼女らしい、整頓された美しさを持つ居間だった。
<0141> 廊下や玄関同様、彼女らしい、整頓された美しさを持つ居間だった。

// <0142> 俺が想像したような、……敵と死闘を繰り広げて荒れ果てて死体がごろごろ、ということはなかった。
<0142> 俺が想像したような、……敵と死闘を繰り広げて荒れ果てて死体がごろごろ、ということはなかった。

// <0143> しかし、……そこに待ち受けていた光景は、……俺の想像をはるかに凌駕していた…。
<0143> しかし、……そこに待ち受けていた光景は、……俺の想像をはるかに凌駕していた…。

// <0144> 俺は呆然と、……立ち尽くす。
<0144> 俺は呆然と、……立ち尽くす。

// <0145> ――そして、その呆然という行為そのものが、命取りとなった。
<0145> ――そして、その呆然という行為そのものが、命取りとなった。

// <0146> 下顎への真下からの打撃が、俺の体を確かに浮かせる。
<0146> 下顎への真下からの打撃が、俺の体を確かに浮かせる。

// <0147> ぐ、お、……こりゃ、……歯の２、３本は、…イッたか……。
<0147> ぐ、お、……こりゃ、……歯の２、３本は、…イッたか……。

// <0148> 瑚太朗
<0148> 瑚太朗

// <0149> 「ぅ、……ごぁ…。ル、……ルチアだよな…？」
<0149> 「ぅ、……ごぁ…。ル、……ルチアだよな…？」

// <0150> ルチア
<0150> ルチア

// <0151> 「ほ、他の誰に見えるというのかっ！　しげしげと見るなぁあああ！」
<0151> 「ほ、他の誰に見えるというのかっ！　しげしげと見るなぁあああ！」

// <0152> 瑚太朗
<0152> 瑚太朗

// <0153> 「あの……、俺はあんたに呼ばれてここへ来たわけですが。…どうしてこんな一撃を食らわないといけませんか…」
<0153> 「あの……、俺はあんたに呼ばれてここへ来たわけですが。…どうしてこんな一撃を食らわないといけませんか…」

// <0154> 瑚太朗
<0154> 瑚太朗

// <0155> 「いいえ、結構です、大体理由は想像つきます。えぇ、ハイすみません。調子乗ってました、マジすんません。マジパねぇっす」
<0155> 「いいえ、結構です、大体理由は想像つきます。えぇ、ハイすみません。調子乗ってました、マジすんません。マジパねぇっす」

// <0156> ルチア
<0156> ルチア

// <0157> 「命令だから従ったっ！　西九条さんの命令だから従ったっ！」
<0157> 「命令だから従ったっ！　西九条さんの命令だから従ったっ！」

// <0158> ルチア
<0158> ルチア

// <0159> 「二度としないっ。二度と、二度とぉおおおおお、天王寺瑚太朗ぉおおおおおおおおおおおおお！！」
<0159> 「二度としないっ。二度と、二度とぉおおおおお、天王寺瑚太朗ぉおおおおおおおおおおおおお！！」

// <0160> 此花ルチアは、確かにそこにいた。
<0160> 此花ルチアは、確かにそこにいた。

// <0161> しかし、俺の敵味方識別機能は、彼女を此花ルチアだと認識するのに、短からぬ時間を必要としてしまった…。
<0161> しかし、俺の敵味方識別機能は、彼女を此花ルチアだと認識するのに、短からぬ時間を必要としてしまった…。

// <0162> 人を識別する上で、もっとも重要な要素は？　顔？　髪型？　いやいや、服装だって大きな要素だ。
<0162> 人を識別する上で、もっとも重要な要素は？　顔？　髪型？　いやいや、服装だって大きな要素だ。

// <0163> 顔は確かにルチアだった。……しかしその、着ている服が、……鉄拳制裁のクラス委員長、此花ルチアでは、断じてなかった…。
<0163> 顔は確かにルチアだった。……しかしその、着ている服が、……鉄拳制裁のクラス委員長、此花ルチアでは、断じてなかった…。

// <0164> 瑚太朗
<0164> 瑚太朗

// <0165> 「なぁ、ルチア……。そのカッコだが……」
<0165> 「なぁ、ルチア……。そのカッコだが……」

// <0166> 
<0166> 

// <0167> ルチア
<0167> ルチア

// <0168> 「お、お前の要望通りに着てやったぞっ！！　メイド服だぞ、文句はあるかっ！！」
<0168> 「お、お前の要望通りに着てやったぞっ！！　メイド服だぞ、文句はあるかっ！！」

// <0169> 瑚太朗
<0169> 瑚太朗

// <0170> 「……こ、広義の意味でのメイド服には、入ると思う。…しかし多分その、ちょっと何かを間違えてしまってると思うぞ」
<0170> 「……こ、広義の意味でのメイド服には、入ると思う。…しかし多分その、ちょっと何かを間違えてしまってると思うぞ」

// <0171> ルチア
<0171> ルチア

// <0172> 「どうしてだっ！？　ちゃんと衣装の専門店で買ったぞ！？」
<0172> 「どうしてだっ！？　ちゃんと衣装の専門店で買ったぞ！？」

// <0173> ルチア
<0173> ルチア

// <0174> 「メイド服とタグにも書いてあったっ！　やたらとたくさんあったからよくわからず、適当に選んでしまったことは認めねばならんがっ」
<0174> 「メイド服とタグにも書いてあったっ！　やたらとたくさんあったからよくわからず、適当に選んでしまったことは認めねばならんがっ」

// <0175> 確かにそれは、メイド服ではある。
<0175> 確かにそれは、メイド服ではある。

// <0176> しかしそれ、「どきどき♪メイドパーティー」に出てきた、ヒロインの衣装、……だよな？
<0176> しかしそれ、「どきどき♪メイドパーティー」に出てきた、ヒロインの衣装、……だよな？

// <0177> つまり、それは確かにメイド服だが、厳密にはメイド服ではない。むしろ、コスプレ衣装に分類されるべきものなのだ。
<0177> つまり、それは確かにメイド服だが、厳密にはメイド服ではない。むしろ、コスプレ衣装に分類されるべきものなのだ。

// <0178> さらに言うと、「どきどき♪メイドパーティー」はギャルゲーなのだが、……ちょっぴり大人じゃないと買えない類のギャルゲーだ。
<0178> さらに言うと、「どきどき♪メイドパーティー」はギャルゲーなのだが、……ちょっぴり大人じゃないと買えない類のギャルゲーだ。

// <0179> それに登場するヒロインがその、……今、ルチアが着ているメイド服を着てその、……まぁその、色々とウヒヒでムッフッフなご奉仕をしてくれちゃうわけだ。
<0179> それに登場するヒロインがその、……今、ルチアが着ているメイド服を着てその、……まぁその、色々とウヒヒでムッフッフなご奉仕をしてくれちゃうわけだ。

// <0180> ストーリーは確か、ひょんなことから、片思いのヒロインの弱みを握ってしまった主人公が。
<0180> ストーリーは確か、ひょんなことから、片思いのヒロインの弱みを握ってしまった主人公が。

// <0181> それを秘密にすることを条件に、ヒロインを自分だけのメイドさんにしてしまおうと、色々と頑張っちゃう…、というのだった。
<0181> それを秘密にすることを条件に、ヒロインを自分だけのメイドさんにしてしまおうと、色々と頑張っちゃう…、というのだった。

// <0182> んで、確か、弱みを握って最初にさせるのが、メイド服を着せて食事を作らせることじゃなかったっけ……。
<0182> んで、確か、弱みを握って最初にさせるのが、メイド服を着せて食事を作らせることじゃなかったっけ……。

// <0183> ぎぃああああああああああああああああああああ！！
<0183> ぎぃああああああああああああああああああああ！！

// <0184> お、俺は、む、無意識のうちに、とんでもないことをしてしまったのではぁあああああああ！？
<0184> お、俺は、む、無意識のうちに、とんでもないことをしてしまったのではぁあああああああ！？

// <0185> んで、確か、その次に主人公が命令するのが確か……。
<0185> んで、確か、その次に主人公が命令するのが確か……。

// <0186> 
<0186> 

// <0187> ルチア
<0187> ルチア

// <0188> 「こ、これで如何ですか。…ご、……ご主人様……」
<0188> 「こ、これで如何ですか。…ご、……ご主人様……」

// <0189> 瑚太朗
<0189> 瑚太朗

// <0190> 「ふむばぁああああああああひぎゃぁああああああ！！」
<0190> 「ふむばぁああああああああひぎゃぁああああああ！！」

// <0191> そうだったぁああああ、ご主人様って呼ばせるんだったぁあああああ！！
<0191> そうだったぁああああ、ご主人様って呼ばせるんだったぁあああああ！！

// <0192> 何てこった、俺はぁああ！？　俺はあの病院で無意識のうちに、ゲームの中と同じことを強要してしまっていたのかぁあああああああああ！！
<0192> 何てこった、俺はぁああ！？　俺はあの病院で無意識のうちに、ゲームの中と同じことを強要してしまっていたのかぁあああああああああ！！

// <0193> ルチア
<0193> ルチア

// <0194> 「…そ、それから食事の介助をするんだったな」
<0194> 「…そ、それから食事の介助をするんだったな」

// <0195> ルチア
<0195> ルチア

// <0196> 「…こんな恥ずかしい格好をさせて、そんなことを望むなんて、……お前はまったく理解できないっ」
<0196> 「…こんな恥ずかしい格好をさせて、そんなことを望むなんて、……お前はまったく理解できないっ」

// <0197> 瑚太朗
<0197> 瑚太朗

// <0198> 「ハイすんません…。俺も自分で自分が理解できません…」
<0198> 「ハイすんません…。俺も自分で自分が理解できません…」

// <0199> ルチアは、今にもお尻が溢れそうなミニスカートのメイド衣装、……もとい、１８禁なゲームのコスプレ姿で、台所を往復し、食事を配膳してくれた。
<0199> ルチアは、今にもお尻が溢れそうなミニスカートのメイド衣装、……もとい、１８禁なゲームのコスプレ姿で、台所を往復し、食事を配膳してくれた。

// <0200> それからその、……お箸で、あ～んをしてもらう約束だ。
<0200> それからその、……お箸で、あ～んをしてもらう約束だ。

// <0201> 瑚太朗
<0201> 瑚太朗

// <0202> 「マジすんません、調子乗ってました。もう結構ですんで、普通に食事をしましょう…」
<0202> 「マジすんません、調子乗ってました。もう結構ですんで、普通に食事をしましょう…」

// <0203> 
<0203> 

// <0204> ルチア
<0204> ルチア

// <0205> 「そうはいかんっ」
<0205> 「そうはいかんっ」

// <0206> ルチア
<0206> ルチア

// <0207> 「与えられた命令を完遂するのが私の仕事だっ。如何に破廉恥な要求なれど、上司を経たならそれは命令だ。私は最後まで完遂するぞ！」
<0207> 「与えられた命令を完遂するのが私の仕事だっ。如何に破廉恥な要求なれど、上司を経たならそれは命令だ。私は最後まで完遂するぞ！」

// <0208> ルチア
<0208> ルチア

// <0209> 「さぁそこに座れ、天王寺瑚太朗っ。……じゃなかったッ、ご主人様！　さぁ、そこに御掛けになって、あ～んとお口をお開けになって下さいませっ」
<0209> 「さぁそこに座れ、天王寺瑚太朗っ。……じゃなかったッ、ご主人様！　さぁ、そこに御掛けになって、あ～んとお口をお開けになって下さいませっ」

// <0210> 瑚太朗
<0210> 瑚太朗

// <0211> 「いやもうホントにいいって、いいってっ！！」
<0211> 「いやもうホントにいいって、いいってっ！！」

// <0212> ルチア
<0212> ルチア

// <0213> 「そういうわけにはいかんっ。さぁご主人様、あーん！　ほらっ、あ～んをせんかっ」
<0213> 「そういうわけにはいかんっ。さぁご主人様、あーん！　ほらっ、あ～んをせんかっ」

// <0214> ルチア
<0214> ルチア

// <0215> 「命令全１８件の全てを遂行するっ！！　覚悟しろ、天王寺瑚太朗ご主人様ぁあああああああああああ！！」
<0215> 「命令全１８件の全てを遂行するっ！！　覚悟しろ、天王寺瑚太朗ご主人様ぁあああああああああああ！！」

// <0216> 瑚太朗
<0216> 瑚太朗

// <0217> 「ふごっ、むがががが、ぶぎゃああああああああーー！！」
<0217> 「ふごっ、むがががが、ぶぎゃああああああああーー！！」

// <0218> コスプレ姿のルチアに、次々、強制的におかずを口に詰め込まれていく拷問に、俺は絶叫で応えるしかなかった……。
<0218> コスプレ姿のルチアに、次々、強制的におかずを口に詰め込まれていく拷問に、俺は絶叫で応えるしかなかった……。

// <0219> 調子に乗って出した１８の条件を、彼女は何とかクリアし、俺はようやく解放されるのだった…。
<0219> 調子に乗って出した１８の条件を、彼女は何とかクリアし、俺はようやく解放されるのだった…。

// <0220> それにしても、１８でストップしておいて良かった……。
<0220> それにしても、１８でストップしておいて良かった……。

// <0221> １９からは確か、……コンシューマ移植時にカットされてしまうようなご奉仕を要求しちゃったはずだ……。
<0221> １９からは確か、……コンシューマ移植時にカットされてしまうようなご奉仕を要求しちゃったはずだ……。

