// <0000> 決まりだ。後はみんなが集まるのを待とう。
<0000> 決まりだ。後はみんなが集まるのを待とう。
<0071> 「じゃん」

// <0072> 瑚太朗
<0072> 瑚太朗

// <0073> 「ドラムロールとシンバル音ありがとう」
<0073> 「ドラムロールとシンバル音ありがとう」

// <0074> 瑚太朗
<0074> 瑚太朗

// <0075> 「どれどれ…」
<0075> 「どれどれ…」

// <0076> 『ゆうれいやしき』
<0076> 『ゆうれいやしき』

// <0077> 『せんせいあのね』
<0077> 『せんせいあのね』

// <0078> 瑚太朗
<0078> 瑚太朗

// <0079> 「………」
<0079> 「………」

// <0080> 激しく萎えた。
<0080> 激しく萎えた。

// <0081> 小鳥
<0081> 小鳥

// <0082> 「小学生みたいだね」
<0082> 「小学生みたいだね」

// <0083> 瑚太朗
<0083> 瑚太朗

// <0084> 「いや、それを装った悪戯じゃないか？」
<0084> 「いや、それを装った悪戯じゃないか？」

// <0085> ネット上ではテキストしか出ないし、偽装は容易だ。
<0085> ネット上ではテキストしか出ないし、偽装は容易だ。

// <0086> てか小学生がなんでわざわざ高校生の部活ブログになんか投稿するんだ、って話になる。
<0086> てか小学生がなんでわざわざ高校生の部活ブログになんか投稿するんだ、って話になる。

// <0087> まあ、見るだけ見てみるか。
<0087> まあ、見るだけ見てみるか。

// <0088> 『ちかくにゆうれいやしきあります。』
<0088> 『ちかくにゆうれいやしきあります。』

// <0089> 瑚太朗
<0089> 瑚太朗

// <0090> 「不動産屋の売り文句みたいになってないか？」
<0090> 「不動産屋の売り文句みたいになってないか？」

// <0091> ちはや
<0091> ちはや

// <0092> 「いいから、続けて読んでみましょうよ」
<0092> 「いいから、続けて読んでみましょうよ」

// <0093> 『ゆうれいがすんでるとか言われます、こわいでさがして下さい』
<0093> 『ゆうれいがすんでるとか言われます、こわいでさがして下さい』

// <0094> 瑚太朗
<0094> 瑚太朗

// <0095> 「なんだ…小Ｙで探して下さい？」
<0095> 「なんだ…小Ｙで探して下さい？」

// <0096> 小鳥
<0096> 小鳥

// <0097> 「怖いので、じゃない？」
<0097> 「怖いので、じゃない？」

// <0098> 静流
<0098> 静流

// <0099> 「どうやら助けを求めているようだ…」
<0099> 「どうやら助けを求めているようだ…」

// <0100> 静流
<0100> 静流

// <0101> 「幽霊か…」
<0101> 「幽霊か…」

// <0102> ルチア
<0102> ルチア

// <0103> 「廃屋だとしたら、何かが住み着いているのかもしれないな」
<0103> 「廃屋だとしたら、何かが住み着いているのかもしれないな」

// <0104> 静流
<0104> 静流

// <0105> 「何かが…！？」
<0105> 「何かが…！？」

// <0106> 『キョウジン　サンマヘッドが１タイでた！　トクチョウ：アタマだけサンマにすることでリクジョウコキュウをコクフク　たべるとおいしい』
<0106> 『キョウジン　サンマヘッドが１タイでた！　トクチョウ：アタマだけサンマにすることでリクジョウコキュウをコクフク　たべるとおいしい』

// <0107> 静流
<0107> 静流

// <0108> 「とんでもない話じゃないか…！」
<0108> 「とんでもない話じゃないか…！」

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「よくわからんが、多分地上にいると皮膚が乾いて干物になってしまうから大丈夫だ」
<0110> 「よくわからんが、多分地上にいると皮膚が乾いて干物になってしまうから大丈夫だ」

// <0111> 静流
<0111> 静流

// <0112> 「むう…せっかく酸素を取り込めるようになったというのに…」
<0112> 「むう…せっかく酸素を取り込めるようになったというのに…」

// <0113> 小鳥
<0113> 小鳥

// <0114> 「さてどうしよう？　なんか文章の稚拙さとか、本当っぽく見えるけど」
<0114> 「さてどうしよう？　なんか文章の稚拙さとか、本当っぽく見えるけど」

// <0115> 瑚太朗
<0115> 瑚太朗

// <0116> 「ネタ自体は他のとこからもらったもんだしな」
<0116> 「ネタ自体は他のとこからもらったもんだしな」

// <0117> ちはや
<0117> ちはや

// <0118> 「私は朱音さんが行くなら」
<0118> 「私は朱音さんが行くなら」

// <0119> 瑚太朗
<0119> 瑚太朗

// <0120> 「そりゃあもちろん行くっしょ」
<0120> 「そりゃあもちろん行くっしょ」

// <0121> 朱音
<0121> 朱音

// <0122> 「………」
<0122> 「………」

// <0123> 瑚太朗＿必要
<0123> 瑚太朗＿必要

// <0124> 『いえ会長殿の手を煩わせる事はこの下僕たる天王寺瑚太朗の沽券に関わる問題でありひいては世界人類の平和に繋がるのですああ光神たる会長にお仕えする事こそ私の
<0124> 『いえ会長殿の手を煩わせる事はこの下僕たる天王寺瑚太朗の沽券に関わる問題でありひいては世界人類の平和に繋がるのですああ光神たる会長にお仕えする事こそ私の

// <0125> 瑚太朗
<0125> 瑚太朗

// <0126> 「勝手に人のサンプリングボイス作らんでください」
<0126> 「勝手に人のサンプリングボイス作らんでください」

// <0127> 朱音
<0127> 朱音

// <0128> 「あなたが一番周りで喋ってるから」
<0128> 「あなたが一番周りで喋ってるから」

// <0129> 瑚太朗
<0129> 瑚太朗

// <0130> 「データ収集されてた…」
<0130> 「データ収集されてた…」

// <0131> てかオリジナルソフト？
<0131> てかオリジナルソフト？

// <0132> まあ、今の世の中は猫とアヒルが歌ってくれたりするからな…。
<0132> まあ、今の世の中は猫とアヒルが歌ってくれたりするからな…。

// <0133> 瑚太朗
<0133> 瑚太朗

// <0134> 「で、来ないと」
<0134> 「で、来ないと」

// <0135> ちはや
<0135> ちはや

// <0136> 「えー」
<0136> 「えー」

// <0137> 朱音
<0137> 朱音

// <0138> 「何？　あなた、行きたいなら最初からそう言えばよかったじゃない」
<0138> 「何？　あなた、行きたいなら最初からそう言えばよかったじゃない」

// <0139> ちはや
<0139> ちはや

// <0140> 「い、いえ、そういうわけでは」
<0140> 「い、いえ、そういうわけでは」

// <0141> ルチア
<0141> ルチア

// <0142> 「なんだ、相変わらず主体性が無いな」
<0142> 「なんだ、相変わらず主体性が無いな」

// <0143> ちはや
<0143> ちはや

// <0144> 「むっ…い、いいじゃないですか、べつにっ」
<0144> 「むっ…い、いいじゃないですか、べつにっ」

// <0145> 瑚太朗
<0145> 瑚太朗

// <0146> 「まあまあお二人さん」
<0146> 「まあまあお二人さん」

// <0147> ちはや
<0147> ちはや

// <0148> 「向こうから突っかかってきたんじゃないですかー」
<0148> 「向こうから突っかかってきたんじゃないですかー」

// <0149> ルチア
<0149> ルチア

// <0150> 「私はただ感想を口にしただけだ」
<0150> 「私はただ感想を口にしただけだ」

// <0151> 瑚太朗
<0151> 瑚太朗

// <0152> 「はいはいはい、で、どうするよ会長」
<0152> 「はいはいはい、で、どうするよ会長」

// <0153> 朱音
<0153> 朱音

// <0154> 「そうね…まずは、情報が足りない」
<0154> 「そうね…まずは、情報が足りない」

// <0155> 朱音
<0155> 朱音

// <0156> 「その幽霊屋敷って言うのはどこのこと？　場所も分からず動くことは出来ないわ」
<0156> 「その幽霊屋敷って言うのはどこのこと？　場所も分からず動くことは出来ないわ」

// <0157> 瑚太朗
<0157> 瑚太朗

// <0158> 「そりゃ、現地を足で探るしか」
<0158> 「そりゃ、現地を足で探るしか」

// <0159> 朱音
<0159> 朱音

// <0160> 「そういう原始的な手段は却下」
<0160> 「そういう原始的な手段は却下」

// <0161> 瑚太朗
<0161> 瑚太朗

// <0162> 「えー」
<0162> 「えー」

// <0163> 朱音
<0163> 朱音

// <0164> 「この町のことでしょう？　普通に校内でも知ってる人を探してみればいいじゃない」
<0164> 「この町のことでしょう？　普通に校内でも知ってる人を探してみればいいじゃない」

// <0165> 瑚太朗
<0165> 瑚太朗

// <0166> 「あ、そりゃそうだ」
<0166> 「あ、そりゃそうだ」

// <0167> 小鳥
<0167> 小鳥

// <0168> 「じゃあ、話は裏が取れてからだね」
<0168> 「じゃあ、話は裏が取れてからだね」

// <0169> 瑚太朗
<0169> 瑚太朗

// <0170> 「うーむ」
<0170> 「うーむ」

// <0171> 瑚太朗
<0171> 瑚太朗

// <0172> 「とりあえずこの中に、そういう噂を知ってる人は」
<0172> 「とりあえずこの中に、そういう噂を知ってる人は」

// <0173> ルチア
<0173> ルチア

// <0174> 「残念だが、私は知らない」
<0174> 「残念だが、私は知らない」

// <0175> ちはや
<0175> ちはや

// <0176> 「私は引っ越してきたばっかりですからー」
<0176> 「私は引っ越してきたばっかりですからー」

// <0177> 静流
<0177> 静流

// <0178> 「………」
<0178> 「………」

// <0179> 首を横に振る。
<0179> 首を横に振る。

// <0180> 瑚太朗
<0180> 瑚太朗

// <0181> 「ダメか…」
<0181> 「ダメか…」

// <0182> 小鳥
<0182> 小鳥

// <0183> 「小学生だけで広がってる噂だと、ちょっと厄介だね」
<0183> 「小学生だけで広がってる噂だと、ちょっと厄介だね」

// <0184> 朱音
<0184> 朱音

// <0185> 「…子供の与太話じゃないの？」
<0185> 「…子供の与太話じゃないの？」

// <0186> 瑚太朗
<0186> 瑚太朗

// <0187> 「いや、往々にして子供の話とは真実を語ることがあるもんですよ」
<0187> 「いや、往々にして子供の話とは真実を語ることがあるもんですよ」

// <0188> 瑚太朗
<0188> 瑚太朗

// <0189> 「…それに同じ眉唾話なら、面白味があるほうがいいってもんだ」
<0189> 「…それに同じ眉唾話なら、面白味があるほうがいいってもんだ」

// <0190> 静流
<0190> 静流

// <0191> 「じゃあ、聞き込みか」
<0191> 「じゃあ、聞き込みか」

// <0192> 瑚太朗
<0192> 瑚太朗

// <0193> 「そうだな…まずはそこからだ」
<0193> 「そうだな…まずはそこからだ」

// <0194> 小鳥
<0194> 小鳥

// <0195> 「じゃあ、誰に聞こう？」
<0195> 「じゃあ、誰に聞こう？」

// <0196> 瑚太朗
<0196> 瑚太朗

// <0197> 「…町の事ならあいつだな」
<0197> 「…町の事ならあいつだな」

// <0198> 静流
<0198> 静流

// <0199> 「タウンページ的存在か…」
<0199> 「タウンページ的存在か…」

// <0200> 瑚太朗
<0200> 瑚太朗

// <0201> 「ああ、そんな感じだ」
<0201> 「ああ、そんな感じだ」

// <0202> こいつだ。
<0202> こいつだ。

// <0203> 吉野
<0203> 吉野

// <0204> 「なんだ、テメエ…用事って」
<0204> 「なんだ、テメエ…用事って」

// <0205> 静流
<0205> 静流

// <0206> 「タウンページ的存在か…」
<0206> 「タウンページ的存在か…」

// <0207> 吉野
<0207> 吉野

// <0208> 「…またよからぬ事を吹いて回ってんじゃねえだろうな…」
<0208> 「…またよからぬ事を吹いて回ってんじゃねえだろうな…」

// <0209> 瑚太朗
<0209> 瑚太朗

// <0210> 「いや、だっていつも町とかうろついてるからさ、噂とか詳しいんじゃないかと思って」
<0210> 「いや、だっていつも町とかうろついてるからさ、噂とか詳しいんじゃないかと思って」

// <0211> 吉野
<0211> 吉野

// <0212> 「ウワサだぁ？　くだらねえ」
<0212> 「ウワサだぁ？　くだらねえ」

// <0213> 吉野
<0213> 吉野

// <0214> 「今度は探偵ごっこか？　わりいがテメエらのママゴトに付き合ってる時間はねえ」
<0214> 「今度は探偵ごっこか？　わりいがテメエらのママゴトに付き合ってる時間はねえ」

// <0215> 瑚太朗
<0215> 瑚太朗

// <0216> 「なんだよ…いいじゃんか。こんな時間まで学校に残ってるくらいだろ。それくらい時間くれよ」
<0216> 「なんだよ…いいじゃんか。こんな時間まで学校に残ってるくらいだろ。それくらい時間くれよ」

// <0217> 吉野
<0217> 吉野

// <0218> 「フン、わりいな。オレが残ってたのはこいつのためさ」
<0218> 「フン、わりいな。オレが残ってたのはこいつのためさ」

// <0219> ス、と懐から一冊の本を取り出す。
<0219> ス、と懐から一冊の本を取り出す。

// <0220> 吉野
<0220> 吉野

// <0221> 「まさかこの本が図書室に置かれるとは夢にも思わなかったぜ…」
<0221> 「まさかこの本が図書室に置かれるとは夢にも思わなかったぜ…」

// <0222> 『セガール拳法の全て』。
<0222> 『セガール拳法の全て』。

// <0223> …伝説ですらある、拳一つで何でも解決するあの拳法の解説書らしい。
<0223> …伝説ですらある、拳一つで何でも解決するあの拳法の解説書らしい。

// <0224> 瑚太朗
<0224> 瑚太朗

// <0225> 「え…読むの？」
<0225> 「え…読むの？」

// <0226> 吉野
<0226> 吉野

// <0227> 「おっと、数々の予約待ちの真っ只中だ。残念だがテメエに先に貸すわけにゃいかねえ」
<0227> 「おっと、数々の予約待ちの真っ只中だ。残念だがテメエに先に貸すわけにゃいかねえ」

// <0228> 瑚太朗
<0228> 瑚太朗

// <0229> 「（これ、人気なんだ…）いや、俺は別にいいけど…」
<0229> 「（これ、人気なんだ…）いや、俺は別にいいけど…」

// <0230> 吉野
<0230> 吉野

// <0231> 「んだと？　ずいぶん遠慮がちなヤツだ…気持ちわりいぜ」
<0231> 「んだと？　ずいぶん遠慮がちなヤツだ…気持ちわりいぜ」

// <0232> 瑚太朗
<0232> 瑚太朗

// <0233> 「（え、セガールファンじゃないと気持ち悪いのか…？）俺、別に好きじゃないし」
<0233> 「（え、セガールファンじゃないと気持ち悪いのか…？）俺、別に好きじゃないし」

// <0234> 吉野
<0234> 吉野

// <0235> 「なんだと…！？　て、テメエ、まさかセガールに憧れたことねえのかよ！？」
<0235> 「なんだと…！？　て、テメエ、まさかセガールに憧れたことねえのかよ！？」

// <0236> 瑚太朗
<0236> 瑚太朗

// <0237> 「（やだこの子、目がマジだわ…！）え、ま、まあ」
<0237> 「（やだこの子、目がマジだわ…！）え、ま、まあ」

// <0238> 吉野
<0238> 吉野

// <0239> 「チッ、まあいい…オレはこれから忙しくなるぜ…残念だがテメエらとかかずりあってる暇はねえ」
<0239> 「チッ、まあいい…オレはこれから忙しくなるぜ…残念だがテメエらとかかずりあってる暇はねえ」

// <0240> 瑚太朗
<0240> 瑚太朗

// <0241> 「（げえ！　帰って早速特訓する気だ！！）そ、そうか…」
<0241> 「（げえ！　帰って早速特訓する気だ！！）そ、そうか…」

// <0242> 小鳥
<0242> 小鳥

// <0243> 「じゃあ、ちょっと知ってるかどうか聞くだけだから」
<0243> 「じゃあ、ちょっと知ってるかどうか聞くだけだから」

// <0244> 小鳥
<0244> 小鳥

// <0245> 「それくらいの時間なら無いかな」
<0245> 「それくらいの時間なら無いかな」

// <0246> 吉野
<0246> 吉野

// <0247> 「…なんだ？　何の話だ」
<0247> 「…なんだ？　何の話だ」

// <0248> ルチア
<0248> ルチア

// <0249> 「幽霊屋敷。なんでも町の小学生の間で噂になっているらしいが」
<0249> 「幽霊屋敷。なんでも町の小学生の間で噂になっているらしいが」

// <0250> 吉野
<0250> 吉野

// <0251> 「…チッ、気にくわねえ…」
<0251> 「…チッ、気にくわねえ…」

// <0252> 瑚太朗
<0252> 瑚太朗

// <0253> 「お、なんだ」
<0253> 「お、なんだ」

// <0254> 吉野
<0254> 吉野

// <0255> 「心当たりがありやがる。話してやらなきゃいけねえじゃねえか」
<0255> 「心当たりがありやがる。話してやらなきゃいけねえじゃねえか」

// <0256> 小鳥
<0256> 小鳥

// <0257> 「そう？　助かるよー」
<0257> 「そう？　助かるよー」

// <0258> 吉野
<0258> 吉野

// <0259> 「天王寺。テメエだって知ってる場所のはずだぜ」
<0259> 「天王寺。テメエだって知ってる場所のはずだぜ」

// <0260> 瑚太朗
<0260> 瑚太朗

// <0261> 「え、俺？　でもそんなの聞いた事ねえけど」
<0261> 「え、俺？　でもそんなの聞いた事ねえけど」

// <0262> 吉野
<0262> 吉野

// <0263> 「そうかよ。おぼっちゃんには関係ねえ場所かもしんねえな」
<0263> 「そうかよ。おぼっちゃんには関係ねえ場所かもしんねえな」

// <0264> 吉野
<0264> 吉野

// <0265> 「地図はあるか？　場所を教えてやる」
<0265> 「地図はあるか？　場所を教えてやる」

// <0266> 吉野
<0266> 吉野

// <0267> 「…だがオレが知ってんのは場所だけだ。後はテメエらで何とかしな」
<0267> 「…だがオレが知ってんのは場所だけだ。後はテメエらで何とかしな」

// <0268> 瑚太朗
<0268> 瑚太朗

// <0269> 「いや、場所だけで助かるわ」
<0269> 「いや、場所だけで助かるわ」

// <0270> というわけで、裏も取れたし場所も判明したので、早速移動することに。
<0270> というわけで、裏も取れたし場所も判明したので、早速移動することに。

// <0271> 瑚太朗
<0271> 瑚太朗

// <0272> 「…さて、このあたりか」
<0272> 「…さて、このあたりか」

// <0273> 街中のいたって普通な住宅街。
<0273> 街中のいたって普通な住宅街。

// <0274> 瑚太朗
<0274> 瑚太朗

// <0275> 「よし…早速ちはやジェットで空から探索を行おう」
<0275> 「よし…早速ちはやジェットで空から探索を行おう」

// <0276> ちはや
<0276> ちはや

// <0277> 「いやジェットなんてありませんからっ」
<0277> 「いやジェットなんてありませんからっ」

// <0278> ちはや
<0278> ちはや

// <0279> 「なんか最近、人をロボか何かと勘違いしてませんかー」
<0279> 「なんか最近、人をロボか何かと勘違いしてませんかー」

// <0280> ルチア
<0280> ルチア

// <0281> 「しかしちはやジェットがないとすると、どう目星をつけたものか」
<0281> 「しかしちはやジェットがないとすると、どう目星をつけたものか」

// <0282> 瑚太朗
<0282> 瑚太朗

// <0283> 「どうすか会長。なんか呪的なものとか魔学的な気配とか感じませんか」
<0283> 「どうすか会長。なんか呪的なものとか魔学的な気配とか感じませんか」

// <0284> 朱音
<0284> 朱音

// <0285> 「………」
<0285> 「………」

// <0286> 耳元からツクシャカツクシャカ聞こえる。
<0286> 耳元からツクシャカツクシャカ聞こえる。

// <0287> 髪に隠れて見えないけど、明らかにイヤホンから漏れる音です。
<0287> 髪に隠れて見えないけど、明らかにイヤホンから漏れる音です。

// <0288> 朱音
<0288> 朱音

// <0289> 「ああ、何？」
<0289> 「ああ、何？」

// <0290> 瑚太朗
<0290> 瑚太朗

// <0291> 「………」
<0291> 「………」

// <0292> 朱音
<0292> 朱音

// <0293> 「そうね。宇宙は膨張し続けているのだわ。スローン・ディジタル・スカイサーベイで観測された密度揺らぎが謎を解き明かす鍵に少しでもなればいいわね」
<0293> 「そうね。宇宙は膨張し続けているのだわ。スローン・ディジタル・スカイサーベイで観測された密度揺らぎが謎を解き明かす鍵に少しでもなればいいわね」

// <0294> 瑚太朗
<0294> 瑚太朗

// <0295> 「いや…誰もそんな議論は交わしていないんですが」
<0295> 「いや…誰もそんな議論は交わしていないんですが」

// <0296> 瑚太朗
<0296> 瑚太朗

// <0297> 「どうすか小鳥センサーのほうは」
<0297> 「どうすか小鳥センサーのほうは」

// <0298> 小鳥
<0298> 小鳥

// <0299> 「…小鳥さん？」
<0299> 「…小鳥さん？」

// <0300> 瑚太朗
<0300> 瑚太朗

// <0301> 「うん、なんかたまに鋭いとこあるじゃん」
<0301> 「うん、なんかたまに鋭いとこあるじゃん」

// <0302> 小鳥
<0302> 小鳥

// <0303> 「小鳥さん、何にも感じない」
<0303> 「小鳥さん、何にも感じない」

// <0304> 瑚太朗
<0304> 瑚太朗

// <0305> 「小鳥さん不感症か…」
<0305> 「小鳥さん不感症か…」

// <0306> 小鳥
<0306> 小鳥

// <0307> 「ふしだらっ！　めっ！！」
<0307> 「ふしだらっ！　めっ！！」

// <0308> ちはや
<0308> ちはや

// <0309> 「でも、そんなの周りからわかったら、もっと話題になってるんじゃないです？」
<0309> 「でも、そんなの周りからわかったら、もっと話題になってるんじゃないです？」

// <0310> 瑚太朗
<0310> 瑚太朗

// <0311> 「馬鹿だな。みんなにわからんから霊能者は商売になるんじゃないか」
<0311> 「馬鹿だな。みんなにわからんから霊能者は商売になるんじゃないか」

// <0312> ちはや
<0312> ちはや

// <0313> 「ば、ばかってなんですかっ！　そーいうのはインチキだからそうなるって言ってるんですっ！！」
<0313> 「ば、ばかってなんですかっ！　そーいうのはインチキだからそうなるって言ってるんですっ！！」

// <0314> 瑚太朗
<0314> 瑚太朗

// <0315> 「ちっ、こんな部に所属しておいて夢の無いやつめ…」
<0315> 「ちっ、こんな部に所属しておいて夢の無いやつめ…」

// <0316> ちはや
<0316> ちはや

// <0317> 「夢とか言い切る瑚太朗のほうがよっぽど不謹慎ですっ！」
<0317> 「夢とか言い切る瑚太朗のほうがよっぽど不謹慎ですっ！」

// <0318> 朱音
<0318> 朱音

// <0319> 「そこの馬鹿二人。往来のど真ん中でのディベートはよろしくなくてよ」
<0319> 「そこの馬鹿二人。往来のど真ん中でのディベートはよろしくなくてよ」

// <0320> 瑚太朗
<0320> 瑚太朗

// <0321> 「うわ…なんかものすごい非協力的な人に正論だけ言われた…」
<0321> 「うわ…なんかものすごい非協力的な人に正論だけ言われた…」

// <0322> ちはや
<0322> ちはや

// <0323> 「朱音さんにまでばかって…ばかっていうほうがばかなんですよぅ…」
<0323> 「朱音さんにまでばかって…ばかっていうほうがばかなんですよぅ…」

// <0324> 静流
<0324> 静流

// <0325> 「ちー…」
<0325> 「ちー…」

// <0326> ポン、と肩を叩く。
<0326> ポン、と肩を叩く。

// <0327> 静流
<0327> 静流

// <0328> 「それではちーもまた馬鹿と言ってしまっているので馬鹿になってしまう…」
<0328> 「それではちーもまた馬鹿と言ってしまっているので馬鹿になってしまう…」

// <0329> 静流
<0329> 静流

// <0330> 「相手もまたそうならすべて自分に返ってきてしまう。スパイラル馬鹿に陥る」
<0330> 「相手もまたそうならすべて自分に返ってきてしまう。スパイラル馬鹿に陥る」

// <0331> ちはや
<0331> ちはや

// <0332> 「うぅ…どうせ私がばかなんですよぅ…」
<0332> 「うぅ…どうせ私がばかなんですよぅ…」

// <0333> 瑚太朗
<0333> 瑚太朗

// <0334> 「さて、じゃあ該当の建物を探すか」
<0334> 「さて、じゃあ該当の建物を探すか」

// <0335> 瑚太朗
<0335> 瑚太朗

// <0336> 「じゃあ、みんなで手分けしよう。携帯はみんな持ってるよな？　見つけたら全員にメール送信でここに集合な」
<0336> 「じゃあ、みんなで手分けしよう。携帯はみんな持ってるよな？　見つけたら全員にメール送信でここに集合な」

// <0337> 小鳥
<0337> 小鳥

// <0338> 「はーい」
<0338> 「はーい」

// <0339> 瑚太朗
<0339> 瑚太朗

// <0340> 「よし、じゃあ開始！」
<0340> 「よし、じゃあ開始！」

// <0341> 朱音
<0341> 朱音

// <0342> 「………」
<0342> 「………」

// <0343> 早速会長が手ごろなベンチを発見して腰を落ち着けていた。
<0343> 早速会長が手ごろなベンチを発見して腰を落ち着けていた。

// <0344> ちはや
<0344> ちはや

// <0345> 「あのー、朱音さん…」
<0345> 「あのー、朱音さん…」

// <0346> 朱音
<0346> 朱音

// <0347> 「電脳空間からの調査は任せて頂戴。最近はネットで何でも調べられるものよ」
<0347> 「電脳空間からの調査は任せて頂戴。最近はネットで何でも調べられるものよ」

// <0348> ちはや
<0348> ちはや

// <0349> 「そうなんですかー…」
