// <0000> 携帯画面に表示されているこのマップ。
<0000> 携帯画面に表示されているこのマップ。
// <0022> ■マッピー／既読■　ID:
<0022> ■マッピー／既読■　ID:

// <0023>  (Z
<0023>  (Z

// <0024> -
<0024> -

// <0025> ■マッピー／コンプリート■
<0025> ■マッピー／コンプリート■

// <0026> ちっちゃな頃は、入り浸っていた気がする。
<0026> ちっちゃな頃は、入り浸っていた気がする。

// <0027> いつしか、森で遊ぶことはなくなった。
<0027> いつしか、森で遊ぶことはなくなった。

// <0028> 気づいたのだ。
<0028> 気づいたのだ。

// <0029> 森には動物もいないし虫もいない。
<0029> 森には動物もいないし虫もいない。

// <0030> まるで空っぽの世界みたいで、退屈に思えた。
<0030> まるで空っぽの世界みたいで、退屈に思えた。

// <0031> なのに小鳥だけは、未だに足を運んでいるようだ。
<0031> なのに小鳥だけは、未だに足を運んでいるようだ。

// <0032> 遊び友達はいない。
<0032> 遊び友達はいない。

// <0033> いつもひとりだ。
<0033> いつもひとりだ。

// <0034> 町ではしゃいだり、夜遊びしたり。
<0034> 町ではしゃいだり、夜遊びしたり。

// <0035> 小鳥には無縁だ。
<0035> 小鳥には無縁だ。

// <0036> ずっと森遊びだけを続けている。
<0036> ずっと森遊びだけを続けている。

// <0037> …それは少しばかり、寂しいことのように思えた。
<0037> …それは少しばかり、寂しいことのように思えた。

// <0038> ■マッピー／既読■　ID:
<0038> ■マッピー／既読■　ID:

// <0039>  (Z
<0039>  (Z

// <0040> -
<0040> -

// <0041> ■マッピー／コンプリート■
<0041> ■マッピー／コンプリート■

// <0042> 徒歩３０分くらいだろうか。
<0042> 徒歩３０分くらいだろうか。

// <0043> 瑚太朗＿体験版
<0043> 瑚太朗＿体験版

// <0044> 「………」
<0044> 「………」

// <0045> このあたりまで来ると、もはや町の気配は感じない。
<0045> このあたりまで来ると、もはや町の気配は感じない。

// <0046> 昼でもなお薄暗い森だ。
<0046> 昼でもなお薄暗い森だ。

// <0047> 深い海に潜ったような不安感がある。
<0047> 深い海に潜ったような不安感がある。

// <0048> 慣れている俺でも、少し落ち着かなくなる。
<0048> 慣れている俺でも、少し落ち着かなくなる。

// <0049> 子供の頃だって、ここまでは入らなかった。
<0049> 子供の頃だって、ここまでは入らなかった。

// <0050> マッピーを確認。
<0050> マッピーを確認。

// <0051> ちゃんとマップ作成してくれていた。
<0051> ちゃんとマップ作成してくれていた。

// <0052> 遭難の心配なし。
<0052> 遭難の心配なし。

// <0053> 持参した懐中電灯で、先を照らしてみる。
<0053> 持参した懐中電灯で、先を照らしてみる。

// <0054> 幸い今夜は月光が強い。
<0054> 幸い今夜は月光が強い。

// <0055> 歩くのにそう苦労することはなかった。
<0055> 歩くのにそう苦労することはなかった。

// <0056> とても静かだ。
<0056> とても静かだ。

// <0057> 虫の鳴き声ひとつしない。
<0057> 虫の鳴き声ひとつしない。

// <0058> 気温は亜熱帯かと思うほど高いのに。
<0058> 気温は亜熱帯かと思うほど高いのに。

// <0059> その不自然さは、かえって得体の知れないものを想像させる。
<0059> その不自然さは、かえって得体の知れないものを想像させる。

// <0060> バットとメットで武装してはいるが不安は消えない。
<0060> バットとメットで武装してはいるが不安は消えない。

// <0061> キレイな森はどこか歪に感じられた。
<0061> キレイな森はどこか歪に感じられた。

// <0062> 早く帰りたい。
<0062> 早く帰りたい。

// <0063> そのためには、依頼を完遂する必要があった。
<0063> そのためには、依頼を完遂する必要があった。

// <0064> 瑚太朗＿体験版
<0064> 瑚太朗＿体験版

// <0065> 「…おーい」
<0065> 「…おーい」

// <0066> 瑚太朗＿体験版
<0066> 瑚太朗＿体験版

// <0067> 「おーい、小鳥～」
<0067> 「おーい、小鳥～」

// <0068> 返事なし。
<0068> 返事なし。

// <0069> もっと奥にいるんじゃなかろうな。
<0069> もっと奥にいるんじゃなかろうな。

// <0070> 危ない遊びをするもんだ…
<0070> 危ない遊びをするもんだ…

// <0071> 瑚太朗＿体験版
<0071> 瑚太朗＿体験版

// <0072> 「…おーい、いないんか～」
<0072> 「…おーい、いないんか～」

// <0073> 瑚太朗＿体験版
<0073> 瑚太朗＿体験版

// <0074> 「小鳥さ～ん」
<0074> 「小鳥さ～ん」

// <0075> ■マッピー／既読■　ID:
<0075> ■マッピー／既読■　ID:

// <0076>  (Z
<0076>  (Z

// <0077> -
<0077> -

// <0078> ■マッピー／コンプリート■
<0078> ■マッピー／コンプリート■

// <0079> 瑚太朗＿体験版
<0079> 瑚太朗＿体験版

// <0080> 「おうわっ！？」
<0080> 「おうわっ！？」

// <0081> 
<0081> 

// <0082> ねこ＿体験版
<0082> ねこ＿体験版

// <0083> 「なう～」
<0083> 「なう～」

// <0084> 瑚太朗＿体験版
<0084> 瑚太朗＿体験版

// <0085> 「なんだ、ただの猫か…」
<0085> 「なんだ、ただの猫か…」

// <0086> 
<0086> 

// <0087> 驚かしやがって。
<0087> 驚かしやがって。

// <0088> 瑚太朗＿体験版
<0088> 瑚太朗＿体験版

// <0089> 「行っちまえ！」
<0089> 「行っちまえ！」

// <0090> 
<0090> 

// <0091> ねこ＿体験版
<0091> ねこ＿体験版

// <0092> 「サーッ！」
<0092> 「サーッ！」

// <0093> 捨て台詞がわりの威嚇を残し、ぴゅんと走り去った。
<0093> 捨て台詞がわりの威嚇を残し、ぴゅんと走り去った。

// <0094> ありゃ飼い猫だな。
<0094> ありゃ飼い猫だな。

// <0095> 瑚太朗＿体験版
<0095> 瑚太朗＿体験版

// <0096> 「まったく…」
<0096> 「まったく…」

// <0097> 
<0097> 

// <0098> どきどきしながらまた歩き出す。
<0098> どきどきしながらまた歩き出す。

// <0099> ■マッピー／既読■　ID:
<0099> ■マッピー／既読■　ID:

// <0100>  (Z
<0100>  (Z

// <0101> -
<0101> -

// <0102> ■マッピー／コンプリート■
<0102> ■マッピー／コンプリート■

// <0103> 瑚太朗＿体験版
<0103> 瑚太朗＿体験版

// <0104> 「ぎゃっ！？」
<0104> 「ぎゃっ！？」

// <0105> 
<0105> 

// <0106> 猪＿体験版
<0106> 猪＿体験版

// <0107> 「ぶふっ」
<0107> 「ぶふっ」

// <0108> 瑚太朗＿体験版
<0108> 瑚太朗＿体験版

// <0109> 「なんだ、ただの偶蹄目（ぐうていもく）かよ…」
<0109> 「なんだ、ただの偶蹄目（ぐうていもく）かよ…」

// <0110> 
<0110> 

// <0111> 猪だ。気恥ずかしさのせいか、なぜか博学ぶってしまった。
<0111> 猪だ。気恥ずかしさのせいか、なぜか博学ぶってしまった。

// <0112> 驚かしやがって。
<0112> 驚かしやがって。

// <0113> 瑚太朗＿体験版
<0113> 瑚太朗＿体験版

// <0114> 「帰りな…十二支の仲間のもとにな」
<0114> 「帰りな…十二支の仲間のもとにな」

// <0115> 
<0115> 

// <0116> 猪＿体験版
<0116> 猪＿体験版

// <0117> 「ぶっぶっぶっ」
<0117> 「ぶっぶっぶっ」

// <0118> 猪は鼻を鳴らしながらそそくさと立ち去る。
<0118> 猪は鼻を鳴らしながらそそくさと立ち去る。

// <0119> 瑚太朗＿体験版
<0119> 瑚太朗＿体験版

// <0120> 「レアなのがいたもんだな…」
<0120> 「レアなのがいたもんだな…」

// <0121> 
<0121> 

// <0122> 今さっき生き物がいないと説明した俺の立場がなくなる。
<0122> 今さっき生き物がいないと説明した俺の立場がなくなる。

// <0123> ■マッピー／既読■　ID:
<0123> ■マッピー／既読■　ID:

// <0124>  (Z
<0124>  (Z

// <0125> -
<0125> -

// <0126> ■マッピー／コンプリート■
<0126> ■マッピー／コンプリート■

// <0127> 瑚太朗＿体験版
<0127> 瑚太朗＿体験版

// <0128> 「おーい、お迎えだぞ～、小鳥～」
<0128> 「おーい、お迎えだぞ～、小鳥～」

// <0129> 瑚太朗＿体験版
<0129> 瑚太朗＿体験版

// <0130> 「小鳥～？」
<0130> 「小鳥～？」

// <0131> 瑚太朗＿体験版
<0131> 瑚太朗＿体験版

// <0132> 「いないのかー？」
<0132> 「いないのかー？」

// <0133> 
<0133> 

// <0134> これ以上奥にいられると少しきつい。
<0134> これ以上奥にいられると少しきつい。

// <0135> 瑚太朗＿体験版
<0135> 瑚太朗＿体験版

// <0136> 「ひいぃっ！？」
<0136> 「ひいぃっ！？」

// <0137> 
<0137> 

// <0138> なんか出た！
<0138> なんか出た！

// <0139> でかい！
<0139> でかい！

// <0140> ？＿体験版
<0140> ？＿体験版

// <0141> 「…もす」
<0141> 「…もす」

// <0142> 瑚太朗＿体験版
<0142> 瑚太朗＿体験版

// <0143> 「なんだ、ただの………ただの………」
<0143> 「なんだ、ただの………ただの………」

// <0144> 瑚太朗＿体験版
<0144> 瑚太朗＿体験版

// <0145> 「…なんだこの生き物は？」
<0145> 「…なんだこの生き物は？」

// <0146> 
<0146> 

// <0147> 猫でも猪でもない。
<0147> 猫でも猪でもない。

// <0148> 犬でも狐でもない。
<0148> 犬でも狐でもない。

// <0149> 見たことのない獣のはずだが…既視感はある。
<0149> 見たことのない獣のはずだが…既視感はある。

// <0150> 瑚太朗＿体験版
<0150> 瑚太朗＿体験版

// <0151> 「これ…どこかで？」
<0151> 「これ…どこかで？」

// <0152> 
<0152> 

// <0153> どこだったかな。
<0153> どこだったかな。

// <0154> ？＿体験版
<0154> ？＿体験版

// <0155> 「もすっ、もすっ」
<0155> 「もすっ、もすっ」

// <0156> そいつの大きさは大型犬くらい。
<0156> そいつの大きさは大型犬くらい。

// <0157> 丸々とした、ド迫力ボディだ。
<0157> 丸々とした、ド迫力ボディだ。

// <0158> 長い毛…。
<0158> 長い毛…。

// <0159> 長い鼻…。
<0159> 長い鼻…。

// <0160> 長い牙…。
<0160> 長い牙…。

// <0161> そう、コイツの正体は確か…
<0161> そう、コイツの正体は確か…

// <0162> 瑚太朗＿体験版
<0162> 瑚太朗＿体験版

// <0163> 「そうだ…ただのマンモスだ…」
<0163> 「そうだ…ただのマンモスだ…」

// <0164> 
<0164> 

// <0165> 社会科の教科書とかに載っていた。
<0165> 社会科の教科書とかに載っていた。

// <0166> 昔の人が狩猟してたとか。
<0166> 昔の人が狩猟してたとか。

// <0167> ？＿体験版
<0167> ？＿体験版

// <0168> 「もっ」
<0168> 「もっ」

// <0169> 瑚太朗＿体験版
<0169> 瑚太朗＿体験版

// <0170> 「へー、はじめて見たな…」
<0170> 「へー、はじめて見たな…」

// <0171> 
<0171> 

// <0172> そいつは俺をじっと見つめていたが、やがて興味を失ったのか視線を外した。
<0172> そいつは俺をじっと見つめていたが、やがて興味を失ったのか視線を外した。

// <0173> ？＿体験版
<0173> ？＿体験版

// <0174> 「もす」
<0174> 「もす」

// <0175> 悠然と歩み去る。
<0175> 悠然と歩み去る。

// <0176> サイズから考えるとまだ子供だな。
<0176> サイズから考えるとまだ子供だな。

// <0177> あれが大人になると、小山のようになるわけだ。
<0177> あれが大人になると、小山のようになるわけだ。

// <0178> 瑚太朗＿体験版
<0178> 瑚太朗＿体験版

// <0179> 「急ぐか…」
<0179> 「急ぐか…」

// <0180> 
<0180> 

// <0181> 早足で奥に進むことにした。
<0181> 早足で奥に進むことにした。

// <0182> ■マッピー／既読■　ID:
<0182> ■マッピー／既読■　ID:

// <0183>  (Z
<0183>  (Z

// <0184> -
<0184> -

// <0185> ■マッピー／コンプリート■
<0185> ■マッピー／コンプリート■

// <0186> …俺は足を止めた。
<0186> …俺は足を止めた。

// <0187> 瑚太朗＿体験版
<0187> 瑚太朗＿体験版

// <0188> 「ん、あれは…」
<0188> 「ん、あれは…」

// <0189> 瑚太朗＿体験版
<0189> 瑚太朗＿体験版

// <0190> 「青少年どきどきの例の本…！？」
<0190> 「青少年どきどきの例の本…！？」

// <0191> 瑚太朗＿体験版
<0191> 瑚太朗＿体験版

// <0192> 「無駄に周囲をうかがってしまう」
<0192> 「無駄に周囲をうかがってしまう」

// <0193> 瑚太朗＿体験版
<0193> 瑚太朗＿体験版

// <0194> 「よしゃー！　ゲトーー！！！」
<0194> 「よしゃー！　ゲトーー！！！」

// <0195> 瑚太朗＿体験版
<0195> 瑚太朗＿体験版

// <0196> 「ただのパンフかよ！！！　チィッックショウーーーー！！！！」
<0196> 「ただのパンフかよ！！！　チィッックショウーーーー！！！！」

// <0197> 瑚太朗＿体験版
<0197> 瑚太朗＿体験版

// <0198> 「心の叫びだ！！！　チィッックショウーーーー！！！」
<0198> 「心の叫びだ！！！　チィッックショウーーーー！！！」

// <0199> 
<0199> 

// <0200> ■マッピー／既読■　ID:
<0200> ■マッピー／既読■　ID:

// <0201>  (Z
<0201>  (Z

// <0202> -
<0202> -

// <0203> ■マッピー／コンプリート■
<0203> ■マッピー／コンプリート■

// <0204> 瑚太朗＿体験版
<0204> 瑚太朗＿体験版

// <0205> 「…こいつは…」
<0205> 「…こいつは…」

// <0206> 瑚太朗＿体験版
<0206> 瑚太朗＿体験版

// <0207> 「青少年どきどきの例の本…！？」
<0207> 「青少年どきどきの例の本…！？」

// <0208> 瑚太朗＿体験版
<0208> 瑚太朗＿体験版

// <0209> 「思わず辺りに人の気配がないか探ってしまう」
<0209> 「思わず辺りに人の気配がないか探ってしまう」

// <0210> 瑚太朗＿体験版
<0210> 瑚太朗＿体験版

// <0211> 「へ、へへへ…」
<0211> 「へ、へへへ…」

// <0212> 瑚太朗＿体験版
<0212> 瑚太朗＿体験版

// <0213> 「むちむち…」
<0213> 「むちむち…」

// <0214> 瑚太朗＿体験版
<0214> 瑚太朗＿体験版

// <0215> 「………」
<0215> 「………」

// <0216> 瑚太朗＿体験版
<0216> 瑚太朗＿体験版

// <0217> 「ちげえよ！！　ムキムキの本だよ！！！　チィッックショウーーーー！！！！」
<0217> 「ちげえよ！！　ムキムキの本だよ！！！　チィッックショウーーーー！！！！」

// <0218> 瑚太朗＿体験版
<0218> 瑚太朗＿体験版

// <0219> 「魂の叫びだ！！！　チィッックショウーーーー！！！」
<0219> 「魂の叫びだ！！！　チィッックショウーーーー！！！」

// <0220> 
<0220> 

// <0221> ■マッピー／既読■　ID:
<0221> ■マッピー／既読■　ID:

// <0222>  (Z
<0222>  (Z

// <0223> -
<0223> -

// <0224> ■マッピー／コンプリート■
<0224> ■マッピー／コンプリート■

// <0225> 瑚太朗＿体験版
<0225> 瑚太朗＿体験版

// <0226> 「鳥の巣だ。雛の姿が見える」
<0226> 「鳥の巣だ。雛の姿が見える」

// <0227> 瑚太朗＿体験版
<0227> 瑚太朗＿体験版

// <0228> 「！？　イタチが巣を狙ってる！」
<0228> 「！？　イタチが巣を狙ってる！」

// <0229> 瑚太朗＿体験版
<0229> 瑚太朗＿体験版

// <0230> 「こらーー！！」
<0230> 「こらーー！！」

// <0231> 
<0231> 

// <0232> イタチ＿体験版
<0232> イタチ＿体験版

// <0233> 「！？」
<0233> 「！？」

// <0234> 瑚太朗＿体験版
<0234> 瑚太朗＿体験版

// <0235> 「逃げてった…」
<0235> 「逃げてった…」

// <0236> 瑚太朗＿体験版
<0236> 瑚太朗＿体験版

// <0237> 「でもこれが自然の姿だな。イタチだって食わなきゃ生きていけない」
<0237> 「でもこれが自然の姿だな。イタチだって食わなきゃ生きていけない」

// <0238> 瑚太朗＿体験版
<0238> 瑚太朗＿体験版

// <0239> 「何が正しいことなのか…人はそれを一生の間考え続けていくのかもしれない…」
<0239> 「何が正しいことなのか…人はそれを一生の間考え続けていくのかもしれない…」

// <0240> 瑚太朗＿体験版
<0240> 瑚太朗＿体験版

// <0241> 「………」
<0241> 「………」

// <0242> 瑚太朗＿体験版
<0242> 瑚太朗＿体験版

// <0243> 「まあ、そんな難しく考えないほうがいいよな」
<0243> 「まあ、そんな難しく考えないほうがいいよな」

// <0244> 
<0244> 

// <0245> ■マッピー／既読■　ID:
<0245> ■マッピー／既読■　ID:

// <0246>  (Z
<0246>  (Z

// <0247> -
<0247> -

// <0248> ■マッピー／コンプリート■
<0248> ■マッピー／コンプリート■

// <0249> 瑚太朗＿体験版
<0249> 瑚太朗＿体験版

// <0250> 「木に文字が描いてある」
<0250> 「木に文字が描いてある」

// <0251> 瑚太朗＿体験版
<0251> 瑚太朗＿体験版

// <0252> 「ホラータッチな恐ろしい字だ…」
<0252> 「ホラータッチな恐ろしい字だ…」

// <0253> 瑚太朗＿体験版
<0253> 瑚太朗＿体験版

// <0254> 「祝われよ」
<0254> 「祝われよ」

// <0255> 瑚太朗＿体験版
<0255> 瑚太朗＿体験版

// <0256> 「この人はきっとのろわれて欲しかったんじゃないだろうか…」
<0256> 「この人はきっとのろわれて欲しかったんじゃないだろうか…」

// <0257> 
<0257> 

// <0258> ■マッピー／既読■　ID:
<0258> ■マッピー／既読■　ID:

// <0259>  (Z
<0259>  (Z

// <0260> -
<0260> -

// <0261> ■マッピー／コンプリート■
<0261> ■マッピー／コンプリート■

// <0262> 瑚太朗＿体験版
<0262> 瑚太朗＿体験版

// <0263> 「いい感じにしなって垂れた木の枝がある」
<0263> 「いい感じにしなって垂れた木の枝がある」

// <0264> 瑚太朗＿体験版
<0264> 瑚太朗＿体験版

// <0265> 「………」
<0265> 「………」

// <0266> 瑚太朗＿体験版
<0266> 瑚太朗＿体験版

// <0267> 「しゅッ！　しゅゥッ！」
<0267> 「しゅッ！　しゅゥッ！」

// <0268> 瑚太朗＿体験版
<0268> 瑚太朗＿体験版

// <0269> 「なぜかやってしまう蛍光灯のヒモボクシングと同じ気持ちになった」
<0269> 「なぜかやってしまう蛍光灯のヒモボクシングと同じ気持ちになった」

// <0270> 
<0270> 

// <0271> ■マッピー／既読■　ID:
<0271> ■マッピー／既読■　ID:

// <0272>  (Z
<0272>  (Z

// <0273> -
<0273> -

// <0274> ■マッピー／コンプリート■
<0274> ■マッピー／コンプリート■

// <0275> 瑚太朗
<0275> 瑚太朗

// <0276> 「ん…」
<0276> 「ん…」

// <0277> 瑚太朗
<0277> 瑚太朗

// <0278> 「こ、これは…」
<0278> 「こ、これは…」

// <0279> 瑚太朗
<0279> 瑚太朗

// <0280> 「フンじゃねーか！！」
<0280> 「フンじゃねーか！！」

// <0281> 瑚太朗
<0281> 瑚太朗

// <0282> 「こんなとこになんか迷い込んできてるのか…？」
<0282> 「こんなとこになんか迷い込んできてるのか…？」

// <0283> 
<0283> 

// <0284> 瑚太朗
<0284> 瑚太朗

// <0285> 「動物のフン…」
<0285> 「動物のフン…」

// <0286> 瑚太朗
<0286> 瑚太朗

// <0287> 「………」
<0287> 「………」

// <0288> 瑚太朗
<0288> 瑚太朗

// <0289> 「うおっぷ！　これはたまらん！」
<0289> 「うおっぷ！　これはたまらん！」

// <0290> 瑚太朗
<0290> 瑚太朗

// <0291> 「なぜかこう反応したくなった…」
<0291> 「なぜかこう反応したくなった…」

// <0292> 
<0292> 

// <0293> 瑚太朗
<0293> 瑚太朗

// <0294> 「動物のフンだ」
<0294> 「動物のフンだ」

// <0295> 瑚太朗
<0295> 瑚太朗

// <0296> 「木の枝でつついてみよう」
<0296> 「木の枝でつついてみよう」

// <0297> 瑚太朗
<0297> 瑚太朗

// <0298> 「つんつくつん」
<0298> 「つんつくつん」

// <0299> 瑚太朗
<0299> 瑚太朗

// <0300> 「うっほほーい！！」
<0300> 「うっほほーい！！」

// <0301> 瑚太朗
<0301> 瑚太朗

// <0302> 「さして楽しくはない」
<0302> 「さして楽しくはない」

// <0303> 
<0303> 

// <0304> ■マッピー／既読■　ID:
<0304> ■マッピー／既読■　ID:

// <0305>  (Z
<0305>  (Z

// <0306> -
<0306> -

// <0307> ■マッピー／コンプリート■
<0307> ■マッピー／コンプリート■

// <0308> 瑚太朗
<0308> 瑚太朗

// <0309> 「な、なんだこいつ…？」
<0309> 「な、なんだこいつ…？」

// <0310> それは異様なものだった。
<0310> それは異様なものだった。

// <0311> 日常にあってはならない存在だった。
<0311> 日常にあってはならない存在だった。

// <0312> 伝説のスクモン
<0312> 伝説のスクモン

// <0313> 「ガオー」
<0313> 「ガオー」

// <0314> 瑚太朗
<0314> 瑚太朗

// <0315> 「え、なにこれ、ハリボテ？」
<0315> 「え、なにこれ、ハリボテ？」

// <0316> 伝説のスクモン
<0316> 伝説のスクモン

// <0317> 「ガオー」
<0317> 「ガオー」

// <0318> 瑚太朗
<0318> 瑚太朗

// <0319> 「やべえ、生っぽい…」
<0319> 「やべえ、生っぽい…」

// <0320> 瑚太朗
<0320> 瑚太朗

// <0321> 「え？　なに？　おまえ、俺についてくるの？　なんで？」
<0321> 「え？　なに？　おまえ、俺についてくるの？　なんで？」

// <0322> 瑚太朗
<0322> 瑚太朗

// <0323> 「普段は隠れてるから心配いらない？　まあ、そうまで言うなら…」
<0323> 「普段は隠れてるから心配いらない？　まあ、そうまで言うなら…」

// <0324> しかしそれは一瞬で消えてしまった。
<0324> しかしそれは一瞬で消えてしまった。

// <0325> 瑚太朗
<0325> 瑚太朗

// <0326> 「…夢でも見てたのかな俺…」
<0326> 「…夢でも見てたのかな俺…」

// <0327> 伝説のスクモンをゲットした！
<0327> 伝説のスクモンをゲットした！

// <0328> ■マッピー／既読■　ID:
<0328> ■マッピー／既読■　ID:

// <0329>  (Z
<0329>  (Z

// <0330> -
<0330> -

// <0331> ■マッピー／コンプリート■
<0331> ■マッピー／コンプリート■

// <0332> dummy
<0332> dummy

// <0333> sys20_adv00
<0333> sys20_adv00

// <0334> kuro
<0334> kuro

// <0335> sys20_adv00
<0335> sys20_adv00

// <0336> bg014n
<0336> bg014n

// <0337> sys00_sys00
<0337> sys00_sys00

// <0338> shigemi
<0338> shigemi

// <0339> sys20_adv02
<0339> sys20_adv02

// <0340> sys20_adv03
<0340> sys20_adv03

// <0341> fcm_ko10a
<0341> fcm_ko10a

// <0342> sys20_adv03
<0342> sys20_adv03

// <0343> sys00_sys00
<0343> sys00_sys00

// <0344> s1003_001
<0344> s1003_001

// <0345> sys20_adv03
<0345> sys20_adv03

// <0346> fcm_ko10a
<0346> fcm_ko10a

// <0347> sys20_adv03
<0347> sys20_adv03

// <0348> sys20_adv03
<0348> sys20_adv03

// <0349> fcm_ko10a
<0349> fcm_ko10a

// <0350> sys20_adv03
<0350> sys20_adv03

// <0351> sys00_sys00
<0351> sys00_sys00

// <0352> s1003_002
<0352> s1003_002

// <0353> sys20_adv03
<0353> sys20_adv03

// <0354> fcm_ko10a
<0354> fcm_ko10a

// <0355> sys20_adv03
<0355> sys20_adv03

// <0356> sys00_sys00
<0356> sys00_sys00

// <0357> shigemi
<0357> shigemi

// <0358> sys20_adv02
<0358> sys20_adv02

// <0359> sys20_adv03
<0359> sys20_adv03

// <0360> fcm_ko10a
<0360> fcm_ko10a

// <0361> sys20_adv03
<0361> sys20_adv03

// <0362> sys00_sys00
<0362> sys00_sys00

// <0363> s1003_003
<0363> s1003_003

// <0364> sys20_adv03
<0364> sys20_adv03

// <0365> fcm_ko10a
<0365> fcm_ko10a

// <0366> sys20_adv03
<0366> sys20_adv03

// <0367> sys20_adv03
<0367> sys20_adv03

// <0368> fcm_ko10a
<0368> fcm_ko10a

// <0369> sys20_adv03
<0369> sys20_adv03

// <0370> sys00_sys00
<0370> sys00_sys00

// <0371> s1003_004
<0371> s1003_004

// <0372> sys20_adv03
<0372> sys20_adv03

// <0373> fcm_ko10a
<0373> fcm_ko10a

// <0374> sys20_adv03
<0374> sys20_adv03

// <0375> sys20_adv03
<0375> sys20_adv03

// <0376> fcm_ko10a
<0376> fcm_ko10a

// <0377> sys20_adv03
<0377> sys20_adv03

// <0378> sys00_sys00
<0378> sys00_sys00

// <0379> shigemi
<0379> shigemi

// <0380> sys20_adv02
<0380> sys20_adv02

// <0381> sys20_adv03
<0381> sys20_adv03

// <0382> fcm_ko10a
<0382> fcm_ko10a

// <0383> sys20_adv03
<0383> sys20_adv03

// <0384> sys20_adv03
<0384> sys20_adv03

// <0385> fcm_ko10a
<0385> fcm_ko10a

// <0386> sys20_adv03
<0386> sys20_adv03

// <0387> sys20_adv03
<0387> sys20_adv03

// <0388> fcm_ko10a
<0388> fcm_ko10a

// <0389> sys20_adv03
<0389> sys20_adv03

// <0390> sys20_adv03
<0390> sys20_adv03

// <0391> fcm_ko10a
<0391> fcm_ko10a

// <0392> sys20_adv03
<0392> sys20_adv03

// <0393> sys20_adv03
<0393> sys20_adv03

// <0394> fcm_ko10a
<0394> fcm_ko10a

// <0395> sys20_adv03
<0395> sys20_adv03

// <0396> sys20_adv03
<0396> sys20_adv03

// <0397> fcm_ko10a
<0397> fcm_ko10a

// <0398> sys20_adv03
<0398> sys20_adv03

// <0399> sys20_adv03
<0399> sys20_adv03

// <0400> fcm_ko10a
<0400> fcm_ko10a

// <0401> sys20_adv03
<0401> sys20_adv03

// <0402> sys20_adv03
<0402> sys20_adv03

// <0403> fcm_ko10a
<0403> fcm_ko10a

// <0404> sys20_adv03
<0404> sys20_adv03

// <0405> sys20_adv03
<0405> sys20_adv03

// <0406> fcm_ko10a
<0406> fcm_ko10a

// <0407> sys20_adv03
<0407> sys20_adv03

// <0408> sys20_adv03
<0408> sys20_adv03

// <0409> fcm_ko10a
<0409> fcm_ko10a

// <0410> sys20_adv03
<0410> sys20_adv03

// <0411> sys20_adv03
<0411> sys20_adv03

