// <0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0020> 瑚太朗

// <0021> 「ぅぅ、……ぅうぅおおおおおおおおお！！」
<0021> 「ぅぅ、……ぅうぅおおおおおおおおお！！」

// <0022> ちはや
<0022> ちはや

// <0023> 「……お、起きたっ」
<0023> 「……お、起きたっ」

// <0024> 瑚太朗
<0024> 瑚太朗

// <0025> 「げはッ、ごほごほごほッ、げほげっほげほげほ！！」
<0025> 「げはッ、ごほごほごほッ、げほげっほげほげほ！！」

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「ううぅぅぅ……、目が……、回る………」
<0027> 「ううぅぅぅ……、目が……、回る………」

// <0028> 寝過ぎて気持ちが悪くなった時の、あの最悪な感じを百倍に濃縮したよう。
<0028> 寝過ぎて気持ちが悪くなった時の、あの最悪な感じを百倍に濃縮したよう。

// <0029> 目がぐるぐると回り、じんじんと頭痛が苛む。
<0029> 目がぐるぐると回り、じんじんと頭痛が苛む。

// <0030> しばらくの間、自分の頭を両手で抱えて転げ回らなければならなかった…。
<0030> しばらくの間、自分の頭を両手で抱えて転げ回らなければならなかった…。

// <0031> ちはや
<0031> ちはや

// <0032> 「……大丈夫？　信じらんないくらい体調いいじゃないですか」
<0032> 「……大丈夫？　信じらんないくらい体調いいじゃないですか」

// <0033> 瑚太朗
<0033> 瑚太朗

// <0034> 「ち、ちはや……？」
<0034> 「ち、ちはや……？」

// <0035> 目の前の少女が知己の人物であることに、ようやく気付く。
<0035> 目の前の少女が知己の人物であることに、ようやく気付く。

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「これの……、どこが絶好調に見えるってんだ…。……ううぅぅ…」
<0037> 「これの……、どこが絶好調に見えるってんだ…。……ううぅぅ…」

// <0038> ちはや
<0038> ちはや

// <0039> 「大勢の人々が、転ぶように死んでいったってのに。あなたは頭痛と眩暈程度なんて」
<0039> 「大勢の人々が、転ぶように死んでいったってのに。あなたは頭痛と眩暈程度なんて」

// <0040> ちはや
<0040> ちはや

// <0041> 「……あなた、実は何者なんです？」
<0041> 「……あなた、実は何者なんです？」

// <0042> 瑚太朗
<0042> 瑚太朗

// <0043> 「天王寺瑚太朗。ちょいとイケた、ご近所のお節介焼きさ…」
<0043> 「天王寺瑚太朗。ちょいとイケた、ご近所のお節介焼きさ…」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「……ううぅ、…くそっ、シャッキリしやがれ、俺の頭ッ」
<0045> 「……ううぅ、…くそっ、シャッキリしやがれ、俺の頭ッ」

// <0046> どうにか眩暈も落ち着き、……自分が公園のベンチに寝かされているのに気付く。
<0046> どうにか眩暈も落ち着き、……自分が公園のベンチに寝かされているのに気付く。

// <0047> 視線を落とすと、真っ白だった制服はシミのような紫色のまだら模様に変わっていた。
<0047> 視線を落とすと、真っ白だった制服はシミのような紫色のまだら模様に変わっていた。

// <0048> 額には、濡らしたハンカチが置かれていた。どうやら、ちはやに看病されていたようだ…。
<0048> 額には、濡らしたハンカチが置かれていた。どうやら、ちはやに看病されていたようだ…。

// <0049> 瑚太朗
<0049> 瑚太朗

// <0050> 「俺のことなんかより、おまえ、何でこんな状況で…？」
<0050> 「俺のことなんかより、おまえ、何でこんな状況で…？」

// <0051> ちはや
<0051> ちはや

// <0052> 「私は…その、普通の人じゃないですから」
<0052> 「私は…その、普通の人じゃないですから」

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「………」
<0054> 「………」

// <0055> なんとなく、含みを感じる。
<0055> なんとなく、含みを感じる。

// <0056> 確かに、ちはやの怪力なんかは普通じゃなかった。
<0056> 確かに、ちはやの怪力なんかは普通じゃなかった。

// <0057> ちはやも、超人…？
<0057> ちはやも、超人…？

// <0058> 瑚太朗
<0058> 瑚太朗

// <0059> 「まあいいや…その辺追求すんのはあとでいい…」
<0059> 「まあいいや…その辺追求すんのはあとでいい…」

// <0060> 瑚太朗
<0060> 瑚太朗

// <0061> 「助けてくれてありがとな」
<0061> 「助けてくれてありがとな」

// <0062> 今は一体何時なのだろう。もう真夜中のようだった。
<0062> 今は一体何時なのだろう。もう真夜中のようだった。

// <0063> とても静か。……いや、無音ではない。ヘリコプターが飛び回る音が遠くで聞こえる。
<0063> とても静か。……いや、無音ではない。ヘリコプターが飛び回る音が遠くで聞こえる。

// <0064> でも、それしか聞こえないのだ。
<0064> でも、それしか聞こえないのだ。

// <0065> 夜中であっても、車の走る音などの、町のざわめきというものがある。……そういうものが、一切感じられなかった。
<0065> 夜中であっても、車の走る音などの、町のざわめきというものがある。……そういうものが、一切感じられなかった。

// <0066> 瑚太朗
<0066> 瑚太朗

// <0067> 「ここは一体……。今、何時なんだ」
<0067> 「ここは一体……。今、何時なんだ」

// <0068> ちはや
<0068> ちはや

// <0069> 「深夜４時くらいです。この公園、覚えてません？」
<0069> 「深夜４時くらいです。この公園、覚えてません？」

// <0070> ちはや
<0070> ちはや

// <0071> 「以前、あなたらと一緒に、此花さんの家にお見舞いにいって、追い返されたことがあって」
<0071> 「以前、あなたらと一緒に、此花さんの家にお見舞いにいって、追い返されたことがあって」

// <0072> ちはや
<0072> ちはや

// <0073> 「……ほら、そこのブランコで話をしたことがあったでしょ」
<0073> 「……ほら、そこのブランコで話をしたことがあったでしょ」

// <0074> 瑚太朗
<0074> 瑚太朗

// <0075> 「……ここは、…あの公園か……」
<0075> 「……ここは、…あの公園か……」

// <0076> ひまわり畑に行く直前まで休憩していた、あの公園だ。
<0076> ひまわり畑に行く直前まで休憩していた、あの公園だ。

// <0077> そうしたら、……あのボックスの電話が鳴り出して、……ルチアは受話器を取って、誰かと話したんだ…。
<0077> そうしたら、……あのボックスの電話が鳴り出して、……ルチアは受話器を取って、誰かと話したんだ…。

// <0078> 瑚太朗
<0078> 瑚太朗

// <0079> 「ル、ルチアっ。ルチアは…！？」
<0079> 「ル、ルチアっ。ルチアは…！？」

// <0080> ちはや
<0080> ちはや

// <0081> 「入院先の病院が、うまく避難してくれてるといいんですけどね」
<0081> 「入院先の病院が、うまく避難してくれてるといいんですけどね」

// <0082> ちはやは、ルチアが病院を出たことを知らない。……彼女のことを知るはずもなかった。
<0082> ちはやは、ルチアが病院を出たことを知らない。……彼女のことを知るはずもなかった。

// <0083> ……それにしても、この不気味な静けさは何なんだ。
<0083> ……それにしても、この不気味な静けさは何なんだ。

// <0084> 何かが違う世界だった。よく知る深夜の町なのに、明らかに何かが違った。
<0084> 何かが違う世界だった。よく知る深夜の町なのに、明らかに何かが違った。

// <0085> そして、闇に目が慣れ、……ようやく俺は、……変わり果てた世界に気付く…。
<0085> そして、闇に目が慣れ、……ようやく俺は、……変わり果てた世界に気付く…。

// <0086> ごろり。
<0086> ごろり。

// <0087> ごろりごろり。
<0087> ごろりごろり。

// <0088> 瑚太朗
<0088> 瑚太朗

// <0089> 「し、…………、し、…死体が…ッ」
<0089> 「し、…………、し、…死体が…ッ」

// <0090> ごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりっ。
<0090> ごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりごろりっ。

// <0091> 瑚太朗
<0091> 瑚太朗

// <0092> 「ぅ、うわあぁああああああああ…！！！」
<0092> 「ぅ、うわあぁああああああああ…！！！」

// <0093> あの時、……あの瞬間に、公園で遊んでいた子供たちだろうか……。
<0093> あの時、……あの瞬間に、公園で遊んでいた子供たちだろうか……。

// <0094> 子供たちはきっと、……遊んでいて、駆け回っている最中に、…次々とつまづいて転ぶように見えただろう。
<0094> 子供たちはきっと、……遊んでいて、駆け回っている最中に、…次々とつまづいて転ぶように見えただろう。

// <0095> 子供なんてよく転ぶ。そしてすぐに起き上がってまた駆け出す。……誰もがそう思ったろう。
<0095> 子供なんてよく転ぶ。そしてすぐに起き上がってまた駆け出す。……誰もがそう思ったろう。

// <0096> ……しかし、彼らは二度と起き上がらなかった。
<0096> ……しかし、彼らは二度と起き上がらなかった。

// <0097> あの時、公園で遊んでいた、あれだけたくさんの子供たちが、………そのまま、二度と起き上がることのない、人形のように横たわっていた…。
<0097> あの時、公園で遊んでいた、あれだけたくさんの子供たちが、………そのまま、二度と起き上がることのない、人形のように横たわっていた…。

// <0098> 周りを見渡せば、それは公園だけに限らない。
<0098> 周りを見渡せば、それは公園だけに限らない。

// <0099> 道路にも、通行人たちの死体がごろごろと横たわり、……あちこちで、車が衝突して無残な姿を晒していた。
<0099> 道路にも、通行人たちの死体がごろごろと横たわり、……あちこちで、車が衝突して無残な姿を晒していた。

// <0100> ……運転手が瞬時に運転を放棄したため、……あの瞬間に走行していた車は全て、……進行方向にそのまま、ぶつかるまで進むしかなかったからだ…。
<0100> ……運転手が瞬時に運転を放棄したため、……あの瞬間に走行していた車は全て、……進行方向にそのまま、ぶつかるまで進むしかなかったからだ…。

// <0101> それを見てようやく、町中で多発した事故によるものなのか、焦げ臭い異臭を感じ取ることが出来た…。
<0101> それを見てようやく、町中で多発した事故によるものなのか、焦げ臭い異臭を感じ取ることが出来た…。

// <0102> 瑚太朗
<0102> 瑚太朗

// <0103> 「………ッ、……こ、………れ…は………、」
<0103> 「………ッ、……こ、………れ…は………、」

// <0104> ちはや
<0104> ちはや

// <0105> 「ずいぶんピュアな反応ですね」
<0105> 「ずいぶんピュアな反応ですね」

// <0106> ちはや
<0106> ちはや

// <0107> 「……あなた、一体、いつからあそこで倒れてたんですか」
<0107> 「……あなた、一体、いつからあそこで倒れてたんですか」

// <0108> 瑚太朗
<0108> 瑚太朗

// <0109> 「………俺は、……いつから……」
<0109> 「………俺は、……いつから……」

// <0110> 下校して、校門でルチアと出会って、そのままパフェ屋へ行ったんだ。
<0110> 下校して、校門でルチアと出会って、そのままパフェ屋へ行ったんだ。

// <0111> だから……、あれは昼過ぎくらいだったと思う。
<0111> だから……、あれは昼過ぎくらいだったと思う。

// <0112> それが今は、深夜４時。俺は半日も、……意識を失っていたというのか……。
<0112> それが今は、深夜４時。俺は半日も、……意識を失っていたというのか……。

// <0113> ちはや
<0113> ちはや

// <0114> 「ニュースでは、テロ組織が犯行声明を出したとか何とか」
<0114> 「ニュースでは、テロ組織が犯行声明を出したとか何とか」

// <0115> 瑚太朗
<0115> 瑚太朗

// <0116> 「テロ…組織…？」
<0116> 「テロ…組織…？」

// <0117> ちはや
<0117> ちはや

// <0118> 「ガイアという国際テロ組織がやったとか何とか」
<0118> 「ガイアという国際テロ組織がやったとか何とか」

// <0119> ちはや
<0119> ちはや

// <0120> 「……よくもまぁ、そんな白々しい嘘をしゃあしゃあと押し通せるものですッ」
<0120> 「……よくもまぁ、そんな白々しい嘘をしゃあしゃあと押し通せるものですッ」

// <0121> ちはや
<0121> ちはや

// <0122> 「何がテロよ、……全部、やつらがやったことじゃないッ！！」
<0122> 「何がテロよ、……全部、やつらがやったことじゃないッ！！」

// <0123> ちはやはもう何時間も、この惨状を見ている。……怒りや悲しみの感情を全て出し尽くしていた。
<0123> ちはやはもう何時間も、この惨状を見ている。……怒りや悲しみの感情を全て出し尽くしていた。

// <0124> しかし、それでも止め処ない怒りが抑えきれず、空に向かって、正体も知らぬ首謀者に対し怒りの言葉を吐き出す。
<0124> しかし、それでも止め処ない怒りが抑えきれず、空に向かって、正体も知らぬ首謀者に対し怒りの言葉を吐き出す。

// <0125> 俺は、……心苦しい。
<0125> 俺は、……心苦しい。

// <0126> この、地獄のような光景を生み出したのが誰か、……知っているからだ。
<0126> この、地獄のような光景を生み出したのが誰か、……知っているからだ。

// <0127> ……ちはやは、この地獄を生み出した根源がルチアだと知ったら、……どうするだろう…。
<0127> ……ちはやは、この地獄を生み出した根源がルチアだと知ったら、……どうするだろう…。

// <0128> ……………考えたくも、…ない。
<0128> ……………考えたくも、…ない。

// <0129> 瑚太朗
<0129> 瑚太朗

// <0130> 「…そういえば、おまえも、大丈夫なんだな…」
<0130> 「…そういえば、おまえも、大丈夫なんだな…」

// <0131> ルチアの毒は、普通の人間なら絶対に耐えられないものだ。
<0131> ルチアの毒は、普通の人間なら絶対に耐えられないものだ。

// <0132> ちはや
<0132> ちはや

// <0133> 「…平気な体を持ってるからです。そんな細かいこと、どうでもいいです！」
<0133> 「…平気な体を持ってるからです。そんな細かいこと、どうでもいいです！」

// <0134> ちはや
<0134> ちはや

// <0135> 「この町、普通の人のほうがずっと多かったのに…町全体を攻撃するなんて…！」
<0135> 「この町、普通の人のほうがずっと多かったのに…町全体を攻撃するなんて…！」

// <0136> ちはやはまだ激情を吐き続けている。
<0136> ちはやはまだ激情を吐き続けている。

// <0137> 無理もない。……町が、死んだのだ。…収穫祭で賑わっていたあの雑踏が、全て死体なのだ。
<0137> 無理もない。……町が、死んだのだ。…収穫祭で賑わっていたあの雑踏が、全て死体なのだ。

// <0138> その光景が目に焼きついてしまって、……吼え猛る間しか、逃れられないのだろう…。
<0138> その光景が目に焼きついてしまって、……吼え猛る間しか、逃れられないのだろう…。

// <0139> きっと、……この地獄があの日にも、サンタブローシアであったのだ。
<0139> きっと、……この地獄があの日にも、サンタブローシアであったのだ。

// <0140> しかし、あそこと風祭市では、……規模も、犠牲者の人数も、全てが桁違い過ぎる……。
<0140> しかし、あそこと風祭市では、……規模も、犠牲者の人数も、全てが桁違い過ぎる……。

// <0141> 犠牲の数がそのまま、ルチアを苛むだろう。
<0141> 犠牲の数がそのまま、ルチアを苛むだろう。

// <0142> じゃあ、……この、数えることさえ無謀な犠牲者の数に、……ルチアの心は今、どれだけ切り刻まれているというのだろう……。
<0142> じゃあ、……この、数えることさえ無謀な犠牲者の数に、……ルチアの心は今、どれだけ切り刻まれているというのだろう……。

// <0143> ……ルチアは、ずいぶん前から、携帯の電源を切りっ放しにしている。
<0143> ……ルチアは、ずいぶん前から、携帯の電源を切りっ放しにしている。

// <0144> そもそも、携帯を身に付けているかさえ怪しい。
<0144> そもそも、携帯を身に付けているかさえ怪しい。

// <0145> しかしそれでも、ひょっとして……。
<0145> しかしそれでも、ひょっとして……。

// <0146> 携帯を開く。……電話の着信１件。
<0146> 携帯を開く。……電話の着信１件。

// <0147> ル、ルチア……！？
<0147> ル、ルチア……！？

// <0148> いや、違う…。ルチアなら名前を登録してある。非通知だった。
<0148> いや、違う…。ルチアなら名前を登録してある。非通知だった。

// <0149> しかし、心当たりはあった。……多分、西九条先生だ……。
<0149> しかし、心当たりはあった。……多分、西九条先生だ……。

// <0150> 昔の携帯の非通知は、掛け直すことは出来なかった。
<0150> 昔の携帯の非通知は、掛け直すことは出来なかった。

// <0151> しかし、犯罪に利用できる云々で色々と変わり、今は番号は非通知であっても履歴からの掛け直しが可能になっている。
<0151> しかし、犯罪に利用できる云々で色々と変わり、今は番号は非通知であっても履歴からの掛け直しが可能になっている。

// <0152> 電話は使えるだろうか。こんな大惨事だ。……とにかく試してみよう。
<0152> 電話は使えるだろうか。こんな大惨事だ。……とにかく試してみよう。

// <0153> 通話ボタンを押してみると、コール音が鳴り始める……。
<0153> 通話ボタンを押してみると、コール音が鳴り始める……。

// <0154> 瑚太朗
<0154> 瑚太朗

// <0155> 「お、……呼び出してる…」
<0155> 「お、……呼び出してる…」

// <0156> ちはや
<0156> ちはや

// <0157> 「え、携帯？　誰です？」
<0157> 「え、携帯？　誰です？」

// <0158> 瑚太朗
<0158> 瑚太朗

// <0159> 「……ッ、出た…！　も、もしもし！？」
<0159> 「……ッ、出た…！　も、もしもし！？」

// <0160> 西九条
<0160> 西九条

// <0161> 『天王寺君なの！？　無事！？　まだ市内！？　今はどこなの！？』
<0161> 『天王寺君なの！？　無事！？　まだ市内！？　今はどこなの！？』

// <0162> 電話の向こうはものすごい雑音だった。しかし辛うじて会話は可能だ。
<0162> 電話の向こうはものすごい雑音だった。しかし辛うじて会話は可能だ。

// <0163> どうやら西九条先生は、この惨事を逃れているようだった。
<0163> どうやら西九条先生は、この惨事を逃れているようだった。

// <0164> ……多分、俺からの返事がないので、諦めてしまっていたに違いない。
<0164> ……多分、俺からの返事がないので、諦めてしまっていたに違いない。

// <0165> 瑚太朗
<0165> 瑚太朗

// <0166> 「え、…えぇ、何とか無事です。ここは……、えっと、ルチアの家の近くに公園ありますよね？」
<0166> 「え、…えぇ、何とか無事です。ここは……、えっと、ルチアの家の近くに公園ありますよね？」

// <0167> 西九条
<0167> 西九条

// <0168> 『えぇ、わかるわ！　すぐ迎えに行くから、そこでじっとしてて！！』
<0168> 『えぇ、わかるわ！　すぐ迎えに行くから、そこでじっとしてて！！』

// <0169> ようやく理解する。西九条先生の電話に混じる轟音は、多分、ヘリコプターの音だ。
<0169> ようやく理解する。西九条先生の電話に混じる轟音は、多分、ヘリコプターの音だ。

// <0170> ヘリの音は、さっきから遠くで聞こえている。それが西九条先生のヘリに違いない。
<0170> ヘリの音は、さっきから遠くで聞こえている。それが西九条先生のヘリに違いない。

// <0171> 瑚太朗
<0171> 瑚太朗

// <0172> 「迎えに来てくれるってさ、先生」
<0172> 「迎えに来てくれるってさ、先生」

// <0173> ちはや
<0173> ちはや

// <0174> 「先生？　誰のことです？」
<0174> 「先生？　誰のことです？」

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「あぁ、西九条先生だよ。……ウチの学年の先生じゃないから、わからねぇか？」
<0176> 「あぁ、西九条先生だよ。……ウチの学年の先生じゃないから、わからねぇか？」

// <0177> そうか、ちはやは、西九条先生がガーディアンの幹部であることを知らない。
<0177> そうか、ちはやは、西九条先生がガーディアンの幹部であることを知らない。

// <0178> 学校の先生がヘリで助けに来るなんて言われたら、ぽかんとするのは当然だ。
<0178> 学校の先生がヘリで助けに来るなんて言われたら、ぽかんとするのは当然だ。

// <0179> その時、ものすごく眩しいビームライトが俺たちを照らす。目が眩んで全てが真っ白になってしまう…。
<0179> その時、ものすごく眩しいビームライトが俺たちを照らす。目が眩んで全てが真っ白になってしまう…。

// <0180> ２機のヘリが轟音とともに、旋回しながら近付いてくる。
<0180> ２機のヘリが轟音とともに、旋回しながら近付いてくる。

// <0181> ライトの眩しさと、旋風の巻き起こす砂埃で、俺たちは目を開けてなんかいられない。
<0181> ライトの眩しさと、旋風の巻き起こす砂埃で、俺たちは目を開けてなんかいられない。

// <0182> 自分の目を庇うので精一杯な間に、ヘリは次々に公園の空き地に着陸する…。
<0182> 自分の目を庇うので精一杯な間に、ヘリは次々に公園の空き地に着陸する…。

// <0183> ライトの中を、サンタブローシアの時と同じ、完全防護服を着た人影が何人も降りて来る。
<0183> ライトの中を、サンタブローシアの時と同じ、完全防護服を着た人影が何人も降りて来る。

// <0184> 
<0184> 

// <0185> 西九条
<0185> 西九条

// <0186> 「天王寺君…！　よかったわ、本当に無事で…！」
<0186> 「天王寺君…！　よかったわ、本当に無事で…！」

// <0187> 瑚太朗
<0187> 瑚太朗

// <0188> 「言ったじゃないすか。俺に毒は効かないって」
<0188> 「言ったじゃないすか。俺に毒は効かないって」

// <0189> 静流
<0189> 静流

// <0190> 「……さすがコタロー」
<0190> 「……さすがコタロー」

// <0191> 西九条
<0191> 西九条

// <0192> 「ちょっと、静流ちゃんッ！　防護服、脱いじゃ駄目って言ったでしょ…！」
<0192> 「ちょっと、静流ちゃんッ！　防護服、脱いじゃ駄目って言ったでしょ…！」

// <0193> 西九条
<0193> 西九条

// <0194> 「あなたは病み上がりなのに…、もうー！」
<0194> 「あなたは病み上がりなのに…、もうー！」

// <0195> 瑚太朗
<0195> 瑚太朗

// <0196> 「さすがだな。もうルチアの毒は大丈夫なのか」
<0196> 「さすがだな。もうルチアの毒は大丈夫なのか」

// <0197> 静流
<0197> 静流

// <0198> 「だいぶ耐性がついた」
<0198> 「だいぶ耐性がついた」

// <0199> 静流
<0199> 静流

// <0200> 「また透析生活に逆戻りだろうが、今夜くらいなら平気だ」
<0200> 「また透析生活に逆戻りだろうが、今夜くらいなら平気だ」

// <0201> 静流
<0201> 静流

// <0202> 「……それに、この宇宙服、…暑い」
<0202> 「……それに、この宇宙服、…暑い」

// <0203> 西九条
<0203> 西九条

// <0204> 「暑いからって脱ぐ人がいるぅ！？　あぁ、もう……、せっかく退院できそうだったのにぃ！」
<0204> 「暑いからって脱ぐ人がいるぅ！？　あぁ、もう……、せっかく退院できそうだったのにぃ！」

// <0205> 宇宙服の西九条先生が、頭を抱えて嘆くような大袈裟な仕草をする。
<0205> 宇宙服の西九条先生が、頭を抱えて嘆くような大袈裟な仕草をする。

// <0206> こんな、もうどうしようもないくらいに取り返しのつかない状況なのに、そのやり取りに、ほんのちょっぴりだけ笑いを覚えた。
<0206> こんな、もうどうしようもないくらいに取り返しのつかない状況なのに、そのやり取りに、ほんのちょっぴりだけ笑いを覚えた。

// <0207> 静流
<0207> 静流

// <0208> 「心配した。無事でうれしい」
<0208> 「心配した。無事でうれしい」

// <0209> 瑚太朗
<0209> 瑚太朗

// <0210> 「……来てくれてありがとう。助かったぜ」
<0210> 「……来てくれてありがとう。助かったぜ」

// <0211> 俺たちはそんな感じで和やかだったが、……ちはやの方はちょっとぎくしゃくしていた。
<0211> 俺たちはそんな感じで和やかだったが、……ちはやの方はちょっとぎくしゃくしていた。

// <0212> 無理もない。どうして西九条先生と静流がヘリから、と不思議に思っているのだろう……。
<0212> 無理もない。どうして西九条先生と静流がヘリから、と不思議に思っているのだろう……。

// <0213> 静流はくるりと向きを変え、ちはやを見る。
<0213> 静流はくるりと向きを変え、ちはやを見る。

// <0214> そして、瞬きのような速度で、ポケットから大型拳銃を引き抜き、銃口をちはやに向けた。
<0214> そして、瞬きのような速度で、ポケットから大型拳銃を引き抜き、銃口をちはやに向けた。

// <0215> 静流
<0215> 静流

// <0216> 「どうしてお前がここにいる？　鳳ちはや」
<0216> 「どうしてお前がここにいる？　鳳ちはや」

// <0217> 静流
<0217> 静流

// <0218> 「両手を頭に乗せて、膝で立て。１０秒ッ」
<0218> 「両手を頭に乗せて、膝で立て。１０秒ッ」

// <0219> ちはや
<0219> ちはや

// <0220> 「………………」
<0220> 「………………」

// <0221> 瑚太朗
<0221> 瑚太朗

// <0222> 「お、…おい、静流、何やってんだよ！？」
<0222> 「お、…おい、静流、何やってんだよ！？」

// <0223> 瑚太朗
<0223> 瑚太朗

// <0224> 「仲間だぞ、ちはやだぞ、忘れたのか！？」
<0224> 「仲間だぞ、ちはやだぞ、忘れたのか！？」

// <0225> 見れば、ヘリから降りてきた他のエージェントたちも拳銃を向けている。
<0225> 見れば、ヘリから降りてきた他のエージェントたちも拳銃を向けている。

// <0226> うろたえる俺を尻目に、静流は冷酷に、１０秒をカウントダウンしていく…。
<0226> うろたえる俺を尻目に、静流は冷酷に、１０秒をカウントダウンしていく…。

// <0227> ちはや
<0227> ちはや

// <0228> 「……とんだ疫病神を拾っちゃったものです。……介抱しなきゃよかった」
<0228> 「……とんだ疫病神を拾っちゃったものです。……介抱しなきゃよかった」

// <0229> 瑚太朗
<0229> 瑚太朗

// <0230> 「そ、そうだとも！　ちはやは俺を介抱してくれたんだ！」
<0230> 「そ、そうだとも！　ちはやは俺を介抱してくれたんだ！」

// <0231> 瑚太朗
<0231> 瑚太朗

// <0232> 「何の誤解だか知らないが、その物騒なのを下げてくれ…！」
<0232> 「何の誤解だか知らないが、その物騒なのを下げてくれ…！」

// <0233> 静流
<0233> 静流

// <0234> 「３、……２、……１」
<0234> 「３、……２、……１」

// <0235> 最後のカウント１で、ちはやは面倒臭そうに両手を上げる。
<0235> 最後のカウント１で、ちはやは面倒臭そうに両手を上げる。

// <0236> ちはや
<0236> ちはや

// <0237> 「はいはい、降参ですよ。ジュネーブでよろしくお願いします」
<0237> 「はいはい、降参ですよ。ジュネーブでよろしくお願いします」

// <0238> 静流
<0238> 静流

// <0239> 「スイスの首都？」
<0239> 「スイスの首都？」

// <0240> ちはや
<0240> ちはや

// <0241> 「それはベルン」
<0241> 「それはベルン」

// <0242> 西九条
<0242> 西九条

// <0243> 「彼女が天王寺君を介抱してくれたの？」
<0243> 「彼女が天王寺君を介抱してくれたの？」

// <0244> 瑚太朗
<0244> 瑚太朗

// <0245> 「えぇ、そうっすよ…！　命の恩人ってことでもいいです！」
<0245> 「えぇ、そうっすよ…！　命の恩人ってことでもいいです！」

// <0246> 西九条
<0246> 西九条

// <0247> 「どうして彼を？」
<0247> 「どうして彼を？」

// <0248> ちはや
<0248> ちはや

// <0249> 「……この瘴気の大災害の中心がこの公園だった」
<0249> 「……この瘴気の大災害の中心がこの公園だった」

// <0250> ちはや
<0250> ちはや

// <0251> 「それを調べに来て、ひまわり畑の残骸の中で彼を見つけたの」
<0251> 「それを調べに来て、ひまわり畑の残骸の中で彼を見つけたの」

// <0252> ちはや
<0252> ちはや

// <0253> 「この瘴気の中で生きてるなんて、信じられなかった」
<0253> 「この瘴気の中で生きてるなんて、信じられなかった」

// <0254> ちはや
<0254> ちはや

// <0255> 「……無視するわけにもいかず、つい助けたのが運の尽きっ」
