// <0000> 
<0000> 

// <0001> 瑚太朗＿必要
<0055> 「そっちの方が危険だ。それこそどこに何があるかわからん」

// <0056> 平和維持軍が駐屯している町は、まだ安全だ。
<0056> 平和維持軍が駐屯している町は、まだ安全だ。

// <0057> だが一歩外に出れば、誰でも襲われる。
<0057> だが一歩外に出れば、誰でも襲われる。

// <0058> それは俺たちのような武装集団でも例外ではない。
<0058> それは俺たちのような武装集団でも例外ではない。

// <0059> 道には点々と、虫食いのような地面のえぐれがある。すべて爆発のあとだ。
<0059> 道には点々と、虫食いのような地面のえぐれがある。すべて爆発のあとだ。

// <0060> この道路は町と外を繋ぐ、唯一のルートだ。
<0060> この道路は町と外を繋ぐ、唯一のルートだ。

// <0061> 救援物資も人員も、この道を通ることになる。
<0061> 救援物資も人員も、この道を通ることになる。

// <0062> だからこそ死守しなければならなかったが、極めつけに危険な任務だった。
<0062> だからこそ死守しなければならなかったが、極めつけに危険な任務だった。

// <0063> 維持軍を構成するどの国の部隊も嫌がる。
<0063> 維持軍を構成するどの国の部隊も嫌がる。

// <0064> だから、俺たちのような民間の警備会社にお鉢が回ってくる。
<0064> だから、俺たちのような民間の警備会社にお鉢が回ってくる。

// <0065> ただその中でも、俺たちは特別な部類だ。
<0065> ただその中でも、俺たちは特別な部類だ。

// <0066> ルイスが指さす。
<0066> ルイスが指さす。

// <0067> ルイス
<0067> ルイス

// <0068> 「車の残骸だ」
<0068> 「車の残骸だ」

// <0069> それは前方数百メートル付近に転がっていた。
<0069> それは前方数百メートル付近に転がっていた。

// <0070> 道路のすぐ脇だ。
<0070> 道路のすぐ脇だ。

// <0071> 隊長が先頭車に通信で警戒指示を送る。
<0071> 隊長が先頭車に通信で警戒指示を送る。

// <0072> 爆弾が仕掛けられていることがある。あるいは待ち伏せか。
<0072> 爆弾が仕掛けられていることがある。あるいは待ち伏せか。

// <0073> 耐火属性持ちの選りすぐり四人を乗せた先頭車は、減速しつつ残骸の横を通過する。
<0073> 耐火属性持ちの選りすぐり四人を乗せた先頭車は、減速しつつ残骸の横を通過する。

// <0074> …何もなし。
<0074> …何もなし。

// <0075> 危険をひとつ超えた安堵が、車内の空気をかすかに緩ませた。
<0075> 危険をひとつ超えた安堵が、車内の空気をかすかに緩ませた。

// <0076> 今月に入って、すでに仕掛け爆弾でふたりが死んでいる。
<0076> 今月に入って、すでに仕掛け爆弾でふたりが死んでいる。

// <0077> 瑚太朗＿必要
<0077> 瑚太朗＿必要

// <0078> （生き延びたか…）
<0078> （生き延びたか…）

// <0079> 銃を掴む手は、じっとりと汗ばんでいた。着衣で拭う。
<0079> 銃を掴む手は、じっとりと汗ばんでいた。着衣で拭う。

// <0080> 与えられた大口径アサルトライフルには、まだ殺傷経験がない。射手と同様に。
<0080> 与えられた大口径アサルトライフルには、まだ殺傷経験がない。射手と同様に。

// <0081> 訓練は受けたし、手には馴染んだ。
<0081> 訓練は受けたし、手には馴染んだ。

// <0082> ただし殺人の意思となると、これがいまだに怪しい。
<0082> ただし殺人の意思となると、これがいまだに怪しい。

// <0083> 根本的に、俺はどこかで日本人のままだ。
<0083> 根本的に、俺はどこかで日本人のままだ。

// <0084> 襲撃などあってくれるなと祈りつつ、本気で突き詰めて考えていない。
<0084> 襲撃などあってくれるなと祈りつつ、本気で突き詰めて考えていない。

// <0085> いざという時、迷いなく撃てねばならない。
<0085> いざという時、迷いなく撃てねばならない。

// <0086> 自分のために。
<0086> 自分のために。

// <0087> あるいは世界のために？
<0087> あるいは世界のために？

// <0088> 瑚太朗＿必要
<0088> 瑚太朗＿必要

// <0089> （は、そんな動機じゃな…）
<0089> （は、そんな動機じゃな…）

// <0090> 交差路にさしかかる。
<0090> 交差路にさしかかる。

// <0091> パトロール範囲はここで終わる。
<0091> パトロール範囲はここで終わる。

// <0092> 隊長
<0092> 隊長

// <0093> 「車だ！　おい、新入り！」
<0093> 「車だ！　おい、新入り！」

// <0094> 瑚太朗＿必要
<0094> 瑚太朗＿必要

// <0095> 「もうだいぶ経つんですけど…」
<0095> 「もうだいぶ経つんですけど…」

// <0096> 隊長
<0096> 隊長

// <0097> 「うるさい！　確認しろ！」
<0097> 「うるさい！　確認しろ！」

// <0098> 瑚太朗＿必要
<0098> 瑚太朗＿必要

// <0099> 「うす。ええと…」
<0099> 「うす。ええと…」

// <0100> 交わるもう一本の道から急接近してくる車を、一番近い俺が確認する。
<0100> 交わるもう一本の道から急接近してくる車を、一番近い俺が確認する。

// <0101> 乗員は助手席含め２名。顔を見えないように覆っている。
<0101> 乗員は助手席含め２名。顔を見えないように覆っている。

// <0102> 車種は…わかりそうな気がしたがわからない。違和感。
<0102> 車種は…わかりそうな気がしたがわからない。違和感。

// <0103> ルイスが身を乗り出す。
<0103> ルイスが身を乗り出す。

// <0104> ルイス
<0104> ルイス

// <0105> 「多国籍車だ」
<0105> 「多国籍車だ」

// <0106> 隊長
<0106> 隊長

// <0107> 「あのボロが国連安保理の決議を受けて走っているとはな」
<0107> 「あのボロが国連安保理の決議を受けて走っているとはな」

// <0108> ルイス
<0108> ルイス

// <0109> 「違う。いろんな車のパーツ寄せ集め」
<0109> 「違う。いろんな車のパーツ寄せ集め」

// <0110> 盗まれるか安く買い叩かれたボロ車は、しばしば自爆テロに用いられる。
<0110> 盗まれるか安く買い叩かれたボロ車は、しばしば自爆テロに用いられる。

// <0111> 運転手以外の全乗員が無言で銃を引き寄せた。
<0111> 運転手以外の全乗員が無言で銃を引き寄せた。

// <0112> ルイス
<0112> ルイス

// <0113> 「撃つか？」
<0113> 「撃つか？」

// <0114> 運転手
<0114> 運転手

// <0115> 「後ろに新たな後続車輛の一団接近」
<0115> 「後ろに新たな後続車輛の一団接近」

// <0116> 緊張が一気に増す。
<0116> 緊張が一気に増す。

// <0117> 首都から出る一般車両に紛れてテロリストがいたら、厄介なことになる。
<0117> 首都から出る一般車両に紛れてテロリストがいたら、厄介なことになる。

// <0118> 隊長
<0118> 隊長

// <0119> 「車間距離を空けろ。加速して近寄る素振りを見せた車をテロリストと見なす」
<0119> 「車間距離を空けろ。加速して近寄る素振りを見せた車をテロリストと見なす」

// <0120> 運転手
<0120> 運転手

// <0121> 「了解」
<0121> 「了解」

// <0122> 考えられない判断だろう。
<0122> 考えられない判断だろう。

// <0123> しかしここでは、そうしないと死ぬのだ。
<0123> しかしここでは、そうしないと死ぬのだ。

// <0124> 警戒対象の車輛は、距離を詰めてこなかった。
<0124> 警戒対象の車輛は、距離を詰めてこなかった。

// <0125> 男
<0125> 男

// <0126> 「…よし、ふたつ隣の車線で減速しろ。前に行かせてみる」
<0126> 「…よし、ふたつ隣の車線で減速しろ。前に行かせてみる」

// <0127> 急ブレーキ一歩手前の制動。ほとんど暴走。
<0127> 急ブレーキ一歩手前の制動。ほとんど暴走。

// <0128> 警戒車輛が隣を通り過ぎていく。特に不審な挙動は見せなかった。
<0128> 警戒車輛が隣を通り過ぎていく。特に不審な挙動は見せなかった。

// <0129> ルイス
<0129> ルイス

// <0130> 「…通り過ぎた」
<0130> 「…通り過ぎた」

// <0131> 運転手
<0131> 運転手

// <0132> 「減速したら注意してくれ。後続車輛は？」
<0132> 「減速したら注意してくれ。後続車輛は？」

// <0133> 瑚太朗＿必要
<0133> 瑚太朗＿必要

// <0134> 「………」
<0134> 「………」

// <0135> 隊長
<0135> 隊長

// <0136> 「新入り、おまえの位置から見るんだよ！」
<0136> 「新入り、おまえの位置から見るんだよ！」

// <0137> 瑚太朗＿必要
<0137> 瑚太朗＿必要

// <0138> 「す、すいませんっ」
<0138> 「す、すいませんっ」

// <0139> 英語の聞き取りが甘いから、こういうことはよくある。
<0139> 英語の聞き取りが甘いから、こういうことはよくある。

// <0140> 後続に目を凝らした。
<0140> 後続に目を凝らした。

// <0141> 怪しい車は乗員を見て判断する。
<0141> 怪しい車は乗員を見て判断する。

// <0142> 現地のテロリストか、外国人かはすぐ見分けがつくからだ。
<0142> 現地のテロリストか、外国人かはすぐ見分けがつくからだ。

// <0143> 髭の短い者、衣類が整っている者、さほど日焼けしていない者ならまず外国人で間違いない。
<0143> 髭の短い者、衣類が整っている者、さほど日焼けしていない者ならまず外国人で間違いない。

// <0144> 運転席にも助手席にも男が座っている。
<0144> 運転席にも助手席にも男が座っている。

// <0145> どちらも顔を隠していた。
<0145> どちらも顔を隠していた。

// <0146> 瑚太朗＿必要
<0146> 瑚太朗＿必要

// <0147> 「後方トラック危険！」
<0147> 「後方トラック危険！」

// <0148> 不自然なスピードで接近してくるピックアップトラックがあった。
<0148> 不自然なスピードで接近してくるピックアップトラックがあった。

// <0149> 隊長
<0149> 隊長

// <0150> 「加速しろ！」
<0150> 「加速しろ！」

// <0151> 瞬間的に速度をあげる。
<0151> 瞬間的に速度をあげる。

// <0152> ほぼ同時に、迫り来るピックアップからシーツがはがれ、銃で武装した男たちが身を起こした。
<0152> ほぼ同時に、迫り来るピックアップからシーツがはがれ、銃で武装した男たちが身を起こした。

// <0153> 奇襲は失敗したが、テロリストたちは発砲を開始した。
<0153> 奇襲は失敗したが、テロリストたちは発砲を開始した。

// <0154> かなりの距離がある上にキャビン越しの射撃では、互いに動作が干渉してかすりもしない。
<0154> かなりの距離がある上にキャビン越しの射撃では、互いに動作が干渉してかすりもしない。

// <0155> 隊長
<0155> 隊長

// <0156> 「撃て。ぬかるな」
<0156> 「撃て。ぬかるな」

// <0157> 俺たちの乗る指揮車と、後ろを守っていたバックスが、同時に反撃を開始した。
<0157> 俺たちの乗る指揮車と、後ろを守っていたバックスが、同時に反撃を開始した。

// <0158> 瑚太朗＿必要
<0158> 瑚太朗＿必要

// <0159> （当たっちまうぞ、これ…）
<0159> （当たっちまうぞ、これ…）

// <0160> 向こうは当たらずとも、こちらは確実に当たる。
<0160> 向こうは当たらずとも、こちらは確実に当たる。

// <0161> 常人よりずっと高い精度を持つ俺たちなら。
<0161> 常人よりずっと高い精度を持つ俺たちなら。

// <0162> 手を伸ばしてものを掴む。ライフルで遠距離を狙うというのは、その程度のことだ。
<0162> 手を伸ばしてものを掴む。ライフルで遠距離を狙うというのは、その程度のことだ。

// <0163> 引き金を絞れば…俺は殺人者になる。
<0163> 引き金を絞れば…俺は殺人者になる。

// <0164> 瑚太朗＿必要
<0164> 瑚太朗＿必要

// <0165> 「………」
<0165> 「………」

// <0166> 刹那の躊躇に、悠久の思考を重ねた。
<0166> 刹那の躊躇に、悠久の思考を重ねた。

// <0167> ルイス
<0167> ルイス

// <0168> 「…瑚太朗、きついなら…」
<0168> 「…瑚太朗、きついなら…」

// <0169> 瑚太朗＿必要
<0169> 瑚太朗＿必要

// <0170> 「いや、やるよ」
<0170> 「いや、やるよ」

// <0171> 決心はついている。とうに。
<0171> 決心はついている。とうに。

// <0172> 俺はここにいたい。
<0172> 俺はここにいたい。

// <0173> 自分の場所に。
<0173> 自分の場所に。

// <0174> たいした願いじゃないはずだ。
<0174> たいした願いじゃないはずだ。

// <0175> なのになぜか、そのことに失敗し続けている。
<0175> なのになぜか、そのことに失敗し続けている。

// <0176> 瑚太朗＿必要
<0176> 瑚太朗＿必要

// <0177> （…負の連鎖を断つ）
<0177> （…負の連鎖を断つ）

// <0178> …欲するものを得るために、やるべきことをやると決めた。
<0178> …欲するものを得るために、やるべきことをやると決めた。

// <0179> トラックの荷台に６つの頭が揺れていた。
<0179> トラックの荷台に６つの頭が揺れていた。

// <0180> どれも敵だ。
<0180> どれも敵だ。

// <0181> 味方の射手も６人。ちょうどひとり一つずつ。
<0181> 味方の射手も６人。ちょうどひとり一つずつ。

// <0182> 焼けた砂で蒸した風が、車輛間を駆け抜けた。
<0182> 焼けた砂で蒸した風が、車輛間を駆け抜けた。

// <0183> トラックに向け、隊長が、次いでルイスが、ていねいに弾丸を送り込む。
<0183> トラックに向け、隊長が、次いでルイスが、ていねいに弾丸を送り込む。

// <0184> 俺もそうした。
<0184> 俺もそうした。

// <0185> 人の顔をしていたターゲットが、殴り倒されたみたいにぶっ倒れた。
<0185> 人の顔をしていたターゲットが、殴り倒されたみたいにぶっ倒れた。

// <0186> 　　　この日、
<0186> 　　　この日、

// <0187> はじめて人を殺した。
<0187> はじめて人を殺した。

// <0188> 
<0188> 

// <0189> 俺は不器用なガキだった。
<0189> 俺は不器用なガキだった。

// <0190> とにかく、うまくやれないヤツだった。
<0190> とにかく、うまくやれないヤツだった。

// <0191> 無口なせいもあったろう。
<0191> 無口なせいもあったろう。

// <0192> 他人の群れに放り込まれて、強弱が入り乱れた人間関係に、ただ翻弄された。
<0192> 他人の群れに放り込まれて、強弱が入り乱れた人間関係に、ただ翻弄された。

// <0193> 皆が嫌いだったわけじゃない。
<0193> 皆が嫌いだったわけじゃない。

// <0194> とけ込む方法がわからなかっただけだ。
<0194> とけ込む方法がわからなかっただけだ。

// <0195> だから、自分をさらけ出した経験というものがない。
<0195> だから、自分をさらけ出した経験というものがない。

// <0196> いつも孤立していた。
<0196> いつも孤立していた。

// <0197> 挽回するチャンスは体育しかないと考えた。
<0197> 挽回するチャンスは体育しかないと考えた。

// <0198> 子供にとっての体育は大きい。
<0198> 子供にとっての体育は大きい。

// <0199> 活躍すれば、一目置いてもらえる。
<0199> 活躍すれば、一目置いてもらえる。

// <0200> 自分にはどんなことだってできると念じると、本当にできる気がした。
<0200> 自分にはどんなことだってできると念じると、本当にできる気がした。

// <0201> そして実際、願った通りの結果が出た。
<0201> そして実際、願った通りの結果が出た。

// <0202> ダッシュでも、球技でも、泳ぎでも。
<0202> ダッシュでも、球技でも、泳ぎでも。

// <0203> どんな運動でも皆を圧倒した。
<0203> どんな運動でも皆を圧倒した。

// <0204> …自分がズルをしているなどとは思いもしなかった。
<0204> …自分がズルをしているなどとは思いもしなかった。

// <0205> だが…認めてはもらえなかった。
<0205> だが…認めてはもらえなかった。

// <0206> 誰も俺にパスを回してはくれない。
<0206> 誰も俺にパスを回してはくれない。

// <0207> 逆に俺がボールを拾えば、誰もが顔をそむけた。
<0207> 逆に俺がボールを拾えば、誰もが顔をそむけた。

// <0208> あからさまに試合を放棄する者さえいた。
<0208> あからさまに試合を放棄する者さえいた。

// <0209> いつの間にか俺は、触れてはいけないものになっていたのだ。
<0209> いつの間にか俺は、触れてはいけないものになっていたのだ。

// <0210> ある時、クラスの乱暴なやつが俺に目をつけた。
<0210> ある時、クラスの乱暴なやつが俺に目をつけた。

// <0211> 取り巻きと一緒になにかとちょっかいをかけてくるようになった。
<0211> 取り巻きと一緒になにかとちょっかいをかけてくるようになった。

// <0212> 言葉だけじゃなく、手も出した。
<0212> 言葉だけじゃなく、手も出した。

// <0213> 俺を突き飛ばしたり、持ち物をゴミ箱に捨てたり、跳び蹴りを食らわせてきた。
<0213> 俺を突き飛ばしたり、持ち物をゴミ箱に捨てたり、跳び蹴りを食らわせてきた。

// <0214> 我慢できたのはほんの数日だ。
<0214> 我慢できたのはほんの数日だ。

// <0215> 俺はキレて反撃に出た。
<0215> 俺はキレて反撃に出た。

// <0216> 手加減などは考えない。
<0216> 手加減などは考えない。

// <0217> 幾度か『どんなことだってできると念じて』いた俺の、全力だ。
<0217> 幾度か『どんなことだってできると念じて』いた俺の、全力だ。

// <0218> …いじめっ子全員に、俺は大怪我をさせる結果となった。
<0218> …いじめっ子全員に、俺は大怪我をさせる結果となった。

// <0219> 話は校長や親にまで行き、もっと大事になる寸前までこじれた。
<0219> 話は校長や親にまで行き、もっと大事になる寸前までこじれた。

// <0220> 最後はどうにか保護者同士の示談で解決した。
<0220> 最後はどうにか保護者同士の示談で解決した。

// <0221> 俺はもちろん転校だったし、慰謝料もかなり取られたと聞いた。
<0221> 俺はもちろん転校だったし、慰謝料もかなり取られたと聞いた。

// <0222> 検査も受けさせられた。
<0222> 検査も受けさせられた。

// <0223> …異状なしだったと聞くが、本当のところはわからない。
<0223> …異状なしだったと聞くが、本当のところはわからない。

// <0224> 俺には何も知らされなかったからだ。
<0224> 俺には何も知らされなかったからだ。

// <0225> 学校が変わっても、立場に変わりはなかった。
<0225> 学校が変わっても、立場に変わりはなかった。

// <0226> 被害者の親が言いふらしていて、悪い噂はどこまでもつきまとってきた。
<0226> 被害者の親が言いふらしていて、悪い噂はどこまでもつきまとってきた。

// <0227> まあ噂がなかったとしても、俺が友人１００人作れる人間だとも思えないが…
<0227> まあ噂がなかったとしても、俺が友人１００人作れる人間だとも思えないが…

// <0228> 自分を変えたいという思い。
<0228> 自分を変えたいという思い。

// <0229> 世界を恨む気持ち。
<0229> 世界を恨む気持ち。

// <0230> ふたつはせめぎあい、心の奥で醜く蠢く。
<0230> ふたつはせめぎあい、心の奥で醜く蠢く。

// <0231> クラスメイト
<0231> クラスメイト

// <0232> 「今日ザラス行こうぜ」
<0232> 「今日ザラス行こうぜ」

// <0233> クラスメイト
<0233> クラスメイト

// <0234> 「みんなも誘おうよ」
<0234> 「みんなも誘おうよ」

// <0235> クラスメイト
<0235> クラスメイト

// <0236> 「おーい、ザラス行く人ー！」
<0236> 「おーい、ザラス行く人ー！」

// <0237> クラスメイト
<0237> クラスメイト

// <0238> 「行く行く！」
<0238> 「行く行く！」

// <0239> クラスメイト
<0239> クラスメイト

// <0240> 「俺も行かせて！」
<0240> 「俺も行かせて！」

// <0241> 瑚太朗＿必要
<0241> 瑚太朗＿必要

// <0242> 「…」
<0242> 「…」

// <0243> 明らかに、俺は世界の一部になり損なっていた。
<0243> 明らかに、俺は世界の一部になり損なっていた。

// <0244> そしてそのまま、
<0244> そしてそのまま、

// <0245> 育つ。
<0245> 育つ。

// <0246> 
<0246> 

// <0247> 何年か後。
<0247> 何年か後。

// <0248> 進学しても、変化などないままでいた。
<0248> 進学しても、変化などないままでいた。

// <0249> 部活にも入らず、つるむ相手もなく。
<0249> 部活にも入らず、つるむ相手もなく。

// <0250> 彼女なんてものもいない。
<0250> 彼女なんてものもいない。

// <0251> 灰色の青春だ。
<0251> 灰色の青春だ。

// <0252> 勉強だけはよくやった。
<0252> 勉強だけはよくやった。

// <0253> 他にやることがなかったからだが。
<0253> 他にやることがなかったからだが。

// <0254> おかげで成績だけは良かった。
<0254> おかげで成績だけは良かった。

// <0255> 体育では、以前のように無茶することはやめていた。
<0255> 体育では、以前のように無茶することはやめていた。

// <0256> 有体に言えば、手を抜いた。
<0256> 有体に言えば、手を抜いた。

// <0257> 人より少し速く走り、人より少し強く投げ、人より少し高く飛んだ。
<0257> 人より少し速く走り、人より少し強く投げ、人より少し高く飛んだ。

// <0258> それだけでも体育の成績はやけに高かった。
<0258> それだけでも体育の成績はやけに高かった。

// <0259> 教師も俺のことは、扱いかねているようだった。
<0259> 教師も俺のことは、扱いかねているようだった。

// <0260> クラスメイト＿今宮
<0260> クラスメイト＿今宮

// <0261> 「んでよー、そいつがまたケッサクでさー」
<0261> 「んでよー、そいつがまたケッサクでさー」

// <0262> クラスで楽しげに話す連中を、俺は横目で眺める。
<0262> クラスで楽しげに話す連中を、俺は横目で眺める。

// <0263> あの中に混ざるには…かなりのリスクを負うことになる。
<0263> あの中に混ざるには…かなりのリスクを負うことになる。

// <0264> 今のキャラを崩して、だけど空回りもせずに、自然に溶け込む。
<0264> 今のキャラを崩して、だけど空回りもせずに、自然に溶け込む。

// <0265> 瑚太朗＿必要
<0265> 瑚太朗＿必要

// <0266> （…無理だって）
<0266> （…無理だって）

// <0267> 一度失敗したらもう挽回はきかない。
<0267> 一度失敗したらもう挽回はきかない。

// <0268> 少なくとも、次の進学までは。
<0268> 少なくとも、次の進学までは。

// <0269> 休み時間中の喧噪は、止まることがない。
<0269> 休み時間中の喧噪は、止まることがない。

// <0270> 俺だけが喋らない。
<0270> 俺だけが喋らない。

// <0271> 世界は不均衡で不平等で不調和だ。わかっている。
<0271> 世界は不均衡で不平等で不調和だ。わかっている。

// <0272> わかっているが…悔しい。
<0272> わかっているが…悔しい。

// <0273> 誰かを責めたいわけじゃない。
<0273> 誰かを責めたいわけじゃない。

// <0274> 自分を貶めたいわけじゃない。
<0274> 自分を貶めたいわけじゃない。

// <0275> ただ息苦しい。
<0275> ただ息苦しい。

// <0276> 生き苦しいのだ。
<0276> 生き苦しいのだ。

// <0277> だからこの時期の俺は、まるで窒息しかかった金魚みたいに喘いでいた。
<0277> だからこの時期の俺は、まるで窒息しかかった金魚みたいに喘いでいた。

// <0278> 生きることは、
<0278> 生きることは、

// <0279> なんだか拷問にも似ていた。
<0279> なんだか拷問にも似ていた。

// <0280> 博士
<0280> 博士

// <0281> 「…ですから、人間が科学の力だけで、環境の相互作用…因果関係を解き明かすのは不可能であると言えるわけです」
<0281> 「…ですから、人間が科学の力だけで、環境の相互作用…因果関係を解き明かすのは不可能であると言えるわけです」

// <0282> 宗教色のない教会、という表現がしっくり来る。
<0282> 宗教色のない教会、という表現がしっくり来る。

// <0283> 祭壇というにはシンプルな飾り気のない講演台で、
<0283> 祭壇というにはシンプルな飾り気のない講演台で、

// <0284> 初老の『博士』が講義を行っている。
<0284> 初老の『博士』が講義を行っている。

// <0285> 整然と並ぶ２００ほどの席。
<0285> 整然と並ぶ２００ほどの席。

// <0286> 大人もいれば子供もいる。
<0286> 大人もいれば子供もいる。

// <0287> 親子連れ、学生、老人もいる。
<0287> 親子連れ、学生、老人もいる。

// <0288> 聴衆は静かに耳を傾けていた。
<0288> 聴衆は静かに耳を傾けていた。

// <0289> 俺もそのひとりだった。
<0289> 俺もそのひとりだった。

// <0290> 日本マーテル会の
<0290> 日本マーテル会の

// <0291> ミーティング
<0291> ミーティング

// <0292> ＭＴＧ
<0292> ＭＴＧ

// <0293> では、
<0293> では、

// <0294> 真に勤勉な研究者のため週に二回のプログラムを提供している。
<0294> 真に勤勉な研究者のため週に二回のプログラムを提供している。

// <0295> それは平日夜と休日午前に行われる。
<0295> それは平日夜と休日午前に行われる。

// <0296> 合計週３時間のカリキュラム。
<0296> 合計週３時間のカリキュラム。

// <0297> 静聴していなければならないから、子供にとっては長い時間だ。
<0297> 静聴していなければならないから、子供にとっては長い時間だ。

// <0298> 博士
<0298> 博士

// <0299> 「地球環境が傷ついていることはわかっても、その原因さえ正確に調べることはできません」
<0299> 「地球環境が傷ついていることはわかっても、その原因さえ正確に調べることはできません」

// <0300> 博士
<0300> 博士

// <0301> 「環境というのは複雑なシステムです」
<0301> 「環境というのは複雑なシステムです」

// <0302> 博士
<0302> 博士

// <0303> 「たとえば害虫が大発生したから、天敵となる外来種を持ち込んだ。果たしてそれで根本的な解決になるでしょうか？」
<0303> 「たとえば害虫が大発生したから、天敵となる外来種を持ち込んだ。果たしてそれで根本的な解決になるでしょうか？」

// <0304> 博士
<0304> 博士

// <0305> 「いいえ。たとえ害虫が駆除できても、今度は外来種が環境を掻き乱してしまいます」
<0305> 「いいえ。たとえ害虫が駆除できても、今度は外来種が環境を掻き乱してしまいます」

// <0306> 博士
<0306> 博士

// <0307> 「そうした事情に加え、人類の行う対策は、どれも金銭や政治と密接に絡んでいて、必ずしも治療のみを目的としたものとは言えません」
<0307> 「そうした事情に加え、人類の行う対策は、どれも金銭や政治と密接に絡んでいて、必ずしも治療のみを目的としたものとは言えません」

// <0308> 博士
