// <0000> 【ミラクル大冒険】
<0000> 【ミラクル大冒険】
// <0035> 運動系には触れず、意識と思考が渦巻く部位だけを、刷新してみよう。
<0035> 運動系には触れず、意識と思考が渦巻く部位だけを、刷新してみよう。

// <0036> 一気には無理だ。
<0036> 一気には無理だ。

// <0037> 段階的に実行するしかない。
<0037> 段階的に実行するしかない。

// <0038> 赤子から大人になるほどの尺で、理解力を飛躍させた。
<0038> 赤子から大人になるほどの尺で、理解力を飛躍させた。

// <0039> 最初に感じたのは…寒気だった。
<0039> 最初に感じたのは…寒気だった。

// <0040> 理由は推測できる。
<0040> 理由は推測できる。

// <0041> 利口になれば、今までの自分はバカに見える。
<0041> 利口になれば、今までの自分はバカに見える。

// <0042> あれほど心満たしていたあたたかさでさえも、薄まってしまう。
<0042> あれほど心満たしていたあたたかさでさえも、薄まってしまう。

// <0043> 戦慄するような事態に、俺は喘いだ。
<0043> 戦慄するような事態に、俺は喘いだ。

// <0044> 想像していなかった。
<0044> 想像していなかった。

// <0045> これを繰り返して、果たして今までの自分でいられるのか？
<0045> これを繰り返して、果たして今までの自分でいられるのか？

// <0046> ずっと篝を大切に思っていられるのか？
<0046> ずっと篝を大切に思っていられるのか？

// <0047> 篝の空いている手を握る。
<0047> 篝の空いている手を握る。

// <0048> 瑚太朗
<0048> 瑚太朗

// <0049> （今ので…たったの一単位だぞ…）
<0049> （今ので…たったの一単位だぞ…）

// <0050> 幸い、一度目はなんとか踏みとどまれた。
<0050> 幸い、一度目はなんとか踏みとどまれた。

// <0051> 少し肌寒くなったが、まだ俺は俺でいられた。
<0051> 少し肌寒くなったが、まだ俺は俺でいられた。

// <0052> 瑚太朗
<0052> 瑚太朗

// <0053> （よし…試そう）
<0053> （よし…試そう）

// <0054> 篝の図面を読んでみることにした。
<0054> 篝の図面を読んでみることにした。

// <0055> 最初に見た時には、瞬時に吐き気を催した。
<0055> 最初に見た時には、瞬時に吐き気を催した。

// <0056> 数分ももたずに霧散させられた。
<0056> 数分ももたずに霧散させられた。

// <0057> どういうことが書いてあるのかさえ、まともには把握できなかったほどだ。
<0057> どういうことが書いてあるのかさえ、まともには把握できなかったほどだ。

// <0058> 巨大用紙を埋め尽くす数列が見えた。
<0058> 巨大用紙を埋め尽くす数列が見えた。

// <0059> 図形が一呼吸ごとに瞬き、数値や形状を変えていく。
<0059> 図形が一呼吸ごとに瞬き、数値や形状を変えていく。

// <0060> 意味を理解しようと目を凝らした。
<0060> 意味を理解しようと目を凝らした。

// <0061> 瑚太朗
<0061> 瑚太朗

// <0062> （全然足りない…これ）
<0062> （全然足りない…これ）

// <0063> やっと数字らしきものを見て取れたが…
<0063> やっと数字らしきものを見て取れたが…

// <0064> そこまでだ。まるで理解できない。
<0064> そこまでだ。まるで理解できない。

// <0065> はじめて読んだ本が高校数学でした、みたいなレベルだ。
<0065> はじめて読んだ本が高校数学でした、みたいなレベルだ。

// <0066> もっと上書きが必要か。
<0066> もっと上書きが必要か。

// <0067> 遠い…
<0067> 遠い…

// <0068> あまりにも遠く、薄ら寒い距離感。
<0068> あまりにも遠く、薄ら寒い距離感。

// <0069> 瑚太朗
<0069> 瑚太朗

// <0070> 「…休憩」
<0070> 「…休憩」

// <0071> 上書きした後は、体と感覚のズレを調整しなければ。
<0071> 上書きした後は、体と感覚のズレを調整しなければ。

// <0072> 立ち上がろうとして、俺は思いっきりよろけた。
<0072> 立ち上がろうとして、俺は思いっきりよろけた。

// <0073> 瑚太朗
<0073> 瑚太朗

// <0074> 「おわあっ」
<0074> 「おわあっ」

// <0075> 脳が一気に変質して、運動機能が影響を受けているのだ。
<0075> 脳が一気に変質して、運動機能が影響を受けているのだ。

// <0076> 篝に向かって倒れ込んでしまった。
<0076> 篝に向かって倒れ込んでしまった。

// <0077> がつんっ
<0077> がつんっ

// <0078> 思いっきり、篝の脳天に頭突きを食らわせてしまった。
<0078> 思いっきり、篝の脳天に頭突きを食らわせてしまった。

// <0079> 篝
<0079> 篝

// <0080> 「………っ………っ」
<0080> 「………っ………っ」

// <0081> 篝は頭を抱え、苦痛に耐えるように震えていた。
<0081> 篝は頭を抱え、苦痛に耐えるように震えていた。

// <0082> 瑚太朗
<0082> 瑚太朗

// <0083> 「ご、ごめん…」
<0083> 「ご、ごめん…」

// <0084> 血の気が引く。
<0084> 血の気が引く。

// <0085> 謝罪など無駄だ。
<0085> 謝罪など無駄だ。

// <0086> 殺される…
<0086> 殺される…

// <0087> 篝が目の前に立った。
<0087> 篝が目の前に立った。

// <0088> 漂うリボンは、ギシギシにトガっていた。
<0088> 漂うリボンは、ギシギシにトガっていた。

// <0089> やはり敵対モード…
<0089> やはり敵対モード…

// <0090> 正座をして頭を垂れ、死刑執行を待った。
<0090> 正座をして頭を垂れ、死刑執行を待った。

// <0091> 篝
<0091> 篝

// <0092> 「………………」
<0092> 「………………」

// <0093> ふいっ
<0093> ふいっ

// <0094> 瑚太朗
<0094> 瑚太朗

// <0095> （なんと…）
<0095> （なんと…）

// <0096> 見逃してもらえたらしい。
<0096> 見逃してもらえたらしい。

// <0097> 信頼を得た証…なのか？
<0097> 信頼を得た証…なのか？

// <0098> 平衡感覚を取り戻すまで、かなりの手間がかかった。
<0098> 平衡感覚を取り戻すまで、かなりの手間がかかった。

// <0099> やっと立てるようになっても、なかなか違和感がなくならなかった。
<0099> やっと立てるようになっても、なかなか違和感がなくならなかった。

// <0100> 新たな五感にも慣れた頃、二度目の大跳躍を試みた。
<0100> 新たな五感にも慣れた頃、二度目の大跳躍を試みた。

// <0101> 篝に心配をかけまいとすれば、自室あたりでひとりで実行すべきことだ。
<0101> 篝に心配をかけまいとすれば、自室あたりでひとりで実行すべきことだ。

// <0102> …とてもそんな勇気はない。
<0102> …とてもそんな勇気はない。

// <0103> 彼女がそばにいてくれなければ、あの喪失感には耐えられそうにない。
<0103> 彼女がそばにいてくれなければ、あの喪失感には耐えられそうにない。

// <0104> …上書き更新。
<0104> …上書き更新。

// <0105> 脳天が引っこ抜かれ、高いところに引き上げられる感覚。
<0105> 脳天が引っこ抜かれ、高いところに引き上げられる感覚。

// <0106> エレベーターの不快感を思い出す。
<0106> エレベーターの不快感を思い出す。

// <0107> …終わった。
<0107> …終わった。

// <0108> 途端に、ほとんど苦痛レベルの肌寒さに見舞われた。
<0108> 途端に、ほとんど苦痛レベルの肌寒さに見舞われた。

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「…」
<0110> 「…」

// <0111> もしこの宇宙に神というものがいるなら、そいつはとてつもない苦痛の中に生きているはずだ。
<0111> もしこの宇宙に神というものがいるなら、そいつはとてつもない苦痛の中に生きているはずだ。

// <0112> 知性は自らの孤独を浮き彫りにする。
<0112> 知性は自らの孤独を浮き彫りにする。

// <0113> 絶望と、物理の無情から目をそらせなくする。
<0113> 絶望と、物理の無情から目をそらせなくする。

// <0114> 人間とはなんと幸せなんだ。
<0114> 人間とはなんと幸せなんだ。

// <0115> 万物が見えないということで、どれほど救われていることか。
<0115> 万物が見えないということで、どれほど救われていることか。

// <0116> 人間は愛さえあれば救われる。
<0116> 人間は愛さえあれば救われる。

// <0117> だが神は、愛だけでは救われない。
<0117> だが神は、愛だけでは救われない。

// <0118> その理由を説明するなら…
<0118> その理由を説明するなら…

// <0119> 瑚太朗
<0119> 瑚太朗

// <0120> 「愛とは遺伝的本能に基づく繁殖ないしは承認欲求に後天的に付与された、文化概念のひとつに過ぎない」
<0120> 「愛とは遺伝的本能に基づく繁殖ないしは承認欲求に後天的に付与された、文化概念のひとつに過ぎない」

// <0121> 瑚太朗
<0121> 瑚太朗

// <0122> 「愛によってヒトはつがいとの間に局所社会性を構築・維持できる」
<0122> 「愛によってヒトはつがいとの間に局所社会性を構築・維持できる」

// <0123> 瑚太朗
<0123> 瑚太朗

// <0124> 「愛はヒトが感情と呼ぶ内分泌代謝に依存しており、原始的文化と見なせる」
<0124> 「愛はヒトが感情と呼ぶ内分泌代謝に依存しており、原始的文化と見なせる」

// <0125> 瑚太朗
<0125> 瑚太朗

// <0126> 「カルダシェフ分類によるⅠ型文明において、愛は絶対的な価値判断基準として機能する」
<0126> 「カルダシェフ分類によるⅠ型文明において、愛は絶対的な価値判断基準として機能する」

// <0127> 瑚太朗
<0127> 瑚太朗

// <0128> 「このことから、愛の割合を調査することによって、対象文明の文化水準を高い精度で算出することが可能だ」
<0128> 「このことから、愛の割合を調査することによって、対象文明の文化水準を高い精度で算出することが可能だ」

// <0129> 瑚太朗
<0129> 瑚太朗

// <0130> 「地球人類の文化水準では、愛という概念は神聖視されやすいが、その本質はしょせん…」
<0130> 「地球人類の文化水準では、愛という概念は神聖視されやすいが、その本質はしょせん…」

// <0131> …言うな！
<0131> …言うな！

// <0132> 両手で口を押さえる。
<0132> 両手で口を押さえる。

// <0133> 今、俺は諦念に支配されそうになっていた。
<0133> 今、俺は諦念に支配されそうになっていた。

// <0134> 瑚太朗
<0134> 瑚太朗

// <0135> （何を支えにして…冷たい宇宙で…生きていけばいいんだ…）
<0135> （何を支えにして…冷たい宇宙で…生きていけばいいんだ…）

// <0136> 知性の高まりは、見たくもない現実を否応もなく直視させる。
<0136> 知性の高まりは、見たくもない現実を否応もなく直視させる。

// <0137> あらゆる錯覚は否定され、欺瞞は暴かれる。
<0137> あらゆる錯覚は否定され、欺瞞は暴かれる。

// <0138> いかなる純真も愚鈍と見分けがつかなくなる。
<0138> いかなる純真も愚鈍と見分けがつかなくなる。

// <0139> まだ篝の足下にも及ばないというのに。
<0139> まだ篝の足下にも及ばないというのに。

// <0140> 俺は、人間感覚の主要ないくつかを喪失してしまった。
<0140> 俺は、人間感覚の主要ないくつかを喪失してしまった。

// <0141> 篝
<0141> 篝

// <0142> 「………」
<0142> 「………」

// <0143> 見守っている。
<0143> 見守っている。

// <0144> 未だはるかに劣る俺を。
<0144> 未だはるかに劣る俺を。

// <0145> 瑚太朗
<0145> 瑚太朗

// <0146> 「…どうすりゃいい」
<0146> 「…どうすりゃいい」

// <0147> 篝は無垢に見えた。
<0147> 篝は無垢に見えた。

// <0148> 悪い言い方だが、愛玩動物的な側面さえ感じていた。
<0148> 悪い言い方だが、愛玩動物的な側面さえ感じていた。

// <0149> 今はまったく違って見える。
<0149> 今はまったく違って見える。

// <0150> 篝は神々しい深みを宿している。
<0150> 篝は神々しい深みを宿している。

// <0151> 知能の低い人間にはとうてい見抜けない、知性の陰影。
<0151> 知能の低い人間にはとうてい見抜けない、知性の陰影。

// <0152> 俺は彼女の腹に抱きつく。
<0152> 俺は彼女の腹に抱きつく。

// <0153> 瑚太朗
<0153> 瑚太朗

// <0154> 「俺はただ…あんたと同じ場所に行きたいだけなのに…」
<0154> 「俺はただ…あんたと同じ場所に行きたいだけなのに…」

// <0155> 頭に手が置かれた。
<0155> 頭に手が置かれた。

// <0156> 優しく撫でてくれた。
<0156> 優しく撫でてくれた。

// <0157> 調整期間が終わっても、俺はまだ俺でいられた。
<0157> 調整期間が終わっても、俺はまだ俺でいられた。

// <0158> 細かいところではだいぶ異なっているはずだが、芯は残せた。
<0158> 細かいところではだいぶ異なっているはずだが、芯は残せた。

// <0159> …そう信じたい。
<0159> …そう信じたい。

// <0160> 無理にでもそう思いこまねば、次に進めない。
<0160> 無理にでもそう思いこまねば、次に進めない。

// <0161> 三度目の跳躍が待っていた。
<0161> 三度目の跳躍が待っていた。

// <0162> 篝
<0162> 篝

// <0163> 「………」
<0163> 「………」

// <0164> 篝もボロボロだった。
<0164> 篝もボロボロだった。

// <0165> 理論が進展し、それにともない彼女も摩耗する。
<0165> 理論が進展し、それにともない彼女も摩耗する。

// <0166> なぜ篝は、研究を続けるのか。
<0166> なぜ篝は、研究を続けるのか。

// <0167> その仕組みを少しでも把握するため、あと一回の跳躍がどうしても必要だ。
<0167> その仕組みを少しでも把握するため、あと一回の跳躍がどうしても必要だ。

// <0168> けどそれは、俺が人としての自我を保っていられる限度線。
<0168> けどそれは、俺が人としての自我を保っていられる限度線。

// <0169> 完全変質の恐れがある。
<0169> 完全変質の恐れがある。

// <0170> 人の愛する心や優しさ、そういったものがすべて乾いた物理にしか見えなくなる。
<0170> 人の愛する心や優しさ、そういったものがすべて乾いた物理にしか見えなくなる。

// <0171> 考え方そのものが変化してしまえば、篝に対する気持ちだって無事ではないかも…
<0171> 考え方そのものが変化してしまえば、篝に対する気持ちだって無事ではないかも…

// <0172> 不安はある。不安だらけだ。
<0172> 不安はある。不安だらけだ。

// <0173> 今の俺を支えるものは、篝の存在だけだ。
<0173> 今の俺を支えるものは、篝の存在だけだ。

// <0174> 夢も希望も、脳の作用として理解してしまえる。
<0174> 夢も希望も、脳の作用として理解してしまえる。

// <0175> だけど篝だけは、まだ説明の術さえない。
<0175> だけど篝だけは、まだ説明の術さえない。

// <0176> 未知の神秘だ。
<0176> 未知の神秘だ。

// <0177> それだけが救いとなっている。
<0177> それだけが救いとなっている。

// <0178> 瑚太朗
<0178> 瑚太朗

// <0179> 「…行ってくる」
<0179> 「…行ってくる」

// <0180> 篝
<0180> 篝

// <0181> 「…？」
<0181> 「…？」

// <0182> 俺は篝が愛おしい。
<0182> 俺は篝が愛おしい。

// <0183> 耐えることができると決めた。
<0183> 耐えることができると決めた。

// <0184> そして三度目の上書き。
<0184> そして三度目の上書き。

// <0185> 途端、意識と認知が縦方向に引き延ばされる。
<0185> 途端、意識と認知が縦方向に引き延ばされる。

// <0186> 事象は縦割り。
<0186> 事象は縦割り。

// <0187> 時間は交差する非論理の流れだと知る。
<0187> 時間は交差する非論理の流れだと知る。

// <0188> 俺はハシゴをよじのぼっていく。
<0188> 俺はハシゴをよじのぼっていく。

// <0189> 高く、どこまでも高く。
<0189> 高く、どこまでも高く。

// <0190> 山よりも空よりも高く、宇宙よりも時間よりも上…
<0190> 山よりも空よりも高く、宇宙よりも時間よりも上…

// <0191> そこからは、万物が見えた。
<0191> そこからは、万物が見えた。

// <0192> ああ、そうか…そうだったのか…
<0192> ああ、そうか…そうだったのか…

// <0193> 未来方向に行けば行くほど、事象は時間から遠のいていくのか。
<0193> 未来方向に行けば行くほど、事象は時間から遠のいていくのか。

// <0194> わかる…いろんなことがわかるぞ…
<0194> わかる…いろんなことがわかるぞ…

// <0195> こんなにも多くのことが未発見だったんだ。
<0195> こんなにも多くのことが未発見だったんだ。

// <0196> ノーベル賞が無数に落ちている。
<0196> ノーベル賞が無数に落ちている。

// <0197> いくらでも拾えそうだ。
<0197> いくらでも拾えそうだ。

// <0198> 法則は極彩色にデタラメで。
<0198> 法則は極彩色にデタラメで。

// <0199> でも全て説明できた。
<0199> でも全て説明できた。

// <0200> あと七回…いや、六回の上書きで行ける。
<0200> あと七回…いや、六回の上書きで行ける。

// <0201> たったの六回！
<0201> たったの六回！

// <0202> それで俺は、全部を理解することができるだろう。
<0202> それで俺は、全部を理解することができるだろう。

// <0203> 一度、低みに戻って調整する暇も惜しい。
<0203> 一度、低みに戻って調整する暇も惜しい。

// <0204> このまま行ってしまおう。
<0204> このまま行ってしまおう。

// <0205> その場から、さらにもうひとっ飛びを行った。
<0205> その場から、さらにもうひとっ飛びを行った。

// <0206> 四度目の跳躍を終えると、そこには興味深いものがあふれていた。
<0206> 四度目の跳躍を終えると、そこには興味深いものがあふれていた。

// <0207> 様々な力の形態や、折り畳まれた法則や、数々の非物質的結晶に触れた。
<0207> 様々な力の形態や、折り畳まれた法則や、数々の非物質的結晶に触れた。

// <0208> どれもご機嫌な玩具だ。好奇心を誘う。
<0208> どれもご機嫌な玩具だ。好奇心を誘う。

// <0209> 反面、今までの人生や記憶が、色あせて感じられた。
<0209> 反面、今までの人生や記憶が、色あせて感じられた。

// <0210> まだまだ上はある。
<0210> まだまだ上はある。

// <0211> これほど高まってなお、空のてっぺんは見えない。
<0211> これほど高まってなお、空のてっぺんは見えない。

// <0212> 篝にさえ、追いついていない。
<0212> 篝にさえ、追いついていない。

// <0213> 迷うことはない。人であることに未練などない。
<0213> 迷うことはない。人であることに未練などない。

// <0214> …あんなくだらないもの、どうでもいい。
<0214> …あんなくだらないもの、どうでもいい。

// <0215> 五度目の跳躍を実行した。
<0215> 五度目の跳躍を実行した。

// <0216> 意識が浮き上がる。
<0216> 意識が浮き上がる。

// <0217> ひなぎくの丘は遙か下方で、点のようになっていく。
<0217> ひなぎくの丘は遙か下方で、点のようになっていく。

// <0218> 見失ったら、もう戻れるかどうか。
<0218> 見失ったら、もう戻れるかどうか。

// <0219> 篝にはまだ未練がある。
<0219> 篝にはまだ未練がある。

// <0220> 瑚太朗
<0220> 瑚太朗

// <0221> （だって…上に行かないと、何もわからないんだ）
<0221> （だって…上に行かないと、何もわからないんだ）

// <0222> 言い訳をした。
<0222> 言い訳をした。

// <0223> すでに、ひどく寒い。
<0223> すでに、ひどく寒い。

// <0224> 心を満たしていたあらゆる温度が失われていた。
<0224> 心を満たしていたあらゆる温度が失われていた。

// <0225> 人の心が機械仕掛けだとしたら、尊いと思えるだろうか。
<0225> 人の心が機械仕掛けだとしたら、尊いと思えるだろうか。

// <0226> 解き明かされた秘密が、神秘でいられるだろうか。
<0226> 解き明かされた秘密が、神秘でいられるだろうか。

// <0227> 人間がひどく価値のない存在に思えた。
<0227> 人間がひどく価値のない存在に思えた。

// <0228> …寒い。
<0228> …寒い。

// <0229> 好奇心を満たすことだけが、今は価値ある行為だ。
<0229> 好奇心を満たすことだけが、今は価値ある行為だ。

// <0230> 少なくともわからないものは、上方にしかない。
<0230> 少なくともわからないものは、上方にしかない。

// <0231> 五度目をのぼる途中で、唐突に愛を見つけた。
<0231> 五度目をのぼる途中で、唐突に愛を見つけた。

// <0232> 小さなカケラ。
<0232> 小さなカケラ。

// <0233> 愛の概念がこんな高い位置に置かれていたことが驚きだ。
<0233> 愛の概念がこんな高い位置に置かれていたことが驚きだ。

// <0234> 低位の感情、脳の錯覚だとばかり…
<0234> 低位の感情、脳の錯覚だとばかり…

// <0235> アイーン…アイーン…
<0235> アイーン…アイーン…

// <0236> 震えて、鳴っている。
<0236> 震えて、鳴っている。

// <0237> 愛はかつて上にあり、そこから一部が落ちてきたようだ。
<0237> 愛はかつて上にあり、そこから一部が落ちてきたようだ。

// <0238> このことは、愛がとても重要であることを意味する。
<0238> このことは、愛がとても重要であることを意味する。

// <0239> 信じられない。
<0239> 信じられない。

// <0240> 手にとって、吟味してみる。
<0240> 手にとって、吟味してみる。

// <0241> 理解が広がる。
<0241> 理解が広がる。

// <0242> …愛がない知性だけの命では、広がれない？
<0242> …愛がない知性だけの命では、広がれない？

// <0243> …ああ、自己犠牲の精神か…
<0243> …ああ、自己犠牲の精神か…

// <0244> …だが…
<0244> …だが…

// <0245> …そもそも、なぜ広がらねばならない？
<0245> …そもそも、なぜ広がらねばならない？

// <0246> ………………
<0246> ………………

// <0247> …そんな理由で？
<0247> …そんな理由で？

// <0248> …え、これって正しいのか？　嘘みたいだぞ？
<0248> …え、これって正しいのか？　嘘みたいだぞ？

// <0249> …そんな優しいものなのか？
<0249> …そんな優しいものなのか？

// <0250> …神なんてどこにもいないのに？
<0250> …神なんてどこにもいないのに？

// <0251> …その優しさの主体は…どこから来る？
<0251> …その優しさの主体は…どこから来る？

// <0252> ………構造…が…？
<0252> ………構造…が…？

// <0253> …結果論じゃないか…
<0253> …結果論じゃないか…

// <0254> …でもそれが…真実？
<0254> …でもそれが…真実？

// <0255> …愛って、そうなのか？
<0255> …愛って、そうなのか？

// <0256> …それでいいのか？
<0256> …それでいいのか？

// <0257> …嘘だろ…
<0257> …嘘だろ…

// <0258> …根はどこにある？
<0258> …根はどこにある？

// <0259> …はじまりは…
<0259> …はじまりは…

// <0260> …あ、これ…第一章完って書いてあるけど…
<0260> …あ、これ…第一章完って書いてあるけど…

// <0261> …第二章はどこだよ？
<0261> …第二章はどこだよ？

// <0262> それは、おそろしく高い場所に保管されていて、届きそうにない。
<0262> それは、おそろしく高い場所に保管されていて、届きそうにない。

// <0263> …そんな高みに…
<0263> …そんな高みに…

// <0264> 跳躍十回分…十五回は必要だ…いや、それでも足りない…
<0264> 跳躍十回分…十五回は必要だ…いや、それでも足りない…

// <0265> 高度が示す事実は、それが世界のはじまりから存在していたことを意味する。
<0265> 高度が示す事実は、それが世界のはじまりから存在していたことを意味する。

// <0266> いいだろう。行ってやろうじゃないか。
<0266> いいだろう。行ってやろうじゃないか。

// <0267> 上へ。確かめるために。
<0267> 上へ。確かめるために。

// <0268> 様々な真理の断片が耳元をよぎった。
<0268> 様々な真理の断片が耳元をよぎった。

// <0269> 物質と精神がひとつだった時代について…
<0269> 物質と精神がひとつだった時代について…

// <0270> １秒未満で生まれ滅びた文化圏について…
<0270> １秒未満で生まれ滅びた文化圏について…

// <0271> 拡散の選択圧について…
<0271> 拡散の選択圧について…

// <0272> どれも興味深いものばかりだが、今は無視した。
<0272> どれも興味深いものばかりだが、今は無視した。

// <0273> のぼりゆく俺の額に、何かが当たった。
<0273> のぼりゆく俺の額に、何かが当たった。

// <0274> 手に取ってみる。
<0274> 手に取ってみる。

// <0275> ■■。
<0275> ■■。

// <0276> なんだろう。わからない。
<0276> なんだろう。わからない。

// <0277> やたら固い。石みたいな概念だ。
<0277> やたら固い。石みたいな概念だ。

// <0278> 今の俺に、ここまで理解できないことがあるなんて。
<0278> 今の俺に、ここまで理解できないことがあるなんて。

// <0279> ■■。
<0279> ■■。

// <0280> だめだ。
<0280> だめだ。

// <0281> まるで噛み砕けない。
<0281> まるで噛み砕けない。

// <0282> ∞と同じくらい固いものだ…
<0282> ∞と同じくらい固いものだ…

// <0283> 本当の秘密ってやつか。
<0283> 本当の秘密ってやつか。

// <0284> これじゃあ…何十回上書きしても消化できない…
<0284> これじゃあ…何十回上書きしても消化できない…

// <0285> …ん…？
<0285> …ん…？

// <0286> …なんだ…？
<0286> …なんだ…？

// <0287> このあたりには、同じようなものがたくさんある…
<0287> このあたりには、同じようなものがたくさんある…

// <0288> 理解できそうにないものが…こんなに…
<0288> 理解できそうにないものが…こんなに…

// <0289> ■■。
<0289> ■■。

// <0290> ■と■。
<0290> ■と■。

// <0291> あるいは■。
<0291> あるいは■。

// <0292> ■■■ないしは■■。
<0292> ■■■ないしは■■。

// <0293> ■■■■であり■■■■■■■。
<0293> ■■■■であり■■■■■■■。

// <0294> ■■■∵■■■■■。
<0294> ■■■∵■■■■■。

// <0295> 上昇すればするほど、理解できないものが増えていく。
<0295> 上昇すればするほど、理解できないものが増えていく。

// <0296> そして――
<0296> そして――

// <0297> ■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■…
<0297> ■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■…

// <0298> 壁が現れた。
<0298> 壁が現れた。

// <0299> 天井と呼ぶべきか。
<0299> 天井と呼ぶべきか。

// <0300> 絶対的に理解不可能なもので、上方は埋め尽くされていた。
<0300> 絶対的に理解不可能なもので、上方は埋め尽くされていた。

// <0301> 岩盤みたいだ…
<0301> 岩盤みたいだ…

// <0302> 上書きを何百と行えば…あるいは…
<0302> 上書きを何百と行えば…あるいは…

// <0303> でもその時、俺は存在していられるのか？
<0303> でもその時、俺は存在していられるのか？

// <0304> 瑚太朗
<0304> 瑚太朗

// <0305> （そうか…ここまでか、人の限度は）
<0305> （そうか…ここまでか、人の限度は）

// <0306> 瑚太朗
<0306> 瑚太朗

// <0307> （これっぽっちなのか、人の可能性は）
<0307> （これっぽっちなのか、人の可能性は）

// <0308> 瑚太朗
<0308> 瑚太朗

// <0309> （なんだ…）
<0309> （なんだ…）

// <0310> 瑚太朗
<0310> 瑚太朗

// <0311> （でも…）
<0311> （でも…）

// <0312> 瑚太朗
<0312> 瑚太朗

// <0313> （わからないことがあるから、希望を持てるのかもな…）
<0313> （わからないことがあるから、希望を持てるのかもな…）

// <0314> 瑚太朗
<0314> 瑚太朗

// <0315> （すべてを理解してしまったら、つまらなくなる）
