// <0000> 【月光散歩】
<0000> 【月光散歩】
<0054> うまく説明する言葉が他にない。

// <0055> 瑚太朗＿必要
<0055> 瑚太朗＿必要

// <0056> 今夜、と記述するしかない。
<0056> 今夜、と記述するしかない。

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> （座標…）
<0058> （座標…）

// <0059> 瑚太朗＿必要
<0059> 瑚太朗＿必要

// <0060> そう、座標だ。
<0060> そう、座標だ。

// <0061> 瑚太朗＿必要
<0061> 瑚太朗＿必要

// <0062> 座標がずれている。
<0062> 座標がずれている。

// <0063> 瑚太朗＿必要
<0063> 瑚太朗＿必要

// <0064> …わからんか。
<0064> …わからんか。

// <0065> 瑚太朗＿必要
<0065> 瑚太朗＿必要

// <0066> 俺もわからん。
<0066> 俺もわからん。

// <0067> 瑚太朗
<0067> 瑚太朗

// <0068> （ああ、それにしてもいい夜だ…）
<0068> （ああ、それにしてもいい夜だ…）

// <0069> 
<0069> 

// <0070> 近道として険しい山道を通ったが、苦労することはなかった。
<0070> 近道として険しい山道を通ったが、苦労することはなかった。

// <0071> 息ひとつ乱さずに辿りつく。
<0071> 息ひとつ乱さずに辿りつく。

// <0072> 体は、よく鍛えられているようだった。
<0072> 体は、よく鍛えられているようだった。

// <0073> 体力・知識・能力、おのおのが最も良い状態に収束している。
<0073> 体力・知識・能力、おのおのが最も良い状態に収束している。

// <0074> 収束？
<0074> 収束？

// <0075> まるで俺のパターンが無数にあるみたいな単語だ。
<0075> まるで俺のパターンが無数にあるみたいな単語だ。

// <0076> 自分のことがよくわからない。
<0076> 自分のことがよくわからない。

// <0077> 意識がブレている気がした。
<0077> 意識がブレている気がした。

// <0078> 深夜だというのに、やけに明るい。
<0078> 深夜だというのに、やけに明るい。

// <0079> 空を見上げた。
<0079> 空を見上げた。

// <0080> 瑚太朗
<0080> 瑚太朗

// <0081> 「そうか…夜は明るいんだ」
<0081> 「そうか…夜は明るいんだ」

// <0082> 大きな月が、温度のない光で世界を照らしていた。
<0082> 大きな月が、温度のない光で世界を照らしていた。

// <0083> 丘を埋め尽くす白と黒のひな菊が、月光をやわらかく受け止めている。
<0083> 丘を埋め尽くす白と黒のひな菊が、月光をやわらかく受け止めている。

// <0084> そして彼女は、そこにいた。
<0084> そして彼女は、そこにいた。

// <0085> 丘の頂上…
<0085> 丘の頂上…

// <0086> 机も椅子もないその場所に、大きな、信じられないくらい大きな紙。
<0086> 机も椅子もないその場所に、大きな、信じられないくらい大きな紙。

// <0087> レジャーシートよりも大きい。
<0087> レジャーシートよりも大きい。

// <0088> 花弁のように何枚も重ねられていた。
<0088> 花弁のように何枚も重ねられていた。

// <0089> その上、ちょうど芯の部分、何かを探すように少女がよつんばいになっている。
<0089> その上、ちょうど芯の部分、何かを探すように少女がよつんばいになっている。

// <0090> 瑚太朗
<0090> 瑚太朗

// <0091> 「…っ」
<0091> 「…っ」

// <0092> 意識を電流が貫く。
<0092> 意識を電流が貫く。

// <0093> 彼女が何者か、知っている気がする。
<0093> 彼女が何者か、知っている気がする。

// <0094> 声をかけようとした。
<0094> 声をかけようとした。

// <0095> 世界がぐらりと傾いだ。
<0095> 世界がぐらりと傾いだ。

// <0096> 眼球がひっくり返ってしまったみたいになる。
<0096> 眼球がひっくり返ってしまったみたいになる。

// <0097> 倒れかけているのか、すでに転倒してしまった後なのか、それさえも。
<0097> 倒れかけているのか、すでに転倒してしまった後なのか、それさえも。

// <0098> 上と下、左と右、前と後ろを見失う。
<0098> 上と下、左と右、前と後ろを見失う。

// <0099> 自分が拡散して薄まり、とける。
<0099> 自分が拡散して薄まり、とける。

// <0100> 俺が、なくなる。
<0100> 俺が、なくなる。

// <0101> だというのに、不安はなかった。
<0101> だというのに、不安はなかった。

// <0102> 消えたとして…消えて…だとしても。
<0102> 消えたとして…消えて…だとしても。

// <0103> また収束することだろう。
<0103> また収束することだろう。

// <0104> 湖面にゆれる月光が、かき乱されてもまたすぐ蘇るかのように。
<0104> 湖面にゆれる月光が、かき乱されてもまたすぐ蘇るかのように。

// <0105> 瑚太朗
<0105> 瑚太朗

// <0106> （…影なんだ）
<0106> （…影なんだ）

// <0107> 今宵はここまで。
<0107> 今宵はここまで。

// <0108> そう理解した。
<0108> そう理解した。

// <0109> 【少女篝】
<0109> 【少女篝】

// <0110> …
<0110> …

// <0111> ……
<0111> ……

// <0112> ………
<0112> ………

// <0113> 瑚太朗
<0113> 瑚太朗

// <0114> 「…さて」
<0114> 「…さて」

// <0115> そしてまた、夜は来る。
<0115> そしてまた、夜は来る。

// <0116> 夜にもいろいろある。
<0116> 夜にもいろいろある。

// <0117> 暗い夜、恐ろしげな夜、冷たい夜…
<0117> 暗い夜、恐ろしげな夜、冷たい夜…

// <0118> 今夜はそのどれとも異なる。
<0118> 今夜はそのどれとも異なる。

// <0119> 明るくて、ほんのりあたたかな夜なのだ。
<0119> 明るくて、ほんのりあたたかな夜なのだ。

// <0120> 汗もかかないし、寒くもない。
<0120> 汗もかかないし、寒くもない。

// <0121> 月と星が、闇を薄めて夜を青くしている。
<0121> 月と星が、闇を薄めて夜を青くしている。

// <0122> 煌々と照らされる町は、夜の劇場めいていた。
<0122> 煌々と照らされる町は、夜の劇場めいていた。

// <0123> 瑚太朗
<0123> 瑚太朗

// <0124> 「～♪」
<0124> 「～♪」

// <0125> 無人の町は、少年心をくすぐる。
<0125> 無人の町は、少年心をくすぐる。

// <0126> ずっとヘビーローテだった人気ポップスを口ずさむ。
<0126> ずっとヘビーローテだった人気ポップスを口ずさむ。

// <0127> とても大好きだった曲…
<0127> とても大好きだった曲…

// <0128> なのにタイトルさえ思い出せないだなんて。
<0128> なのにタイトルさえ思い出せないだなんて。

// <0129> 全てがぼんやりとしてしまっていた。
<0129> 全てがぼんやりとしてしまっていた。

// <0130> おかしな俺だ。
<0130> おかしな俺だ。

// <0131> 少し走ってみる。
<0131> 少し走ってみる。

// <0132> 長めの歩幅でアスファルトを踏みつけていく。
<0132> 長めの歩幅でアスファルトを踏みつけていく。

// <0133> 長い影が周囲の建物に浮き上がり、俺から逃げるようにくるりと遠ざかった。
<0133> 長い影が周囲の建物に浮き上がり、俺から逃げるようにくるりと遠ざかった。

// <0134> 壁にしがみつき、屋根に駆けのぼる。瞬時だ。
<0134> 壁にしがみつき、屋根に駆けのぼる。瞬時だ。

// <0135> ほんの少しの突起があれば、どんな絶壁だってのぼっていける。
<0135> ほんの少しの突起があれば、どんな絶壁だってのぼっていける。

// <0136> 民家の屋根を軽快に飛び移っていく。
<0136> 民家の屋根を軽快に飛び移っていく。

// <0137> 体がとても軽い。
<0137> 体がとても軽い。

// <0138> 空も飛べるかも。
<0138> 空も飛べるかも。

// <0139> 民家が途切れるところで、思いっきり空に跳躍してみた。
<0139> 民家が途切れるところで、思いっきり空に跳躍してみた。

// <0140> …さすがに、無理だった。
<0140> …さすがに、無理だった。

// <0141> 忘れていた重みを、体が思い出す。
<0141> 忘れていた重みを、体が思い出す。

// <0142> ゆるやかな引力に誘われ、俺は着地した。
<0142> ゆるやかな引力に誘われ、俺は着地した。

// <0143> 瑚太朗
<0143> 瑚太朗

// <0144> 「…行かないと」
<0144> 「…行かないと」

// <0145> 目も醒めたことだし、行くべき場所を目指すことにする。
<0145> 目も醒めたことだし、行くべき場所を目指すことにする。

// <0146> 変わらず、彼女はそこにいた。
<0146> 変わらず、彼女はそこにいた。

// <0147> ずっといたのか。今だけ浮き上がってきたのか。
<0147> ずっといたのか。今だけ浮き上がってきたのか。

// <0148> …本当はいないのか。
<0148> …本当はいないのか。

// <0149> また別の何かなのか。
<0149> また別の何かなのか。

// <0150> 確かめようのない疑問を、心の混沌に沈めた。
<0150> 確かめようのない疑問を、心の混沌に沈めた。

// <0151> 声をかける。
<0151> 声をかける。

// <0152> 瑚太朗
<0152> 瑚太朗

// <0153> 「ねえ」
<0153> 「ねえ」

// <0154> 少女＿篝
<0154> 少女＿篝

// <0155> 「…」
<0155> 「…」

// <0156> 当然のように無視される。
<0156> 当然のように無視される。

// <0157> 人間の言葉がわからない？
<0157> 人間の言葉がわからない？

// <0158> いや、そんなことはない。
<0158> いや、そんなことはない。

// <0159> 彼女には言葉を学び、理解する高い能力があるはずなのだ。
<0159> 彼女には言葉を学び、理解する高い能力があるはずなのだ。

// <0160> そうでなければ人の姿をしていない。
<0160> そうでなければ人の姿をしていない。

// <0161> これらもまた、なんとなく理解できたことだった。
<0161> これらもまた、なんとなく理解できたことだった。

// <0162> 言葉のない理解ではあるが。
<0162> 言葉のない理解ではあるが。

// <0163> 瑚太朗
<0163> 瑚太朗

// <0164> 「それは、何してんの？」
<0164> 「それは、何してんの？」

// <0165> 少女＿篝
<0165> 少女＿篝

// <0166> 「…」
<0166> 「…」

// <0167> 瑚太朗
<0167> 瑚太朗

// <0168> 「わかった。宿題だ」
<0168> 「わかった。宿題だ」

// <0169> 少女＿篝
<0169> 少女＿篝

// <0170> 「…」
<0170> 「…」

// <0171> 瑚太朗
<0171> 瑚太朗

// <0172> 「難しそうだ。数学かな？」
<0172> 「難しそうだ。数学かな？」

// <0173> 反応はない。
<0173> 反応はない。

// <0174> 見もしない。
<0174> 見もしない。

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「無口なんだな」
<0176> 「無口なんだな」

// <0177> 瑚太朗
<0177> 瑚太朗

// <0178> 「それは、どんなことを…？」
<0178> 「それは、どんなことを…？」

// <0179> 複雑な図面をのぞきこもうとする。
<0179> 複雑な図面をのぞきこもうとする。

// <0180> 何かが俺の目を覆った。
<0180> 何かが俺の目を覆った。

// <0181> 瑚太朗
<0181> 瑚太朗

// <0182> 「…わ」
<0182> 「…わ」

// <0183> つかんでみると、それはリボンのような布きれだ。
<0183> つかんでみると、それはリボンのような布きれだ。

// <0184> 瑚太朗
<0184> 瑚太朗

// <0185> 「なんだこれ？　どこから出て…」
<0185> 「なんだこれ？　どこから出て…」

// <0186> 確かめるより早く、するりと指の間を滑り落ちる。
<0186> 確かめるより早く、するりと指の間を滑り落ちる。

// <0187> まるで摩擦を感じない。
<0187> まるで摩擦を感じない。

// <0188> 水と絹をあわせたような肌触りだった。
<0188> 水と絹をあわせたような肌触りだった。

// <0189> 
<0189> 

// <0190> 少女＿篝
<0190> 少女＿篝

// <0191> 「…」
<0191> 「…」

// <0192> じっ、と。
<0192> じっ、と。

// <0193> 少女が無感情的な瞳で、俺を頭のてっぺんからつま先まで走査した。
<0193> 少女が無感情的な瞳で、俺を頭のてっぺんからつま先まで走査した。

// <0194> 文字通り、見透かされた、と感じた。
<0194> 文字通り、見透かされた、と感じた。

// <0195> 異質の目をしていた。
<0195> 異質の目をしていた。

// <0196> その奥には、人間のともしびを見ることはできない。
<0196> その奥には、人間のともしびを見ることはできない。

// <0197> 人の姿をしているが、内面はそうではないのだ。
<0197> 人の姿をしているが、内面はそうではないのだ。

// <0198> 瑚太朗
<0198> 瑚太朗

// <0199> 「すごい力を持ってるんだな」
<0199> 「すごい力を持ってるんだな」

// <0200> 瑚太朗
<0200> 瑚太朗

// <0201> 「でも不思議だ…そんな、遠くには感じない」
<0201> 「でも不思議だ…そんな、遠くには感じない」

// <0202> 瑚太朗
<0202> 瑚太朗

// <0203> 「うまく説明できないが…」
<0203> 「うまく説明できないが…」

// <0204> 少女は何も言わない。
<0204> 少女は何も言わない。

// <0205> 不動だ。
<0205> 不動だ。

// <0206> まばたきひとつしない。
<0206> まばたきひとつしない。

// <0207> 無駄な動作がなく、静止画めいている。
<0207> 無駄な動作がなく、静止画めいている。

// <0208> 重い沈黙が訪れた。
<0208> 重い沈黙が訪れた。

// <0209> 夜の緞帳をつたって垂れてきた、蜜蝋のような空気だ。
<0209> 夜の緞帳をつたって垂れてきた、蜜蝋のような空気だ。

// <0210> 呼吸が苦しくなる。
<0210> 呼吸が苦しくなる。

// <0211> 根負けして、何か軽い言葉でも発しようと口を開きかけた。
<0211> 根負けして、何か軽い言葉でも発しようと口を開きかけた。

// <0212> その時、少女の口がからくり人形のように開いた。
<0212> その時、少女の口がからくり人形のように開いた。

// <0213> 少女＿篝
<0213> 少女＿篝

// <0214> 「■」
<0214> 「■」

// <0215> はじめて聞く少女の声は、異国の言葉のように脳に響いた。
<0215> はじめて聞く少女の声は、異国の言葉のように脳に響いた。

// <0216> 直後、
<0216> 直後、

// <0217> 瑚太朗
<0217> 瑚太朗

// <0218> 「…っ」
<0218> 「…っ」

// <0219> 頭痛が走った。
<0219> 頭痛が走った。

// <0220> 耐え難い苦痛。両耳をおさえる。
<0220> 耐え難い苦痛。両耳をおさえる。

// <0221> 少女＿篝
<0221> 少女＿篝

// <0222> 「■」
<0222> 「■」

// <0223> また激痛に襲われる。
<0223> また激痛に襲われる。

// <0224> 耳をふさいでも、まるで弱まることはない。
<0224> 耳をふさいでも、まるで弱まることはない。

// <0225> 空気ではなく脳に直接注がれるみたいな、強烈な毒素。
<0225> 空気ではなく脳に直接注がれるみたいな、強烈な毒素。

// <0226> 瑚太朗
<0226> 瑚太朗

// <0227> 「やめて…くれ……痛いんだ…」
<0227> 「やめて…くれ……痛いんだ…」

// <0228> 少女＿篝
<0228> 少女＿篝

// <0229> 「■」
<0229> 「■」

// <0230> 瑚太朗
<0230> 瑚太朗

// <0231> 「…ぐぅ」
<0231> 「…ぐぅ」

// <0232> 力ある言葉というものを、はじめて聞く。
<0232> 力ある言葉というものを、はじめて聞く。

// <0233> この未知の言葉には、情報が高密度に畳み込まれている。
<0233> この未知の言葉には、情報が高密度に畳み込まれている。

// <0234> いくつもの秘密を織り込んで、それは未熟な受け手にとって有毒なものとなる。
<0234> いくつもの秘密を織り込んで、それは未熟な受け手にとって有毒なものとなる。

// <0235> 苦痛から逃れようとふらついて、俺は少女に接近した。
<0235> 苦痛から逃れようとふらついて、俺は少女に接近した。

// <0236> 未知の何かが翻った。
<0236> 未知の何かが翻った。

// <0237> どっ
<0237> どっ

// <0238> 瑚太朗
<0238> 瑚太朗

// <0239> 「…？」
<0239> 「…？」

// <0240> 空が回転していた。
<0240> 空が回転していた。

// <0241> 眼下に丘が見えた。
<0241> 眼下に丘が見えた。

// <0242> そこに、俺の体が大の字で倒れている。
<0242> そこに、俺の体が大の字で倒れている。

// <0243> 俺の体には、頭部がなかった。
<0243> 俺の体には、頭部がなかった。

// <0244> 首のあたりですっぱりと切断され、血ではなく赤と緑に輝く液体を流していた。
<0244> 首のあたりですっぱりと切断され、血ではなく赤と緑に輝く液体を流していた。

// <0245> 瑚太朗
<0245> 瑚太朗

// <0246> （…嘘だろ）
<0246> （…嘘だろ）

// <0247> 地面に落下する前に、俺の意識は途絶えた。
<0247> 地面に落下する前に、俺の意識は途絶えた。

// <0248> 主観的には、すぐに目覚めた。
<0248> 主観的には、すぐに目覚めた。

// <0249> 瑚太朗
<0249> 瑚太朗

// <0250> 「…」
<0250> 「…」

// <0251> 首筋を撫でる。
<0251> 首筋を撫でる。

// <0252> 切断の傷はない。
<0252> 切断の傷はない。

// <0253> 一度散り、再び収束したのだから当然だ。
<0253> 一度散り、再び収束したのだから当然だ。

// <0254> 水面に映った月は、かき乱されてもまた蘇る。
<0254> 水面に映った月は、かき乱されてもまた蘇る。

// <0255> 月が夜空から消えない限り。
<0255> 月が夜空から消えない限り。

// <0256> 瑚太朗
<0256> 瑚太朗

// <0257> 「不思議だ…」
<0257> 「不思議だ…」

// <0258> 現象が現象であることに、理由なんてないのかも知れない。
<0258> 現象が現象であることに、理由なんてないのかも知れない。

// <0259> 俺がここに現れたのは何かの結果に過ぎない。反射に過ぎない。
<0259> 俺がここに現れたのは何かの結果に過ぎない。反射に過ぎない。

// <0260> そんな気がしてならなかった。
<0260> そんな気がしてならなかった。

// <0261> なら俺は、運命を自力で切り開くことはできない。
<0261> なら俺は、運命を自力で切り開くことはできない。

// <0262> 湖面の月が、そうであるように。
<0262> 湖面の月が、そうであるように。

// <0263> …残酷だ。
<0263> …残酷だ。

// <0264> 鏡像にも独自の意識があるだなんて。
<0264> 鏡像にも独自の意識があるだなんて。

// <0265> いや、独自の思考とみせかけて、すでに決定済みの様式をなぞっているだけなのかも。
<0265> いや、独自の思考とみせかけて、すでに決定済みの様式をなぞっているだけなのかも。

// <0266> 瑚太朗
<0266> 瑚太朗

// <0267> （…考えてもきりがないことだ）
<0267> （…考えてもきりがないことだ）

// <0268> それにやるべきこともある。
<0268> それにやるべきこともある。

// <0269> 自分の心に訊ねれば、すぐにわかる。
<0269> 自分の心に訊ねれば、すぐにわかる。

// <0270> 彼女に会いに行く。
<0270> 彼女に会いに行く。

// <0271> それだけが今の俺にとって、唯一の執着となっていた。
<0271> それだけが今の俺にとって、唯一の執着となっていた。

// <0272> 少女は相変わらずそこにいた。
<0272> 少女は相変わらずそこにいた。

// <0273> 俺の接近を感知して、彼女はこちらを見る。
<0273> 俺の接近を感知して、彼女はこちらを見る。

// <0274> 瑚太朗
<0274> 瑚太朗

// <0275> 「よ、よう…」
<0275> 「よ、よう…」

// <0276> 少女＿篝
<0276> 少女＿篝

// <0277> 「…」
<0277> 「…」

// <0278> 軽薄な挨拶が虚しく滑る。
<0278> 軽薄な挨拶が虚しく滑る。

// <0279> 一定の距離まで接近すると、少女の両手首を結び止めているリボンが、ふわりと宙に浮いた。
<0279> 一定の距離まで接近すると、少女の両手首を結び止めているリボンが、ふわりと宙に浮いた。

// <0280> 風もないのに…
<0280> 風もないのに…

// <0281> リボンにはいやな感じが宿っている。
<0281> リボンにはいやな感じが宿っている。

// <0282> 彼我の距離、約３０メートル。
<0282> 彼我の距離、約３０メートル。

// <0283> これ以上接近すると、攻撃される気がした。
<0283> これ以上接近すると、攻撃される気がした。

// <0284> 瑚太朗
<0284> 瑚太朗

// <0285> （あのリボン…武器か？）
<0285> （あのリボン…武器か？）

// <0286> 少女は他になにも得物になるようなものを手にしていない。
<0286> 少女は他になにも得物になるようなものを手にしていない。

// <0287> リボンは俺を威嚇するように宙に大きく波打っている。
<0287> リボンは俺を威嚇するように宙に大きく波打っている。

// <0288> 威嚇しているのだ。
<0288> 威嚇しているのだ。

// <0289> それは増殖する性質があるようだ。
<0289> それは増殖する性質があるようだ。

// <0290> 何十本も束ねた帯が、それぞれの動きでたなびいている。
<0290> 何十本も束ねた帯が、それぞれの動きでたなびいている。

// <0291> リボンであるにも関わらず、こうして蠢く様子はひどく気味が悪い。
<0291> リボンであるにも関わらず、こうして蠢く様子はひどく気味が悪い。

// <0292> 瑚太朗
<0292> 瑚太朗

// <0293> （さて…どうする？）
<0293> （さて…どうする？）

// <0294> 試しに一歩、踏み込んでみる。
<0294> 試しに一歩、踏み込んでみる。

// <0295> すべてのリボンが、一斉に鋭利な刃物と化した。
<0295> すべてのリボンが、一斉に鋭利な刃物と化した。

// <0296> 後ずさると、リボンももとの形状に戻った。
<0296> 後ずさると、リボンももとの形状に戻った。

// <0297> 接近すれば斬られる。
<0297> 接近すれば斬られる。

// <0298> 保身したいのなら、ここで逃げるべきなんだろう。
<0298> 保身したいのなら、ここで逃げるべきなんだろう。

// <0299> けど今夜のどこにも、逃げる意味がある場所はない。
<0299> けど今夜のどこにも、逃げる意味がある場所はない。

// <0300> 街には誰もいないのだ。
<0300> 街には誰もいないのだ。

// <0301> 新たなものが生み出されることはない。
<0301> 新たなものが生み出されることはない。

// <0302> 丘に来るしかない。
<0302> 丘に来るしかない。

// <0303> 唯一無二で、特別のクエストがあるここに。
<0303> 唯一無二で、特別のクエストがあるここに。

// <0304> 瑚太朗
<0304> 瑚太朗

// <0305> （俺はこんな時、どうしただろう）
<0305> （俺はこんな時、どうしただろう）

// <0306> 自らの履歴を振り返ってみる。
<0306> 自らの履歴を振り返ってみる。

// <0307> 意外なことに、俺には過去の記憶らしきものがあった。
<0307> 意外なことに、俺には過去の記憶らしきものがあった。

// <0308> 膨大な数の記憶だ。
<0308> 膨大な数の記憶だ。

// <0309> すべてが色あせ、古びてはいたが、確かにそれは記憶に他ならない。
<0309> すべてが色あせ、古びてはいたが、確かにそれは記憶に他ならない。

// <0310> その中で自分が天王寺瑚太朗と呼ばれていたことや、あたたかな世界にいたことや、大勢の人々との日々を『思い出し』た。
<0310> その中で自分が天王寺瑚太朗と呼ばれていたことや、あたたかな世界にいたことや、大勢の人々との日々を『思い出し』た。

// <0311> 自分のなすべきことを思い出した。
<0311> 自分のなすべきことを思い出した。

// <0312> 瑚太朗
<0312> 瑚太朗

// <0313> （話そう）
<0313> （話そう）

// <0314> 対話。
<0314> 対話。

// <0315> 俺は彼女をわからないといけない。
<0315> 俺は彼女をわからないといけない。

// <0316> 同時に、向こうにも俺をわかってもらいたい。
<0316> 同時に、向こうにも俺をわかってもらいたい。

// <0317> ふたりの間に引く線について探りたい。
<0317> ふたりの間に引く線について探りたい。

// <0318> 線が引かれることで、やっと人は安心できる。
<0318> 線が引かれることで、やっと人は安心できる。

// <0319> 次にやるべきことも見えてくるはずだ。
<0319> 次にやるべきことも見えてくるはずだ。

// <0320> 瑚太朗
<0320> 瑚太朗

// <0321> 「あんた、ひとりなのか？」
<0321> 「あんた、ひとりなのか？」

// <0322> 少女＿篝
<0322> 少女＿篝

// <0323> 「…」
<0323> 「…」

// <0324> まったく反応を示さない。
<0324> まったく反応を示さない。

// <0325> 感情表現の兆しもない。
<0325> 感情表現の兆しもない。

// <0326> 怒ることも笑うことも知らない者の顔だった。
<0326> 怒ることも笑うことも知らない者の顔だった。

// <0327> 瑚太朗
<0327> 瑚太朗

// <0328> 「こんなところで寂しくないか？」
<0328> 「こんなところで寂しくないか？」

// <0329> 瑚太朗
<0329> 瑚太朗

// <0330> 「人恋しくなったりは？」
<0330> 「人恋しくなったりは？」

// <0331> 瑚太朗
<0331> 瑚太朗

// <0332> 「たまには人と話したくなるんじゃないか？」
<0332> 「たまには人と話したくなるんじゃないか？」

// <0333> 瑚太朗
<0333> 瑚太朗

// <0334> 「なあ…」
<0334> 「なあ…」

// <0335> リボンの一本が、内径を広げて俺の方に漂ってくる。
<0335> リボンの一本が、内径を広げて俺の方に漂ってくる。

// <0336> 少女の両手首はリボンによって繋がれているのだ。
<0336> 少女の両手首はリボンによって繋がれているのだ。

// <0337> 手錠のようにも見えるが、ここまで伸縮自在なら拘束の役目は果たしてはいまい。
<0337> 手錠のようにも見えるが、ここまで伸縮自在なら拘束の役目は果たしてはいまい。

// <0338> リボンが頬に触れた。
<0338> リボンが頬に触れた。

// <0339> 俺は微動だにせずに言葉を続ける。
<0339> 俺は微動だにせずに言葉を続ける。

// <0340> 瑚太朗
<0340> 瑚太朗

// <0341> 「俺は天王寺瑚太朗という」
<0341> 「俺は天王寺瑚太朗という」

// <0342> 瑚太朗
<0342> 瑚太朗

// <0343> 「瑚太朗って呼び捨ててくれると嬉しい」
<0343> 「瑚太朗って呼び捨ててくれると嬉しい」

// <0344> 瑚太朗
<0344> 瑚太朗

// <0345> 「初対面でもそう呼んでもらいたいんだ」
<0345> 「初対面でもそう呼んでもらいたいんだ」

// <0346> 瑚太朗
<0346> 瑚太朗

