// <0000> 地図に従って歩くと、すぐに川に出る。
<0000> 地図に従って歩くと、すぐに川に出る。
// <0074> 瑚太朗
<0074> 瑚太朗

// <0075> 「おなかピーピー言っても知らんぞ！」
<0075> 「おなかピーピー言っても知らんぞ！」

// <0076> 静流
<0076> 静流

// <0077> 「………」
<0077> 「………」

// <0078> 瑚太朗
<0078> 瑚太朗

// <0079> 「いや…もういい…」
<0079> 「いや…もういい…」

// <0080> ■マッピー／既読■　ID:
<0080> ■マッピー／既読■　ID:

// <0081>  (Z
<0081>  (Z

// <0082> -
<0082> -

// <0083> ■マッピー／コンプリート■
<0083> ■マッピー／コンプリート■

// <0084> 小鳥
<0084> 小鳥

// <0085> 「これは、どういうコースで進んでるの？」
<0085> 「これは、どういうコースで進んでるの？」

// <0086> 瑚太朗
<0086> 瑚太朗

// <0087> 「簡単だよ。川に沿って下ってるだけ」
<0087> 「簡単だよ。川に沿って下ってるだけ」

// <0088> 地図を見せる。
<0088> 地図を見せる。

// <0089> マーカーが引いてあるのでわかりやすい。
<0089> マーカーが引いてあるのでわかりやすい。

// <0090> 小鳥
<0090> 小鳥

// <0091> 「へー、ちゃんと計画してんだ」
<0091> 「へー、ちゃんと計画してんだ」

// <0092> 瑚太朗
<0092> 瑚太朗

// <0093> 「そりゃもう」
<0093> 「そりゃもう」

// <0094> 事故でも起こったら、俺ひとりの問題じゃなくなるからな。
<0094> 事故でも起こったら、俺ひとりの問題じゃなくなるからな。

// <0095> 小鳥
<0095> 小鳥

// <0096> 「今どのあたり？」
<0096> 「今どのあたり？」

// <0097> 瑚太朗
<0097> 瑚太朗

// <0098> 「ここらへんかな」
<0098> 「ここらへんかな」

// <0099> 指さした位置は、予定している行程の三分の一も超えていない。
<0099> 指さした位置は、予定している行程の三分の一も超えていない。

// <0100> ちはや
<0100> ちはや

// <0101> 「これ、最後まで進んだらどうするんです？」
<0101> 「これ、最後まで進んだらどうするんです？」

// <0102> 後ろからちはやが肩越しにのぞきこんでくる。
<0102> 後ろからちはやが肩越しにのぞきこんでくる。

// <0103> 瑚太朗
<0103> 瑚太朗

// <0104> 「肩に体重かけないで。疲労が疲れるから」
<0104> 「肩に体重かけないで。疲労が疲れるから」

// <0105> ちはや
<0105> ちはや

// <0106> 「疲労が疲れてるんですか…」
<0106> 「疲労が疲れてるんですか…」

// <0107> 瑚太朗
<0107> 瑚太朗

// <0108> 「予定したコースまで行って収穫がなかったら、引きあげる」
<0108> 「予定したコースまで行って収穫がなかったら、引きあげる」

// <0109> 小鳥
<0109> 小鳥

// <0110> 「ふーん、いさぎよい」
<0110> 「ふーん、いさぎよい」

// <0111> 瑚太朗
<0111> 瑚太朗

// <0112> 「今日一日でクリアせんでもいーのよ」
<0112> 「今日一日でクリアせんでもいーのよ」

// <0113> ちはや
<0113> ちはや

// <0114> 「ピクニックみたいでいいですね。気持ちいいです」
<0114> 「ピクニックみたいでいいですね。気持ちいいです」

// <0115> 瑚太朗
<0115> 瑚太朗

// <0116> 「そうだろ？　緑の街ですから」
<0116> 「そうだろ？　緑の街ですから」

// <0117> ちはや
<0117> ちはや

// <0118> 「本当、キレイすぎるくらいですし…」
<0118> 「本当、キレイすぎるくらいですし…」

// <0119> 風祭市はキレイ。
<0119> 風祭市はキレイ。

// <0120> キレイな緑の街。
<0120> キレイな緑の街。

// <0121> でもふと思う。
<0121> でもふと思う。

// <0122> 大自然にしてはキレイすぎるかも知れない。
<0122> 大自然にしてはキレイすぎるかも知れない。

// <0123> ■マッピー／既読■　ID:
<0123> ■マッピー／既読■　ID:

// <0124>  (Z
<0124>  (Z

// <0125> -
<0125> -

// <0126> ■マッピー／コンプリート■
<0126> ■マッピー／コンプリート■

// <0127> 瑚太朗
<0127> 瑚太朗

// <0128> 「腹が…ヘリリングだな」
<0128> 「腹が…ヘリリングだな」

// <0129> ルチア
<0129> ルチア

// <0130> 「…ふむ」
<0130> 「…ふむ」

// <0131> ルチア
<0131> ルチア

// <0132> 「なら背中は…スリリングだろう」
<0132> 「なら背中は…スリリングだろう」

// <0133> 瑚太朗
<0133> 瑚太朗

// <0134> 「いや、適当に口にしただけなので、そんな会話の繋げ方はしないでいい…」
<0134> 「いや、適当に口にしただけなので、そんな会話の繋げ方はしないでいい…」

// <0135> 小鳥
<0135> 小鳥

// <0136> 「なら頭は…イカリングだね」
<0136> 「なら頭は…イカリングだね」

// <0137> 瑚太朗
<0137> 瑚太朗

// <0138> 「繋げるなっちゅーに」
<0138> 「繋げるなっちゅーに」

// <0139> ちはや
<0139> ちはや

// <0140> 「この流れなら私にも乗れる…！」
<0140> 「この流れなら私にも乗れる…！」

// <0141> ちはや
<0141> ちはや

// <0142> 「お尻はスリランカですね！」
<0142> 「お尻はスリランカですね！」

// <0143> 瑚太朗
<0143> 瑚太朗

// <0144> 「それだけ仲間外れ」
<0144> 「それだけ仲間外れ」

// <0145> ちはや
<0145> ちはや

// <0146> 「一生懸命考えたんだからもっと肯定的な反応してください！」
<0146> 「一生懸命考えたんだからもっと肯定的な反応してください！」

// <0147> 瑚太朗
<0147> 瑚太朗

// <0148> 「リング繋がりにしないと」
<0148> 「リング繋がりにしないと」

// <0149> 瑚太朗
<0149> 瑚太朗

// <0150> 「くるぶしボーリングとか」
<0150> 「くるぶしボーリングとか」

// <0151> ちはや
<0151> ちはや

// <0152> 「それだと意味わかんないです」
<0152> 「それだと意味わかんないです」

// <0153> 瑚太朗
<0153> 瑚太朗

// <0154> 「いや、最初から全部意味わかんないから」
<0154> 「いや、最初から全部意味わかんないから」

// <0155> ルチア
<0155> ルチア

// <0156> 「チョコリング…」
<0156> 「チョコリング…」

// <0157> 瑚太朗
<0157> 瑚太朗

// <0158> 「もういいから」
<0158> 「もういいから」

// <0159> 瑚太朗
<0159> 瑚太朗

// <0160> 「そうだなーアチキも腹減ったぜーとか、そういう普通の反応でいい」
<0160> 「そうだなーアチキも腹減ったぜーとか、そういう普通の反応でいい」

// <0161> ルチア
<0161> ルチア

// <0162> 「どこが普通なんだ」
<0162> 「どこが普通なんだ」

// <0163> ルチア
<0163> ルチア

// <0164> 「行動食は持参してきてないのか？」
<0164> 「行動食は持参してきてないのか？」

// <0165> 瑚太朗
<0165> 瑚太朗

// <0166> 「あるにはあるんだが…」
<0166> 「あるにはあるんだが…」

// <0167> ルチア
<0167> ルチア

// <0168> 「行動食は必須だぞ」
<0168> 「行動食は必須だぞ」

// <0169> ルチア
<0169> ルチア

// <0170> 「天然の地形を移動するのは体力の消耗が激しい。定期的にものを口にしないとすぐに意識がもうろうとしてくる」
<0170> 「天然の地形を移動するのは体力の消耗が激しい。定期的にものを口にしないとすぐに意識がもうろうとしてくる」

// <0171> ルチア
<0171> ルチア

// <0172> 「高い負荷のかかる環境では、地上とはルールが異なると理解しておくべきだな」
<0172> 「高い負荷のかかる環境では、地上とはルールが異なると理解しておくべきだな」

// <0173> 瑚太朗
<0173> 瑚太朗

// <0174> 「ああ…そうだな、わかってる」
<0174> 「ああ…そうだな、わかってる」

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「ただ俺の行動食ってこれだ」
<0176> 「ただ俺の行動食ってこれだ」

// <0177> チューブチョコとチューブコンデンスミルク。
<0177> チューブチョコとチューブコンデンスミルク。

// <0178> ルチア
<0178> ルチア

// <0179> 「へえ」
<0179> 「へえ」

// <0180> 瑚太朗
<0180> 瑚太朗

// <0181> 「本当に行動用エネルギーになりそうなものを選んだんで、腹は膨れない」
<0181> 「本当に行動用エネルギーになりそうなものを選んだんで、腹は膨れない」

// <0182> ルチア
<0182> ルチア

// <0183> 「ふふ、天王寺はなかなか本格的なチョイスをするな」
<0183> 「ふふ、天王寺はなかなか本格的なチョイスをするな」

// <0184> 瑚太朗
<0184> 瑚太朗

// <0185> 「そうなのかこれ？」
<0185> 「そうなのかこれ？」

// <0186> ルチア
<0186> ルチア

// <0187> 「緊急用のエネルギー食になるものだぞ、それらは」
<0187> 「緊急用のエネルギー食になるものだぞ、それらは」

// <0188> ルチア
<0188> ルチア

// <0189> 「いざという時に湯にといたり、脱水時にも口にできる点で、良いな」
<0189> 「いざという時に湯にといたり、脱水時にも口にできる点で、良いな」

// <0190> ルチア
<0190> ルチア

// <0191> 「固形でない分、すぐにエネルギーに変わってくれそうだ」
<0191> 「固形でない分、すぐにエネルギーに変わってくれそうだ」

// <0192> 瑚太朗
<0192> 瑚太朗

// <0193> 「そんな局面まで考えないといかんのか、登山って」
<0193> 「そんな局面まで考えないといかんのか、登山って」

// <0194> ちはや
<0194> ちはや

// <0195> 「ビスケットとかだと、水がないとつらい時ありますよねぇ」
<0195> 「ビスケットとかだと、水がないとつらい時ありますよねぇ」

// <0196> 瑚太朗
<0196> 瑚太朗

// <0197> 「面白いな登山」
<0197> 「面白いな登山」

// <0198> ルチア
<0198> ルチア

// <0199> 「なんだ、知らないで選んだのか？」
<0199> 「なんだ、知らないで選んだのか？」

// <0200> 瑚太朗
<0200> 瑚太朗

// <0201> 「直感でこれかなって」
<0201> 「直感でこれかなって」

// <0202> 瑚太朗
<0202> 瑚太朗

// <0203> 「隠れた登山センスとかあんのかも」
<0203> 「隠れた登山センスとかあんのかも」

// <0204> 小鳥
<0204> 小鳥

// <0205> 「瑚太朗君はやればできる子なんだよねー？」
<0205> 「瑚太朗君はやればできる子なんだよねー？」

// <0206> 瑚太朗
<0206> 瑚太朗

// <0207> 「うん、そうなの」
<0207> 「うん、そうなの」

// <0208> 瑚太朗
<0208> 瑚太朗

// <0209> 「普段はのらくらしてるけど、いざって時は覚醒してすごいの、俺。もう、すごいの」
<0209> 「普段はのらくらしてるけど、いざって時は覚醒してすごいの、俺。もう、すごいの」

// <0210> 小鳥
<0210> 小鳥

// <0211> 「えらいえらい」
<0211> 「えらいえらい」

// <0212> 小鳥
<0212> 小鳥

// <0213> 「最中いっこあげるよ」
<0213> 「最中いっこあげるよ」

// <0214> 瑚太朗
<0214> 瑚太朗

// <0215> 「おお、サンキュー」
<0215> 「おお、サンキュー」

// <0216> もらった菓子をガツガツ食べた。
<0216> もらった菓子をガツガツ食べた。

// <0217> 朱音
<0217> 朱音

// <0218> 「…男を駄目にする女」
<0218> 「…男を駄目にする女」

// <0219> 朱音が小鳥を見て呟く。
<0219> 朱音が小鳥を見て呟く。

// <0220> 小鳥
<0220> 小鳥

// <0221> 「え？　なにですか会長さん？」
<0221> 「え？　なにですか会長さん？」

// <0222> 朱音
<0222> 朱音

// <0223> 「…いいえ、何でもないわよ」
<0223> 「…いいえ、何でもないわよ」

// <0224> 瑚太朗
<0224> 瑚太朗

// <0225> 「長時間歩いてて、エネルギー足りてないとクラッと来るよな」
<0225> 「長時間歩いてて、エネルギー足りてないとクラッと来るよな」

// <0226> ちはや
<0226> ちはや

// <0227> 「そうですね。一日歩いてると、よくなっちゃいますねえ」
<0227> 「そうですね。一日歩いてると、よくなっちゃいますねえ」

// <0228> 瑚太朗
<0228> 瑚太朗

// <0229> 「ちはやレーダーは相変わらず故障したままなのか」
<0229> 「ちはやレーダーは相変わらず故障したままなのか」

// <0230> ちはや
<0230> ちはや

// <0231> 「いや元々レーダーとかないですし…」
<0231> 「いや元々レーダーとかないですし…」

// <0232> 小鳥
<0232> 小鳥

// <0233> 「ちまちまとでも食べてると違うよね」
<0233> 「ちまちまとでも食べてると違うよね」

// <0234> 瑚太朗
<0234> 瑚太朗

// <0235> 「それ甘納豆？」
<0235> 「それ甘納豆？」

// <0236> ルチアは持参の菓子を歩きながらつまんでいた。
<0236> ルチアは持参の菓子を歩きながらつまんでいた。

// <0237> ルチア
<0237> ルチア

// <0238> 「そうだ。登山家にもっとも愛された菓子だぞ」
<0238> 「そうだ。登山家にもっとも愛された菓子だぞ」

// <0239> 瑚太朗
<0239> 瑚太朗

// <0240> 「いっこくれ」
<0240> 「いっこくれ」

// <0241> ルチア
<0241> ルチア

// <0242> 「悪いが断る」
<0242> 「悪いが断る」

// <0243> …だと思った。
<0243> …だと思った。

// <0244> 瑚太朗
<0244> 瑚太朗

// <0245> 「そういや静流がさっきから静かだけど…」
<0245> 「そういや静流がさっきから静かだけど…」

// <0246> 食い物系の話で一番乗ってきそうなやつだ。
<0246> 食い物系の話で一番乗ってきそうなやつだ。

// <0247> なのに、なぜかずっと最後尾でぱりぱりと音を立てているばかりで、実に静かな…
<0247> なのに、なぜかずっと最後尾でぱりぱりと音を立てているばかりで、実に静かな…

// <0248> 瑚太朗
<0248> 瑚太朗

// <0249> 「…ぱりぱり？」
<0249> 「…ぱりぱり？」

// <0250> 俺たちは同時に振り返った。
<0250> 俺たちは同時に振り返った。

// <0251> 静流
<0251> 静流

// <0252> 「ぱりぱりぱり」
<0252> 「ぱりぱりぱり」

// <0253> 植物を食っていた。
<0253> 植物を食っていた。

// <0254> 両手にそれぞれ、いろいろな植物を握りしめている。
<0254> 両手にそれぞれ、いろいろな植物を握りしめている。

// <0255> 瑚太朗
<0255> 瑚太朗

// <0256> 「待てや」
<0256> 「待てや」

// <0257> ちはや
<0257> ちはや

// <0258> 「なんかそこらに生えてるの食べてますーっ！」
<0258> 「なんかそこらに生えてるの食べてますーっ！」

// <0259> 小鳥
<0259> 小鳥

// <0260> 「あーだめだよ、そんな葉っぱなんて食べたら。かっぱん病がうつるよ？」
<0260> 「あーだめだよ、そんな葉っぱなんて食べたら。かっぱん病がうつるよ？」

// <0261> 瑚太朗
<0261> 瑚太朗

// <0262> 「吐くんだ！」
<0262> 「吐くんだ！」

// <0263> 静流
<0263> 静流

// <0264> 「………？」
<0264> 「………？」

// <0265> 静流
<0265> 静流

// <0266> 「もぐもぐ」
<0266> 「もぐもぐ」

// <0267> 静流
<0267> 静流

// <0268> 「ぱりぱり」
<0268> 「ぱりぱり」

// <0269> 力ずくで止めようとするが、静流は気にもしないし止まらない。
<0269> 力ずくで止めようとするが、静流は気にもしないし止まらない。

// <0270> ひたすら機械のように両手の植物を交互に口に運んでいく。
<0270> ひたすら機械のように両手の植物を交互に口に運んでいく。

// <0271> ダブルバナナに夢中なゴリラかこいつは。
<0271> ダブルバナナに夢中なゴリラかこいつは。

// <0272> 静流
<0272> 静流

// <0273> 「ぱりぱりぱりぱり」
<0273> 「ぱりぱりぱりぱり」

// <0274> 瑚太朗
<0274> 瑚太朗

// <0275> 「食うなぁ！」
<0275> 「食うなぁ！」

// <0276> ルチア
<0276> ルチア

// <0277> 「ああ、その植物は平気だ」
<0277> 「ああ、その植物は平気だ」

// <0278> 朱音
<0278> 朱音

// <0279> 「食用のものばかりね。食べても害はないはずよ」
<0279> 「食用のものばかりね。食べても害はないはずよ」

// <0280> 瑚太朗
<0280> 瑚太朗

// <0281> 「え、そうなのか…それ、食えるの？」
<0281> 「え、そうなのか…それ、食えるの？」

// <0282> 妙に毒々しいものもあるんだが…
<0282> 妙に毒々しいものもあるんだが…

// <0283> 小鳥
<0283> 小鳥

// <0284> 「おいしいの？」
<0284> 「おいしいの？」

// <0285> 静流
<0285> 静流

// <0286> 「………」
<0286> 「………」

// <0287> 静流
<0287> 静流

// <0288> 「グッテイスツ」
<0288> 「グッテイスツ」

// <0289> 瑚太朗
<0289> 瑚太朗

// <0290> 「青虫みたいだぞおまえ」
<0290> 「青虫みたいだぞおまえ」

// <0291> 静流
<0291> 静流

// <0292> 「とりあえずお腹を満たして…」
<0292> 「とりあえずお腹を満たして…」

// <0293> 静流は飴玉を口に放り込んだ。
<0293> 静流は飴玉を口に放り込んだ。

// <0294> 静流
<0294> 静流

// <0295> 「これで、甘いものをたくさん食べたつもりになれる」
<0295> 「これで、甘いものをたくさん食べたつもりになれる」

// <0296> 瑚太朗
<0296> 瑚太朗

// <0297> 「…高等テクすぎてもうさ…」
<0297> 「…高等テクすぎてもうさ…」

// <0298> 静流
<0298> 静流

// <0299> 「………」
<0299> 「………」

// <0300> みんなもどう？　と差し出してくる。
<0300> みんなもどう？　と差し出してくる。

// <0301> 瑚太朗＆小鳥＆ちはや
<0301> 瑚太朗＆小鳥＆ちはや

// <0302> 「いらない」
<0302> 「いらない」

// <0303> 静流
<0303> 静流

// <0304> 「………」
<0304> 「………」

// <0305> 残念そうだった。
<0305> 残念そうだった。

// <0306> ■マッピー／既読■　ID:
<0306> ■マッピー／既読■　ID:

// <0307>  (Z
<0307>  (Z

// <0308> -
<0308> -

// <0309> ■マッピー／コンプリート■
<0309> ■マッピー／コンプリート■

// <0310> 朱音
<0310> 朱音

// <0311> 「………」
<0311> 「………」

// <0312> 瑚太朗
<0312> 瑚太朗

// <0313> 「…」
<0313> 「…」

// <0314> 小鳥
<0314> 小鳥

// <0315> 「…」
<0315> 「…」

// <0316> ちはや
<0316> ちはや

// <0317> 「…」
<0317> 「…」

// <0318> 朱音
<0318> 朱音

// <0319> 「………痛い…」
<0319> 「………痛い…」

// <0320> 瑚太朗
<0320> 瑚太朗

// <0321> 「だ、大丈夫っすかあ？」
<0321> 「だ、大丈夫っすかあ？」

// <0322> 会長の顔を枝がひっかいたのだ。
<0322> 会長の顔を枝がひっかいたのだ。

// <0323> 瑚太朗
<0323> 瑚太朗

// <0324> 「うん、顔に傷はないみたいですね。よ、よかったですね…」
<0324> 「うん、顔に傷はないみたいですね。よ、よかったですね…」

// <0325> 朱音
<0325> 朱音

// <0326> 「………」
<0326> 「………」

// <0327> 瑚太朗
<0327> 瑚太朗

// <0328> 「…す、すいません」
<0328> 「…す、すいません」

// <0329> 無言で歩いていく。
<0329> 無言で歩いていく。

// <0330> こわいよ。
<0330> こわいよ。

// <0331> 先ほどから、気の休まる暇がない。
<0331> 先ほどから、気の休まる暇がない。

// <0332> 会長の機嫌が悪化していた。
<0332> 会長の機嫌が悪化していた。

// <0333> 朱音
<0333> 朱音

// <0334> 「………なんと煩わしい…」
<0334> 「………なんと煩わしい…」

// <0335> 一挙手一投足に不機嫌さが滲み出ている。
<0335> 一挙手一投足に不機嫌さが滲み出ている。

// <0336> 原因は…虫だ。
<0336> 原因は…虫だ。

// <0337> 風祭市に隣接している地域は、人里近いせいなのか虫は少なかった。
<0337> 風祭市に隣接している地域は、人里近いせいなのか虫は少なかった。

// <0338> ところが少し奥に入った途端、森は本来の性質を取り戻したのだ。
<0338> ところが少し奥に入った途端、森は本来の性質を取り戻したのだ。

// <0339> つまり虫。
<0339> つまり虫。

// <0340> 虫も森の一部なのだよ。
<0340> 虫も森の一部なのだよ。

// <0341> だから活発かつ大量に。
<0341> だから活発かつ大量に。

// <0342> 大量に…
<0342> 大量に…

// <0343> もう１１月だというのに、奴らはどこにでもいた。
<0343> もう１１月だというのに、奴らはどこにでもいた。

// <0344> 森のあたたかさと豊かさが、彼らを支えているのだ。
<0344> 森のあたたかさと豊かさが、彼らを支えているのだ。

// <0345> 朱音は虫が嫌いらしい。
<0345> 朱音は虫が嫌いらしい。

// <0346> ちはや
<0346> ちはや

// <0347> 「好きな人なんていませんよ…」
<0347> 「好きな人なんていませんよ…」

// <0348> 朱音とちはやのダメージが、特に大きい。
<0348> 朱音とちはやのダメージが、特に大きい。

// <0349> 小鳥
<0349> 小鳥

// <0350> 「…植物いじってると、虫はそのうち平気になる」
<0350> 「…植物いじってると、虫はそのうち平気になる」

// <0351> ルチア
<0351> ルチア

// <0352> 「私はまあ触らなければ平気だ。そうえぐい虫でなければ」
<0352> 「私はまあ触らなければ平気だ。そうえぐい虫でなければ」

// <0353> 静流はどうだろう。
<0353> 静流はどうだろう。

// <0354> あいかわらず最後尾をふらついている。
<0354> あいかわらず最後尾をふらついている。

// <0355> 静流
<0355> 静流

// <0356> 「もぐもぐもぐ」
<0356> 「もぐもぐもぐ」

// <0357> まだ食べている。
<0357> まだ食べている。

// <0358> ときおり、キーキーという小さな悲鳴が聞こえるのが、たまらなく不安だ。
<0358> ときおり、キーキーという小さな悲鳴が聞こえるのが、たまらなく不安だ。

// <0359> 静流
<0359> 静流

// <0360> 「さらば…トノサマ…」
<0360> 「さらば…トノサマ…」

// <0361> びびびび、と羽音がうっすら聞こえる。
<0361> びびびび、と羽音がうっすら聞こえる。

// <0362> とても振り返る勇気が出せない。
<0362> とても振り返る勇気が出せない。

// <0363> 朱音
<0363> 朱音

// <0364> 「…不愉快な思いばかり………どうしてこんな目に…」
<0364> 「…不愉快な思いばかり………どうしてこんな目に…」

// <0365> 瑚太朗
<0365> 瑚太朗

// <0366> 「………」
<0366> 「………」

// <0367> 特に誰かに向けて文句を言っているのではない。
<0367> 特に誰かに向けて文句を言っているのではない。

// <0368> 独り言、不平不満のたぐいだ。
<0368> 独り言、不平不満のたぐいだ。

// <0369> 近くで聞かされると、これがまたつらい。
<0369> 近くで聞かされると、これがまたつらい。

// <0370> 朱音
<0370> 朱音

// <0371> 「…不愉快だわ…とても不愉快…どうしてこんなところに私はいるの？　おかしいじゃない…」
<0371> 「…不愉快だわ…とても不愉快…どうしてこんなところに私はいるの？　おかしいじゃない…」

// <0372> ぶつぶつぶつぶつ…
<0372> ぶつぶつぶつぶつ…

// <0373> ルチア
<0373> ルチア

// <0374> 「…天王寺瑚太朗」
<0374> 「…天王寺瑚太朗」

// <0375> 後ろから呼びかけられる。
<0375> 後ろから呼びかけられる。

// <0376> ルチア
<0376> ルチア

// <0377> 「…これでは空気が悪い。なんとかお気を鎮めてはいただけないのか」
<0377> 「…これでは空気が悪い。なんとかお気を鎮めてはいただけないのか」

// <0378> 瑚太朗
<0378> 瑚太朗

// <0379> 「気難しい人だからなぁ…」
<0379> 「気難しい人だからなぁ…」

// <0380> 瑚太朗
<0380> 瑚太朗

// <0381> 「誰か仲の良い人でないと、あれはちょっと触れられないよ」
<0381> 「誰か仲の良い人でないと、あれはちょっと触れられないよ」

// <0382> 小鳥
<0382> 小鳥

// <0383> 「うまく話せるの瑚太朗君しかいないよ？」
<0383> 「うまく話せるの瑚太朗君しかいないよ？」

// <0384> 瑚太朗
<0384> 瑚太朗

// <0385> 「え…そうだっけ？」
<0385> 「え…そうだっけ？」

// <0386> 皆を見ると、そうだそうだと頷く。
<0386> 皆を見ると、そうだそうだと頷く。

// <0387> 瑚太朗
