// <0000> どうしよう…。
<0000> どうしよう…。
<0037> 「話は聞かせていただきました」

// <0038> 瑚太朗
<0038> 瑚太朗

// <0039> 「むっ！？　君は…ひょっとしておっぱいの精…？」
<0039> 「むっ！？　君は…ひょっとしておっぱいの精…？」

// <0040> 篝
<0040> 篝

// <0041> 「違います」
<0041> 「違います」

// <0042> 篝
<0042> 篝

// <0043> 「篝ちゃんぶっちゃけノームネーです」
<0043> 「篝ちゃんぶっちゃけノームネーです」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「ノームネーでフィニッシュだと…ではいったい？」
<0045> 「ノームネーでフィニッシュだと…ではいったい？」

// <0046> 篝
<0046> 篝

// <0047> 「危険を感じました」
<0047> 「危険を感じました」

// <0048> 篝
<0048> 篝

// <0049> 「とてもよくない記憶を感じました」
<0049> 「とてもよくない記憶を感じました」

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「なにい…それを俺に感じたのか？」
<0051> 「なにい…それを俺に感じたのか？」

// <0052> 朱音
<0052> 朱音

// <0053> 「ちょっと…誰と話をしているの？」
<0053> 「ちょっと…誰と話をしているの？」

// <0054> 会長には見えていないようだった。
<0054> 会長には見えていないようだった。

// <0055> 篝
<0055> 篝

// <0056> 「あなたは、本当に世界を変えかねない…危険なホモ・オッパイモミスト（おっぱいを揉むヒト）です」
<0056> 「あなたは、本当に世界を変えかねない…危険なホモ・オッパイモミスト（おっぱいを揉むヒト）です」

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「おいおい、そんな変態丸出しみたいなこと言わないでくれ」
<0058> 「おいおい、そんな変態丸出しみたいなこと言わないでくれ」

// <0059> 篝
<0059> 篝

// <0060> 「おっぱいで世界が変わるなど前代未聞です」
<0060> 「おっぱいで世界が変わるなど前代未聞です」

// <0061> 篝
<0061> 篝

// <0062> 「正直篝ちゃん自身もあなたに対し疑問しか抱かないので、今回はここでさっくり歌っちゃおうかと」
<0062> 「正直篝ちゃん自身もあなたに対し疑問しか抱かないので、今回はここでさっくり歌っちゃおうかと」

// <0063> 瑚太朗
<0063> 瑚太朗

// <0064> 「おまえそういうキャラだっけ？」
<0064> 「おまえそういうキャラだっけ？」

// <0065> 篝
<0065> 篝

// <0066> 「割とそういうキャラです。あなた一回こういうの見てませんか？」
<0066> 「割とそういうキャラです。あなた一回こういうの見てませんか？」

// <0067> どうなっちゃっても篝ちゃんは責任取りませんからね！
<0067> どうなっちゃっても篝ちゃんは責任取りませんからね！

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「なに…ずっと無言とか機械口調だったけどそういうキャラだったのか！」
<0069> 「なに…ずっと無言とか機械口調だったけどそういうキャラだったのか！」

// <0070> 篝
<0070> 篝

// <0071> 「はい、ぶっちゃけ篝ちゃんは本来そういうキャラです」
<0071> 「はい、ぶっちゃけ篝ちゃんは本来そういうキャラです」

// <0072> 篝
<0072> 篝

// <0073> 「このキャラで人気出たらスピンオフで魔法の第三惑精クリーミィ☆かがりんをどこかで連載してもらおうと画策しています」
<0073> 「このキャラで人気出たらスピンオフで魔法の第三惑精クリーミィ☆かがりんをどこかで連載してもらおうと画策しています」

// <0074> 瑚太朗
<0074> 瑚太朗

// <0075> 「人気出たらって、どこでの話だ？　スピンオフ？」
<0075> 「人気出たらって、どこでの話だ？　スピンオフ？」

// <0076> …あぁ。
<0076> …あぁ。

// <0077> でも、世界は歌に包まれた。
<0077> でも、世界は歌に包まれた。

// <0078> これじゃ、いつもの感じだ…。
<0078> これじゃ、いつもの感じだ…。

// <0079> 瑚太朗
<0079> 瑚太朗

// <0080> 「おれ、木にならないとだめっすかねぇ？」
<0080> 「おれ、木にならないとだめっすかねぇ？」

// <0081> 篝
<0081> 篝

// <0082> 「いえ…」
<0082> 「いえ…」

// <0083> 篝
<0083> 篝

// <0084> 「ごめんなさい…本当は…」
<0084> 「ごめんなさい…本当は…」

// <0085> 篝
<0085> 篝

// <0086> 「私胸ないから、ちょっと悔しかったの…」
<0086> 「私胸ないから、ちょっと悔しかったの…」

// <0087> 瑚太朗
<0087> 瑚太朗

// <0088> 「いいんだ…そんなこと」
<0088> 「いいんだ…そんなこと」

// <0089> 瑚太朗
<0089> 瑚太朗

// <0090> 「小さくても君には立派なおっぱいがあるじゃないか」
<0090> 「小さくても君には立派なおっぱいがあるじゃないか」

// <0091> 篝
<0091> 篝

// <0092> 「………」
<0092> 「………」

// <0093> 瑚太朗
<0093> 瑚太朗

// <0094> 「何言ってるんだ。貧乳が好きな人だっていっぱいいる。無価値なおっぱいなんてこの世には存在しない」
<0094> 「何言ってるんだ。貧乳が好きな人だっていっぱいいる。無価値なおっぱいなんてこの世には存在しない」

// <0095> 瑚太朗
<0095> 瑚太朗

// <0096> 「俺は……あらゆるおっぱいを愛する……」
<0096> 「俺は……あらゆるおっぱいを愛する……」

// <0097> 瑚太朗
<0097> 瑚太朗

// <0098> 「そんな世界を望んでいるだけなんだ」
<0098> 「そんな世界を望んでいるだけなんだ」

// <0099> 篝
<0099> 篝

// <0100> 「もし、そんな世界があるなら…」
<0100> 「もし、そんな世界があるなら…」

// <0101> 瑚太朗
<0101> 瑚太朗

// <0102> 「ああ……争いも何もない、みんな幸せにおっぱいおっぱいと連呼している世界だ…」
<0102> 「ああ……争いも何もない、みんな幸せにおっぱいおっぱいと連呼している世界だ…」

// <0103> 篝
<0103> 篝

// <0104> 「それはちょっと本当に幸せなのか篝ちゃん疑問です」
<0104> 「それはちょっと本当に幸せなのか篝ちゃん疑問です」

// <0105> 篝
<0105> 篝

// <0106> 「でも…あなたならできる気がするの…」
<0106> 「でも…あなたならできる気がするの…」

// <0107> 篝
<0107> 篝

// <0108> 「胸なくても…ヒロインの中でダントツセリフ数少なくても…」
<0108> 「胸なくても…ヒロインの中でダントツセリフ数少なくても…」

// <0109> 篝
<0109> 篝

// <0110> 「私を愛してくれますか？」
<0110> 「私を愛してくれますか？」

// <0111> 瑚太朗
<0111> 瑚太朗

// <0112> 「愛する！」
<0112> 「愛する！」

// <0113> 瑚太朗
<0113> 瑚太朗

// <0114> 「おっぱいは至上の愛を与えてくれるんだ…」
<0114> 「おっぱいは至上の愛を与えてくれるんだ…」

// <0115> 瑚太朗
<0115> 瑚太朗

// <0116> 「そんなおっぱいをどうして愛さずにいられようか！？」
<0116> 「そんなおっぱいをどうして愛さずにいられようか！？」

// <0117> 篝
<0117> 篝

// <0118> 「あーおっぱいしか見えてないわこの人…」
<0118> 「あーおっぱいしか見えてないわこの人…」

// <0119> 篝
<0119> 篝

// <0120> 「でもなんか平和になりそうだから…」
<0120> 「でもなんか平和になりそうだから…」

// <0121> …もし、
<0121> …もし、

// <0122> 次に生まれてくるときは、
<0122> 次に生まれてくるときは、

// <0123> もう少し大きいおっぱいであります
<0123> もう少し大きいおっぱいであります

// <0124> よ
<0124> よ

// <0125> う
<0125> う

// <0126> に
<0126> に

// <0127> …
<0127> …

// <0128> 。
<0128> 。

// <0129> 瑚太朗
<0129> 瑚太朗

// <0130> 「馬鹿野郎…」
<0130> 「馬鹿野郎…」

// <0131> 瑚太朗
<0131> 瑚太朗

// <0132> 「何度も言ってるだろう…」
<0132> 「何度も言ってるだろう…」

// <0133> 瑚太朗
<0133> 瑚太朗

// <0134> 「俺は貧乳も好きだぁあぁーーッ！！」
<0134> 「俺は貧乳も好きだぁあぁーーッ！！」

// <0135> 瑚太朗
<0135> 瑚太朗

// <0136> 「おっぱいはそれだけで完全なる愛を受け止める器なんだ！」
<0136> 「おっぱいはそれだけで完全なる愛を受け止める器なんだ！」

// <0137> 瑚太朗
<0137> 瑚太朗

// <0138> 「そのおっぱいを卑下する馬鹿がどこにいるかよぉおおおぉぉおぉおぉぉーーッ！！」
<0138> 「そのおっぱいを卑下する馬鹿がどこにいるかよぉおおおぉぉおぉおぉぉーーッ！！」

// <0139> 全ての悩める命のため…。
<0139> 全ての悩める命のため…。

// <0140> 俺は、書き換える…。
<0140> 俺は、書き換える…。

// <0141> この歌を…！
<0141> この歌を…！

// <0142> おっぱい色に！
<0142> おっぱい色に！

// <0143> 朱音
<0143> 朱音

// <0144> 「え、嫌な予感しかしないんだけどひょっとしてまだ続くのこれ？」
<0144> 「え、嫌な予感しかしないんだけどひょっとしてまだ続くのこれ？」

// <0145> 続きます！
<0145> 続きます！

// <0146> 
<0146> 

// <0147> 
<0147> 

// <0148> BS_DT_A
<0148> BS_DT_A

// <0149> 乙月杯日(・人・)
<0149> 乙月杯日(・人・)

// <0150> 瑚太朗
<0150> 瑚太朗

// <0151> 「………」
<0151> 「………」

// <0152> 目が醒める。
<0152> 目が醒める。

// <0153> 瑚太朗
<0153> 瑚太朗

// <0154> 「ふああぁ…」
<0154> 「ふああぁ…」

// <0155> いつもの朝だ。
<0155> いつもの朝だ。

// <0156> 瑚太朗
<0156> 瑚太朗

// <0157> 「おっと」
<0157> 「おっと」

// <0158> そういえば、今日は小鳥が俺を起こしに来るんだったな。
<0158> そういえば、今日は小鳥が俺を起こしに来るんだったな。

// <0159> いつも早寝早起き、無遅刻無欠席の小鳥だ。健康そのものでやたら友達も多い。
<0159> いつも早寝早起き、無遅刻無欠席の小鳥だ。健康そのものでやたら友達も多い。

// <0160> 両親も健在で、昨日はうちの両親と家族ぐるみでＢＢＱなどをした。
<0160> 両親も健在で、昨日はうちの両親と家族ぐるみでＢＢＱなどをした。

// <0161> 小鳥
<0161> 小鳥

// <0162> 「瑚太朗くーん」
<0162> 「瑚太朗くーん」

// <0163> 声が聞こえた。
<0163> 声が聞こえた。

// <0164> 小鳥
<0164> 小鳥

// <0165> 「あ、起きとる」
<0165> 「あ、起きとる」

// <0166> 瑚太朗
<0166> 瑚太朗

// <0167> 「おはよう」
<0167> 「おはよう」

// <0168> 小鳥
<0168> 小鳥

// <0169> 「おはよう瑚太朗君！　おっぱいな朝だね！」
<0169> 「おはよう瑚太朗君！　おっぱいな朝だね！」

// <0170> 瑚太朗
<0170> 瑚太朗

// <0171> 「ああ、清々しい…実におっぱいな朝だぜ」
<0171> 「ああ、清々しい…実におっぱいな朝だぜ」

// <0172> 登校する。
<0172> 登校する。

// <0173> 小鳥
<0173> 小鳥

// <0174> 「昨日のテレビ見た？」
<0174> 「昨日のテレビ見た？」

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「ああ、すげえおっぱいだったな！」
<0176> 「ああ、すげえおっぱいだったな！」

// <0177> 小鳥
<0177> 小鳥

// <0178> 「ほんとおっぱいだったよねー！　あのネタとかおっぱい過ぎて笑った笑った」
<0178> 「ほんとおっぱいだったよねー！　あのネタとかおっぱい過ぎて笑った笑った」

// <0179> 俺たちは朗らかにおっぱいと連呼した。
<0179> 俺たちは朗らかにおっぱいと連呼した。

// <0180> 道行く人たちも美しい花を見てはおっぱいな花だ、青空を見てはすがすがしい、実におっぱいな空だ、と連呼していた。
<0180> 道行く人たちも美しい花を見てはおっぱいな花だ、青空を見てはすがすがしい、実におっぱいな空だ、と連呼していた。

// <0181> この世界では肯定的なものは全ておっぱいと表現されるのだ。
<0181> この世界では肯定的なものは全ておっぱいと表現されるのだ。

// <0182> そしてみんな、世界の素晴らしさに目を向けていた。
<0182> そしてみんな、世界の素晴らしさに目を向けていた。

// <0183> おっぱいは世界を明るくする言葉だった。
<0183> おっぱいは世界を明るくする言葉だった。

// <0184> ちなみに倫理観とかは基本的に変わらないのでおっぱいを見ようとしたり、無理に触ろうとするととっつかまって刑罰を受ける。
<0184> ちなみに倫理観とかは基本的に変わらないのでおっぱいを見ようとしたり、無理に触ろうとするととっつかまって刑罰を受ける。

// <0185> 基本極刑だ。
<0185> 基本極刑だ。

// <0186> おっぱいは大事なものなのだ。
<0186> おっぱいは大事なものなのだ。

// <0187> だが、そんな事件はここ数十年発生していない。
<0187> だが、そんな事件はここ数十年発生していない。

// <0188> 本当にみんなおっぱいを愛し敬っているからだ。
<0188> 本当にみんなおっぱいを愛し敬っているからだ。

// <0189> ちはや
<0189> ちはや

// <0190> 「おはようございますー」
<0190> 「おはようございますー」

// <0191> 小鳥
<0191> 小鳥

// <0192> 「おはよう！　今日もちーちゃんはおっぱいだねえ！」
<0192> 「おはよう！　今日もちーちゃんはおっぱいだねえ！」

// <0193> ちはや
<0193> ちはや

// <0194> 「小鳥こそおっぱいです！」
<0194> 「小鳥こそおっぱいです！」

// <0195> 朗らかな朝の会話だった。
<0195> 朗らかな朝の会話だった。

// <0196> 静流
<0196> 静流

// <0197> 「コタロー」
<0197> 「コタロー」

// <0198> 瑚太朗
<0198> 瑚太朗

// <0199> 「よう、どうだった貸したＣＤは」
<0199> 「よう、どうだった貸したＣＤは」

// <0200> 静流
<0200> 静流

// <0201> 「おっぱいだった」
<0201> 「おっぱいだった」

// <0202> 静流
<0202> 静流

// <0203> 「おっぱいと連呼するところが実におっぱいでおっぱい過ぎて感動した」
<0203> 「おっぱいと連呼するところが実におっぱいでおっぱい過ぎて感動した」

// <0204> 瑚太朗
<0204> 瑚太朗

// <0205> 「だろ？　おっぱいだよ」
<0205> 「だろ？　おっぱいだよ」

// <0206> ルチア
<0206> ルチア

// <0207> 「おはよう、みんな」
<0207> 「おはよう、みんな」

// <0208> 瑚太朗
<0208> 瑚太朗

// <0209> 「おう、委員長。相変わらずいい胸してるな」
<0209> 「おう、委員長。相変わらずいい胸してるな」

// <0210> ルチア
<0210> ルチア

// <0211> 「なっ、おっぱいと言え！　朝からとんでもなく卑猥なことを…！　天王寺瑚太朗！　女の敵ぃいぃいぃぃーッ！」
<0211> 「なっ、おっぱいと言え！　朝からとんでもなく卑猥なことを…！　天王寺瑚太朗！　女の敵ぃいぃいぃぃーッ！」

// <0212> ちなみに『いい』などということは放送禁止レベルの言葉だった。
<0212> ちなみに『いい』などということは放送禁止レベルの言葉だった。

// <0213> おっぱいと言わない人間はこの世に存在してはならないのだ。
<0213> おっぱいと言わない人間はこの世に存在してはならないのだ。

// <0214> それほどみんなおっぱいが大好きだ。
<0214> それほどみんなおっぱいが大好きだ。

// <0215> 吉野
<0215> 吉野

// <0216> 「………」
<0216> 「………」

// <0217> 瑚太朗
<0217> 瑚太朗

// <0218> 「よう、吉野」
<0218> 「よう、吉野」

// <0219> 吉野
<0219> 吉野

// <0220> 「天王寺…」
<0220> 「天王寺…」

// <0221> ギラリ、と俺を睨む。
<0221> ギラリ、と俺を睨む。

// <0222> このクラス唯一とも言える不良の男が、俺に向かって歩みを進める。
<0222> このクラス唯一とも言える不良の男が、俺に向かって歩みを進める。

// <0223> 吉野
<0223> 吉野

// <0224> 「テメエ…」
<0224> 「テメエ…」

// <0225> 吉野
<0225> 吉野

// <0226> 「相変わらず可愛い…おっぱいなヤツ」
<0226> 「相変わらず可愛い…おっぱいなヤツ」

// <0227> 瑚太朗
<0227> 瑚太朗

// <0228> 「よせやい」
<0228> 「よせやい」

// <0229> 吉野
<0229> 吉野

// <0230> 「おっと、タイが曲がってるぜ」
<0230> 「おっと、タイが曲がってるぜ」

// <0231> 瑚太朗
<0231> 瑚太朗

// <0232> 「よせよ、こんなところで」
<0232> 「よせよ、こんなところで」

// <0233> みんなおっぱいといえば幸せな気持ちになってしまうので、仲の悪い人間というのはこの世に存在しない。
<0233> みんなおっぱいといえば幸せな気持ちになってしまうので、仲の悪い人間というのはこの世に存在しない。

// <0234> みんな幸せでおっぱいに満ちた素晴らしい世界だった。
<0234> みんな幸せでおっぱいに満ちた素晴らしい世界だった。

// <0235> 瑚太朗
<0235> 瑚太朗

// <0236> 「今日は転校生が来るらしいぞ」
<0236> 「今日は転校生が来るらしいぞ」

// <0237> ちはや
<0237> ちはや

// <0238> 「そうなんです？　最近多いですね」
<0238> 「そうなんです？　最近多いですね」

// <0239> 瑚太朗
<0239> 瑚太朗

// <0240> 「どんなヤツだろう…」
<0240> 「どんなヤツだろう…」

// <0241> ミドウ
<0241> ミドウ

// <0242> 「ヒャハハハハハハッ！　俺達だあぁぁぁぁーーッ！！！」
<0242> 「ヒャハハハハハハッ！　俺達だあぁぁぁぁーーッ！！！」

// <0243> テンジン
<0243> テンジン

// <0244> 「………」
<0244> 「………」

// <0245> テンマ
<0245> テンマ

// <0246> 「………」
<0246> 「………」

// <0247> 瑚太朗
<0247> 瑚太朗

// <0248> 「うお！？　なんと怪しげな格好の転校生なんだぁー！」
<0248> 「うお！？　なんと怪しげな格好の転校生なんだぁー！」

// <0249> 小鳥
<0249> 小鳥

// <0250> 「どんな事件が巻き起こるのかドキがムネムネするね！」
<0250> 「どんな事件が巻き起こるのかドキがムネムネするね！」

// <0251> ミドウ
<0251> ミドウ

// <0252> 「こんにちは！　僕の名前はミドウ！　今日は実におっぱいな日ですねえぇぇぁぁーッ！！」
<0252> 「こんにちは！　僕の名前はミドウ！　今日は実におっぱいな日ですねえぇぇぁぁーッ！！」

// <0253> テンジン
<0253> テンジン

// <0254> 「私はテンジン！」
<0254> 「私はテンジン！」

// <0255> テンマ
<0255> テンマ

// <0256> 「テンマだ！　よろしくお願いします！」
<0256> 「テンマだ！　よろしくお願いします！」

// <0257> ミドウ
<0257> ミドウ

// <0258> 「転校してきたばかりで何もわからないけど、みんなやさしくしてください！」
<0258> 「転校してきたばかりで何もわからないけど、みんなやさしくしてください！」

// <0259> テンマ
<0259> テンマ

// <0260> 「むっ、ゴミが落ちている！　拾ってゴミ箱に捨てねば…！」
<0260> 「むっ、ゴミが落ちている！　拾ってゴミ箱に捨てねば…！」

// <0261> テンジン
<0261> テンジン

// <0262> 「掲示物が剥がれかけている…画鋲を刺し直してくれるぞ…！」
<0262> 「掲示物が剥がれかけている…画鋲を刺し直してくれるぞ…！」

// <0263> みんな礼儀正しい、いいやつだ。
<0263> みんな礼儀正しい、いいやつだ。

// <0264> おっぱいが好きなやつに悪いやつはいない。
<0264> おっぱいが好きなやつに悪いやつはいない。

// <0265> テンジン
<0265> テンジン

// <0266> 「見ろ、ミドウ」
<0266> 「見ろ、ミドウ」

// <0267> 掲示物を指差す。
<0267> 掲示物を指差す。

// <0268> ミドウ
<0268> ミドウ

// <0269> 「何…生徒会選挙だと…」
<0269> 「何…生徒会選挙だと…」

// <0270> ミドウ
<0270> ミドウ

// <0271> 「決めた！　俺、生徒会長に立候補する！」
<0271> 「決めた！　俺、生徒会長に立候補する！」

// <0272> テンマ
<0272> テンマ

// <0273> 「ならば私は書記である！」
<0273> 「ならば私は書記である！」

// <0274> テンジン
<0274> テンジン

// <0275> 「そして私が会計だ」
<0275> 「そして私が会計だ」

// <0276> 瑚太朗
<0276> 瑚太朗

// <0277> 「なんだと！？　転校してきたばかりで！？」
<0277> 「なんだと！？　転校してきたばかりで！？」

// <0278> 瑚太朗
<0278> 瑚太朗

// <0279> 「でもみんなおっぱいが大好きだよな！？　だったらいけるか！」
<0279> 「でもみんなおっぱいが大好きだよな！？　だったらいけるか！」

// <0280> ミドウ
<0280> ミドウ

// <0281> 「あたりめえだ…」
<0281> 「あたりめえだ…」

// <0282> ミドウ
<0282> ミドウ

// <0283> 「俺はおっぱいが大好きだぁーッ！！」
<0283> 「俺はおっぱいが大好きだぁーッ！！」

// <0284> ミドウ
<0284> ミドウ

// <0285> 「むしろ貧乳派だぁーッ！！」
<0285> 「むしろ貧乳派だぁーッ！！」

// <0286> 瑚太朗
<0286> 瑚太朗

// <0287> 「イエーッ！　じゃあ全然大丈夫だ！」
<0287> 「イエーッ！　じゃあ全然大丈夫だ！」

// <0288> 四人で貧乳わっしょいと盛り上がった。
<0288> 四人で貧乳わっしょいと盛り上がった。

// <0289> 世界は平和だった。
<0289> 世界は平和だった。

// <0290> 篝
<0290> 篝

// <0291> 「………」
<0291> 「………」

// <0292> 瑚太朗
<0292> 瑚太朗

// <0293> 「むっ、君はいつか見たおっぱいの精！？」
<0293> 「むっ、君はいつか見たおっぱいの精！？」

// <0294> 篝
<0294> 篝

// <0295> 「違います」
<0295> 「違います」

// <0296> 篝
<0296> 篝

// <0297> 「篝ちゃん激しく後悔しています」
<0297> 「篝ちゃん激しく後悔しています」

// <0298> 篝
<0298> 篝

// <0299> 「大後悔時代です」
<0299> 「大後悔時代です」

// <0300> 瑚太朗
<0300> 瑚太朗

// <0301> 「なんだと？　そういう時はほら、唱えるんだ。おっぱいおっぱいと」
<0301> 「なんだと？　そういう時はほら、唱えるんだ。おっぱいおっぱいと」

// <0302> 篝
<0302> 篝

// <0303> 「……確かに…人類はみんなおっぱい魔人と化す事で著しく過剰に平和になりました」
<0303> 「……確かに…人類はみんなおっぱい魔人と化す事で著しく過剰に平和になりました」

// <0304> 瑚太朗
<0304> 瑚太朗

// <0305> 「だろ？　おっぱいを愛することが力になるんだ」
<0305> 「だろ？　おっぱいを愛することが力になるんだ」

// <0306> 篝
<0306> 篝

// <0307> 「ですが…」
<0307> 「ですが…」

// <0308> 瑚太朗
<0308> 瑚太朗

// <0309> 「ほらみろよ！　おっぱいっぽい惑星がケンタウルス座のあたりで発見されたんだって！　みんなおっぱい星に行きたくて急速に宇宙技術が発展してるんだ！」
<0309> 「ほらみろよ！　おっぱいっぽい惑星がケンタウルス座のあたりで発見されたんだって！　みんなおっぱい星に行きたくて急速に宇宙技術が発展してるんだ！」

// <0310> 篝
<0310> 篝

// <0311> 「あんたたち本当にバカじゃないですか」
<0311> 「あんたたち本当にバカじゃないですか」

// <0312> 篝
<0312> 篝

// <0313> 「でも…目的は達成されてしまいそうです…」
<0313> 「でも…目的は達成されてしまいそうです…」

// <0314> 瑚太朗
<0314> 瑚太朗

// <0315> 「ああ、おっぱい愛は全てを救うんだぜ」
<0315> 「ああ、おっぱい愛は全てを救うんだぜ」

// <0316> 篝
<0316> 篝

// <0317> 「なら、私は安心してその星へ旅立つことが出来ます…」
<0317> 「なら、私は安心してその星へ旅立つことが出来ます…」

// <0318> 篝
<0318> 篝

// <0319> 「あなたがこの歌を書き換えてくれてよかった……いや良かったかは微妙ですけど…」
<0319> 「あなたがこの歌を書き換えてくれてよかった……いや良かったかは微妙ですけど…」

// <0320> 篝
<0320> 篝

// <0321> 「ちなみにちょっと見栄を張って今回出てくるときにバストを一センチ増やしていたのですが、気付かれましたか」
<0321> 「ちなみにちょっと見栄を張って今回出てくるときにバストを一センチ増やしていたのですが、気付かれましたか」

// <0322> 瑚太朗
<0322> 瑚太朗

// <0323> 「もちろん気付いていたさ…」
<0323> 「もちろん気付いていたさ…」

// <0324> 瑚太朗
<0324> 瑚太朗

// <0325> 「そんな見栄っ張りなおっぱいだって俺は愛するぜ」
<0325> 「そんな見栄っ張りなおっぱいだって俺は愛するぜ」

// <0326> 篝
<0326> 篝

// <0327> 「では…」
<0327> 「では…」

// <0328> 篝
<0328> 篝

// <0329> 「良い、おっぱい的な記憶を…」
<0329> 「良い、おっぱい的な記憶を…」

// <0330> 篝
<0330> 篝

// <0331> 「あと、魔法の第三惑精クリーミィ☆かがりんをよろしくお願いします―――」
<0331> 「あと、魔法の第三惑精クリーミィ☆かがりんをよろしくお願いします―――」

// <0332> ■友達■　ID:
<0332> ■友達■　ID:

// <0333> 　NO:
<0333> 　NO:

// <0334> 静流
<0334> 静流

// <0335> 「？」
<0335> 「？」

// <0336> 瑚太朗
<0336> 瑚太朗

// <0337> 「いや…」
<0337> 「いや…」

// <0338> 瑚太朗
<0338> 瑚太朗

// <0339> 「また一つの命がおっぱいによって救われたのさ」
<0339> 「また一つの命がおっぱいによって救われたのさ」

// <0340> 静流
<0340> 静流

// <0341> 「よくわからないがおっぱいは最高だな」
<0341> 「よくわからないがおっぱいは最高だな」

// <0342> 瑚太朗
<0342> 瑚太朗

// <0343> 「あぁ…」
<0343> 「あぁ…」

// <0344> 生徒
<0344> 生徒

// <0345> 「みんなー！　おっぱい現人神様が登校されたぞー！」
<0345> 「みんなー！　おっぱい現人神様が登校されたぞー！」

// <0346> 瑚太朗
<0346> 瑚太朗

// <0347> 「なんだと！？　俺も行かなきゃ！」
<0347> 「なんだと！？　俺も行かなきゃ！」

// <0348> みんな
<0348> みんな

// <0349> 「おっぱい様万歳ー！　朱音様万歳ー！」
<0349> 「おっぱい様万歳ー！　朱音様万歳ー！」

// <0350> 瑚太朗
<0350> 瑚太朗

// <0351> 「あれが元祖の記憶に刻まれた最高のおっぱいを持つ現人神様だ！」
<0351> 「あれが元祖の記憶に刻まれた最高のおっぱいを持つ現人神様だ！」

// <0352> わっしょいわっしょいと胴上げされながら校舎へ向かってくるその姿。
<0352> わっしょいわっしょいと胴上げされながら校舎へ向かってくるその姿。

// <0353> 朱音
<0353> 朱音

// <0354> 「天王寺ぃぃぃーっ！　なんなのよこの世界はぁーーッ！」
<0354> 「天王寺ぃぃぃーっ！　なんなのよこの世界はぁーーッ！」

// <0355> 瑚太朗
<0355> 瑚太朗

// <0356> 「よーし俺たちも参加だー！」
