// <0000> ＭＴＧに参加している時のことだった。
<0000> ＭＴＧに参加している時のことだった。
// <0025> 頃合いをみて、ＭＴＧを指導する立場の人間（マーテルでは博士と呼ぶ）に、自殺未遂であると告白した。
<0025> 頃合いをみて、ＭＴＧを指導する立場の人間（マーテルでは博士と呼ぶ）に、自殺未遂であると告白した。

// <0026> 昔、生きることに悩んで手首を切ったと。
<0026> 昔、生きることに悩んで手首を切ったと。

// <0027> すでに噂は耳にしていたのだろう。
<0027> すでに噂は耳にしていたのだろう。

// <0028> 博士は鷹揚にうなずいて、俺の肩に手を置いた。
<0028> 博士は鷹揚にうなずいて、俺の肩に手を置いた。

// <0029> 後日、俺はある場所に招かれた。
<0029> 後日、俺はある場所に招かれた。

// <0030> ハイきたドーン。
<0030> ハイきたドーン。

// <0031> ドンピシャだった。
<0031> ドンピシャだった。

// <0032> 風祭総合文化ホール。
<0032> 風祭総合文化ホール。

// <0033> 敷地面積９０００㎡、建築面積６４００㎡。
<0033> 敷地面積９０００㎡、建築面積６４００㎡。

// <0034> 地上８階地下２階のタワー棟だ。
<0034> 地上８階地下２階のタワー棟だ。

// <0035> 文化発信を目的として市が建設したが、実態はガイア主義者の一大拠点だ。
<0035> 文化発信を目的として市が建設したが、実態はガイア主義者の一大拠点だ。

// <0036> 国内において、ガイア主義者には分派というものがない。
<0036> 国内において、ガイア主義者には分派というものがない。

// <0037> マーテル会に一極集中している。
<0037> マーテル会に一極集中している。

// <0038> これが海外の貧困国であれば、魔物使いの少数派グループというものも存在する。
<0038> これが海外の貧困国であれば、魔物使いの少数派グループというものも存在する。

// <0039> 貧困こそが弱者を邪教に走らせる主因だからだ。
<0039> 貧困こそが弱者を邪教に走らせる主因だからだ。

// <0040> その邪教のごく少数が、魔物（悪鬼）を創出する技をそうと知らずに伝えている。
<0040> その邪教のごく少数が、魔物（悪鬼）を創出する技をそうと知らずに伝えている。

// <0041> 資質ある者さえひっかかれば、魔物は現実の脅威となるわけだ。
<0041> 資質ある者さえひっかかれば、魔物は現実の脅威となるわけだ。

// <0042> そうやって生まれた魔物は、教育の行き届かない国の人々からすれば、容易に畏怖・崇拝の対象となる。
<0042> そうやって生まれた魔物は、教育の行き届かない国の人々からすれば、容易に畏怖・崇拝の対象となる。

// <0043> また武装勢力が利用するなんてことも起こり得るわけだ。
<0043> また武装勢力が利用するなんてことも起こり得るわけだ。

// <0044> 日本では起こらないことだ。
<0044> 日本では起こらないことだ。

// <0045> ただ豊かな物質社会の中、精神的に蝕まれる者が増大傾向にある。
<0045> ただ豊かな物質社会の中、精神的に蝕まれる者が増大傾向にある。

// <0046> 魔物使いの資質を持つ者は、潜在的にかなりの数にのぼる。
<0046> 魔物使いの資質を持つ者は、潜在的にかなりの数にのぼる。

// <0047> マーテル会が集めているのは、そうした人材なのだ。
<0047> マーテル会が集めているのは、そうした人材なのだ。

// <0048> 建物の内部には目立つものはなかった。
<0048> 建物の内部には目立つものはなかった。

// <0049> 近代的な建築物で、宗教的な装飾なども見られない。
<0049> 近代的な建築物で、宗教的な装飾なども見られない。

// <0050> 漂う空気は厳かだ。
<0050> 漂う空気は厳かだ。

// <0051> けっこうな数の人が行き来していたが、雑談している者など誰もいない。
<0051> けっこうな数の人が行き来していたが、雑談している者など誰もいない。

// <0052> 瑚太朗＿必要
<0052> 瑚太朗＿必要

// <0053> （まるで神殿だ）
<0053> （まるで神殿だ）

// <0054> 現代社会にとけ込むため、マーテルはかつてあった宗教色を払拭している。
<0054> 現代社会にとけ込むため、マーテルはかつてあった宗教色を払拭している。

// <0055> 動く偶像として利用されてきた魔物は、闇に押しやられた。
<0055> 動く偶像として利用されてきた魔物は、闇に押しやられた。

// <0056> だがそれは、実在する。
<0056> だがそれは、実在する。

// <0057> マーテルの闇の奥に、今も確実に隠されている。
<0057> マーテルの闇の奥に、今も確実に隠されている。

// <0058> 奥まった接待用の部屋で、まず俺はごく普通の男性から、面接のようなものを受けた。
<0058> 奥まった接待用の部屋で、まず俺はごく普通の男性から、面接のようなものを受けた。

// <0059> 来歴や職歴、家族構成といった当たり障りない質問からはじまり、やがて性格や思考に踏み込んでいく。
<0059> 来歴や職歴、家族構成といった当たり障りない質問からはじまり、やがて性格や思考に踏み込んでいく。

// <0060> これが魔物使いとしての適性を見るためのものであることはわかっていた。
<0060> これが魔物使いとしての適性を見るためのものであることはわかっていた。

// <0061> ガーディアンが彼らの中にスパイを潜り込ませることができない理由が、これだ。
<0061> ガーディアンが彼らの中にスパイを潜り込ませることができない理由が、これだ。

// <0062> 演技ではごまかせない。
<0062> 演技ではごまかせない。

// <0063> 陽気な人間に、陰気な演技は続かない。
<0063> 陽気な人間に、陰気な演技は続かない。

// <0064> 根の深い影は、生きることに圧迫を受けた者にしかできない。
<0064> 根の深い影は、生きることに圧迫を受けた者にしかできない。

// <0065> そう、俺のような…
<0065> そう、俺のような…

// <0066> 一次面接通過。
<0066> 一次面接通過。

// <0067> 同じ日のうちに、より上とおぼしき人間が姿を現した。
<0067> 同じ日のうちに、より上とおぼしき人間が姿を現した。

// <0068> 凄絶さをまとった男だった。
<0068> 凄絶さをまとった男だった。

// <0069> さっきの男は背広を着て、社会人と言われればそうと納得できた。
<0069> さっきの男は背広を着て、社会人と言われればそうと納得できた。

// <0070> だがこの男は…違う。
<0070> だがこの男は…違う。

// <0071> 一般社会ではまずまともには扱われない類の人間だった。
<0071> 一般社会ではまずまともには扱われない類の人間だった。

// <0072> 極端に小柄で、背が曲がっている。
<0072> 極端に小柄で、背が曲がっている。

// <0073> 顔は陰気を寄せ集めたようにしわくちゃで、蛙を想起した。
<0073> 顔は陰気を寄せ集めたようにしわくちゃで、蛙を想起した。

// <0074> 入院患者が着るような服を着て、顔を伏せ気味に入ってきた。
<0074> 入院患者が着るような服を着て、顔を伏せ気味に入ってきた。

// <0075> 後ろに、つきそいらしき女性が続いている。
<0075> 後ろに、つきそいらしき女性が続いている。

// <0076> 男が、俺をちらりと盗み見た。
<0076> 男が、俺をちらりと盗み見た。

// <0077> そして背後の女性につぶやく。
<0077> そして背後の女性につぶやく。

// <0078> 聞き取れた。こう言っていた。
<0078> 聞き取れた。こう言っていた。

// <0079> 『こいつ平気。たいしたヤツじゃないけど、同類』
<0079> 『こいつ平気。たいしたヤツじゃないけど、同類』

// <0080> 男は出て行き、女性が礼儀正しく頭を下げ、後に続いた。
<0080> 男は出て行き、女性が礼儀正しく頭を下げ、後に続いた。

// <0081> ドアが閉まる時には、顔に冷や汗をかいていた。
<0081> ドアが閉まる時には、顔に冷や汗をかいていた。

// <0082> 奴は俺のネガティブを嗅ぎ取った。
<0082> 奴は俺のネガティブを嗅ぎ取った。

// <0083> 演技では決して身に付かないもので、人をより分けているのだ。
<0083> 演技では決して身に付かないもので、人をより分けているのだ。

// <0084> 二次面接通過、ということらしい。
<0084> 二次面接通過、ということらしい。

// <0085> 先ほどの人が再びやってきて、俺の手を取った。
<0085> 先ほどの人が再びやってきて、俺の手を取った。

// <0086> 勝手にリストバンドを外し、傷跡を舐めるように見て、薄気味悪い笑みを浮かべる。
<0086> 勝手にリストバンドを外し、傷跡を舐めるように見て、薄気味悪い笑みを浮かべる。

// <0087> 『よかった。これで安心しました』
<0087> 『よかった。これで安心しました』

// <0088> この男も仮面を外せば、ねばつくほどに主義者だった。
<0088> この男も仮面を外せば、ねばつくほどに主義者だった。

// <0089> そこからの話は早かった。
<0089> そこからの話は早かった。

// <0090> マーテルの闇に招待され、特別講義を受けることになった。
<0090> マーテルの闇に招待され、特別講義を受けることになった。

// <0091> 講義は、俺たちを常識と科学から解き放つものだった。
<0091> 講義は、俺たちを常識と科学から解き放つものだった。

// <0092> 現世が歪んでおり、格差的であることを非難した。
<0092> 現世が歪んでおり、格差的であることを非難した。

// <0093> 俺たちの悩みや苦しみが正当のものであり、その証拠に、外界を改革する力が実在すると語られた。
<0093> 俺たちの悩みや苦しみが正当のものであり、その証拠に、外界を改革する力が実在すると語られた。

// <0094> 我々には来世という希望がある。
<0094> 我々には来世という希望がある。

// <0095> 生まれ変わりがあるのだと。
<0095> 生まれ変わりがあるのだと。

// <0096> ただし、より良く生まれ変わるには、根元的な命への純化が必要だと説いた。
<0096> ただし、より良く生まれ変わるには、根元的な命への純化が必要だと説いた。

// <0097> 純化することで、次の人生で喜びに満ちた生を過ごせると。
<0097> 純化することで、次の人生で喜びに満ちた生を過ごせると。

// <0098> その方法として、自殺や自然死よりは、命のエッセンスを大地に注ぐ手法が…
<0098> その方法として、自殺や自然死よりは、命のエッセンスを大地に注ぐ手法が…

// <0099> こんな話には困惑する者もいた。
<0099> こんな話には困惑する者もいた。

// <0100> 受講者の男
<0100> 受講者の男

// <0101> 「バカにしてる！　まるでおとぎ話じゃないか！」
<0101> 「バカにしてる！　まるでおとぎ話じゃないか！」

// <0102> 隣にいた男が席を立った。
<0102> 隣にいた男が席を立った。

// <0103> 受講者の男
<0103> 受講者の男

// <0104> 「俺は楽になりたいんだ！　こんな世界にはもう関わりたくない！」
<0104> 「俺は楽になりたいんだ！　こんな世界にはもう関わりたくない！」

// <0105> 受講者の男
<0105> 受講者の男

// <0106> 「マーテルで認められれば、隠遁して暮らすことができると聞いたのに！」
<0106> 「マーテルで認められれば、隠遁して暮らすことができると聞いたのに！」

// <0107> 逆上した男にも、講師は冷静さを失わなかった。
<0107> 逆上した男にも、講師は冷静さを失わなかった。

// <0108> そして俺たちの前で、おとぎ話ではない『証拠』を見せた。
<0108> そして俺たちの前で、おとぎ話ではない『証拠』を見せた。

// <0109> 植木鉢から観葉植物が自力で抜け出し、男の前に歩み寄った時、受講者の女性が泣き声をあげた。
<0109> 植木鉢から観葉植物が自力で抜け出し、男の前に歩み寄った時、受講者の女性が泣き声をあげた。

// <0110> 女
<0110> 女

// <0111> 「救われるんですか」
<0111> 「救われるんですか」

// <0112> 女
<0112> 女

// <0113> 「私たちも救われるんですか」
<0113> 「私たちも救われるんですか」

// <0114> 喜びの涙だ。
<0114> 喜びの涙だ。

// <0115> 奇跡は実在した。なら救いもあるのではないか。
<0115> 奇跡は実在した。なら救いもあるのではないか。

// <0116> 抗議した男がはらはらと涙を流して膝を折る。
<0116> 抗議した男がはらはらと涙を流して膝を折る。

// <0117> 講師
<0117> 講師

// <0118> 「人間は皆、抑圧を受けて生きています」
<0118> 「人間は皆、抑圧を受けて生きています」

// <0119> 講師
<0119> 講師

// <0120> 「強き者はプレッシャーにも屈しませんが、大半の人間は耐えられない」
<0120> 「強き者はプレッシャーにも屈しませんが、大半の人間は耐えられない」

// <0121> 講師
<0121> 講師

// <0122> 「発散するためにより弱い立場の者を責めることで、精神を保とうとする者もいます」
<0122> 「発散するためにより弱い立場の者を責めることで、精神を保とうとする者もいます」

// <0123> 講師
<0123> 講師

// <0124> 「その鬱屈は、世界の歪みに対する純粋な思いのはず」
<0124> 「その鬱屈は、世界の歪みに対する純粋な思いのはず」

// <0125> 講師
<0125> 講師

// <0126> 「見なさい、この魔物を。自然物でありながら、人の心を注いだだけでこのような邪悪な形になりはてます」
<0126> 「見なさい、この魔物を。自然物でありながら、人の心を注いだだけでこのような邪悪な形になりはてます」

// <0127> 講師
<0127> 講師

// <0128> 「心が病んでいる証です」
<0128> 「心が病んでいる証です」

// <0129> 講師
<0129> 講師

// <0130> 「ですが魔物は、苦しみに満ちた世界を改革したいと願う、尊い気持ちのあらわれでもあります」
<0130> 「ですが魔物は、苦しみに満ちた世界を改革したいと願う、尊い気持ちのあらわれでもあります」

// <0131> 講師
<0131> 講師

// <0132> 「私たちの働きによって少しでも現世が改善され、かつ命をも純化することが叶うのなら…それは芳醇な救いであると言えます」
<0132> 「私たちの働きによって少しでも現世が改善され、かつ命をも純化することが叶うのなら…それは芳醇な救いであると言えます」

// <0133> 受講者のひとりが講師の足下にすがりつく。
<0133> 受講者のひとりが講師の足下にすがりつく。

// <0134> ひとり、またひとり。
<0134> ひとり、またひとり。

// <0135> 俺もその中にまじり、泣いたフリをした。
<0135> 俺もその中にまじり、泣いたフリをした。

// <0136> 講師
<0136> 講師

// <0137> 「同志の皆さん。ともに救済への道を歩んでいきましょう。夢でもおとぎ話でもない、これら魔物たちを従えて」
<0137> 「同志の皆さん。ともに救済への道を歩んでいきましょう。夢でもおとぎ話でもない、これら魔物たちを従えて」

// <0138> 魔物使いとしての訓練がはじまる。
<0138> 魔物使いとしての訓練がはじまる。

// <0139> 訓練というと、まず過酷な体力作りを思い浮かべるが、ガイアのそれはまったく異なる。
<0139> 訓練というと、まず過酷な体力作りを思い浮かべるが、ガイアのそれはまったく異なる。

// <0140> 短期合宿という形で、ひたすら瞑想と講義に明け暮れた。
<0140> 短期合宿という形で、ひたすら瞑想と講義に明け暮れた。

// <0141> 精神修行のおもむきだ。
<0141> 精神修行のおもむきだ。

// <0142> 初期には全受講者が合同で進められるが、そのうち能力や段階に応じて個別指導に入る。
<0142> 初期には全受講者が合同で進められるが、そのうち能力や段階に応じて個別指導に入る。

// <0143> 優秀な者は数日で、俺は一週間目にしてようやく、魔物を扱う段階に行くことを許された。
<0143> 優秀な者は数日で、俺は一週間目にしてようやく、魔物を扱う段階に行くことを許された。

// <0144> 最初は粘土の塊を抱いて過ごすよう仰せつかった。
<0144> 最初は粘土の塊を抱いて過ごすよう仰せつかった。

// <0145> 粘土に見えるが、最低限の魔物に加工されているという。
<0145> 粘土に見えるが、最低限の魔物に加工されているという。

// <0146> 魔物と命の接続。
<0146> 魔物と命の接続。

// <0147> 『契約』と呼ぶ。
<0147> 『契約』と呼ぶ。

// <0148> 粘土型魔物と契約することが、第一段階の目的だ。
<0148> 粘土型魔物と契約することが、第一段階の目的だ。

// <0149> 照明のない暗い部屋で、一日中、粘土のかたまりを抱いて瞑想する。
<0149> 照明のない暗い部屋で、一日中、粘土のかたまりを抱いて瞑想する。

// <0150> 食事は出されたが、睡眠は決まった時間ではなく、限界になるまでしないよう言われた。
<0150> 食事は出されたが、睡眠は決まった時間ではなく、限界になるまでしないよう言われた。

// <0151> 気絶するまで瞑想。
<0151> 気絶するまで瞑想。

// <0152> 起きればすぐにまた粘土。
<0152> 起きればすぐにまた粘土。

// <0153> 昼夜の感覚も薄まり、今が何日なのかもわからなくなる。
<0153> 昼夜の感覚も薄まり、今が何日なのかもわからなくなる。

// <0154> だいたい一週間くらいだろうか。
<0154> だいたい一週間くらいだろうか。

// <0155> 突然、粘土の奥に光点のようなものを感覚した。
<0155> 突然、粘土の奥に光点のようなものを感覚した。

// <0156> 目は閉じていたから、視覚的なものではない。
<0156> 目は閉じていたから、視覚的なものではない。

// <0157> 光点に向かって意識を接近させる。
<0157> 光点に向かって意識を接近させる。

// <0158> すると…自分と粘土の間に、見えない線のようなものが繋がったと実感した。
<0158> すると…自分と粘土の間に、見えない線のようなものが繋がったと実感した。

// <0159> 瑚太朗＿必要
<0159> 瑚太朗＿必要

// <0160> （これが…契約線か？）
<0160> （これが…契約線か？）

// <0161> すると突然、腕の中で粘土が膨張した。
<0161> すると突然、腕の中で粘土が膨張した。

// <0162> すさまじい力で膨れていく。目を開けた。
<0162> すさまじい力で膨れていく。目を開けた。

// <0163> それは大きく伸び上がり、痙攣し、床に倒れた。
<0163> それは大きく伸び上がり、痙攣し、床に倒れた。

// <0164> 講師
<0164> 講師

// <0165> 「電気、つけますね」
<0165> 「電気、つけますね」

// <0166> 久しぶりの光に、目が慣れるまで数秒かかった。
<0166> 久しぶりの光に、目が慣れるまで数秒かかった。

// <0167> 講師
<0167> 講師

// <0168> 「おめでとうございます。契約は成功です」
<0168> 「おめでとうございます。契約は成功です」

// <0169> 見ると、床に細長く伸びた粘土が張り付いていた。
<0169> 見ると、床に細長く伸びた粘土が張り付いていた。

// <0170> 四肢のようなものが、下部に７本ほどいびつに生えている。
<0170> 四肢のようなものが、下部に７本ほどいびつに生えている。

// <0171> キリンのなりかけみたいな形だ。
<0171> キリンのなりかけみたいな形だ。

// <0172> ただの粘土が、筋肉の塊のように怪力を発揮し、自らを引き延ばした。
<0172> ただの粘土が、筋肉の塊のように怪力を発揮し、自らを引き延ばした。

// <0173> 契約線はもう捉えられなかった。
<0173> 契約線はもう捉えられなかった。

// <0174> 瑚太朗＿必要
<0174> 瑚太朗＿必要

// <0175> 「この魔物は、死んだのですか？」
<0175> 「この魔物は、死んだのですか？」

// <0176> 講師
<0176> 講師

// <0177> 「いいえ、これはもともとただの粘土だったのです。あなたの注いだ命が、一時、かりそめの命として宿ったに過ぎません」
<0177> 「いいえ、これはもともとただの粘土だったのです。あなたの注いだ命が、一時、かりそめの命として宿ったに過ぎません」

// <0178> 講師
<0178> 講師

// <0179> 「あなたの命は少し、純化されました。浄化が成ったのです」
<0179> 「あなたの命は少し、純化されました。浄化が成ったのです」

// <0180> 瑚太朗＿必要
<0180> 瑚太朗＿必要

// <0181> 「…なるほど」
<0181> 「…なるほど」

// <0182> 契約の次は『体験』だった。
<0182> 契約の次は『体験』だった。

// <0183> 完成した魔物と契約し、これを操る訓練だ。
<0183> 完成した魔物と契約し、これを操る訓練だ。

// <0184> 虫型の魔物と契約し、これを操るところから訓練ははじまる。
<0184> 虫型の魔物と契約し、これを操るところから訓練ははじまる。

// <0185> 講師
<0185> 講師

// <0186> 「では飛ばしてみてください。可能な限り遠くに」
<0186> 「では飛ばしてみてください。可能な限り遠くに」

// <0187> 森に向かって、俺たち受講生はわりあてられた虫魔物を飛ばす。
<0187> 森に向かって、俺たち受講生はわりあてられた虫魔物を飛ばす。

// <0188> 俺に与えられたのは、大あご部分をより戦闘的に改良したクワガタだ。
<0188> 俺に与えられたのは、大あご部分をより戦闘的に改良したクワガタだ。

// <0189> 正直、ちょっと萌える。ＵＭＡ的な意味で。
<0189> 正直、ちょっと萌える。ＵＭＡ的な意味で。

// <0190> 横並びになって、ビルの屋上から魔物を飛ばす。
<0190> 横並びになって、ビルの屋上から魔物を飛ばす。

// <0191> 以前渡された鳥型魔物を飛ばすのは苦手だったが、昆虫型は多少簡単だった。
<0191> 以前渡された鳥型魔物を飛ばすのは苦手だったが、昆虫型は多少簡単だった。

// <0192> よたつきながらも遠くに飛んでいく。
<0192> よたつきながらも遠くに飛んでいく。

// <0193> 魔物が操作できなくなるまで飛ばす。
<0193> 魔物が操作できなくなるまで飛ばす。

// <0194> ひとり脱落、ふたり脱落し、俺も途中でコントロールを失う。
<0194> ひとり脱落、ふたり脱落し、俺も途中でコントロールを失う。

// <0195> 契約線も切れてしまった。
<0195> 契約線も切れてしまった。

// <0196> 全員が魔物を失ったところで、訓練は終わる。
<0196> 全員が魔物を失ったところで、訓練は終わる。

// <0197> 講師
<0197> 講師

// <0198> 「それが皆さんが魔物を操れる、限界の距離となります。よく覚えておきましょう」
<0198> 「それが皆さんが魔物を操れる、限界の距離となります。よく覚えておきましょう」

// <0199> 講師
<0199> 講師

// <0200> 「今のは他愛ない虫ですから、もし発見されても大事にはなりません」
<0200> 「今のは他愛ない虫ですから、もし発見されても大事にはなりません」

// <0201> 講師
<0201> 講師

// <0202> 「ですが、より大きな魔物となると、なくしましたでは済まないこともあります」
<0202> 「ですが、より大きな魔物となると、なくしましたでは済まないこともあります」

// <0203> 講師
<0203> 講師

// <0204> 「魔物は可能な限り、目の届く範囲で操るのが良いのです」
<0204> 「魔物は可能な限り、目の届く範囲で操るのが良いのです」

// <0205> 魔物のそばには魔物使いがいる。
<0205> 魔物のそばには魔物使いがいる。

// <0206> なるほど、こういうことかと得心する。
<0206> なるほど、こういうことかと得心する。

// <0207> 瑚太朗＿必要
<0207> 瑚太朗＿必要

// <0208> 「今の魔物は、どうなるのですか？」
<0208> 「今の魔物は、どうなるのですか？」

// <0209> 講師
<0209> 講師

// <0210> 「虫の魔物は、命をほとんど消費しません。とても燃費が良いのです。ですから、注いだ分の力を失うまでは、残っている本能に従って動き続けるでしょうね」
<0210> 「虫の魔物は、命をほとんど消費しません。とても燃費が良いのです。ですから、注いだ分の力を失うまでは、残っている本能に従って動き続けるでしょうね」

// <0211> 講師
<0211> 講師

// <0212> 「これが動物タイプだと、すぐに尽きてしまうのですが」
<0212> 「これが動物タイプだと、すぐに尽きてしまうのですが」

// <0213> 講師
<0213> 講師

// <0214> 「ただあれらは、必要ない消化器官等は取ってありますから、エサは食べませんし、繁殖もできません」
<0214> 「ただあれらは、必要ない消化器官等は取ってありますから、エサは食べませんし、繁殖もできません」

// <0215> 講師
<0215> 講師

// <0216> 「放っておけばいずれ土に還るでしょう」
<0216> 「放っておけばいずれ土に還るでしょう」

// <0217> あの森にはＵＭＡが出るなんて噂があったが、こういう原因もあったらしい。
<0217> あの森にはＵＭＡが出るなんて噂があったが、こういう原因もあったらしい。

// <0218> なかなか面白いことしてくれてる。
<0218> なかなか面白いことしてくれてる。

// <0219> 受講者
<0219> 受講者

// <0220> 「先生、私の魔物が、途中で途絶えてしまいました」
<0220> 「先生、私の魔物が、途中で途絶えてしまいました」

// <0221> 講師
<0221> 講師

// <0222> 「おかしいですね。どのあたりですか？」
<0222> 「おかしいですね。どのあたりですか？」

// <0223> 受講者
<0223> 受講者

// <0224> 「あのあたりで…」
<0224> 「あのあたりで…」

// <0225> 講師
<0225> 講師

// <0226> 「鳥にでも狩られましたか？」
<0226> 「鳥にでも狩られましたか？」

// <0227> 篝が潜伏しているあたりだな。
<0227> 篝が潜伏しているあたりだな。

// <0228> …まさかな。
<0228> …まさかな。

// <0229> 魔物使いにも優劣がある。
<0229> 魔物使いにも優劣がある。

// <0230> 優れた者はより高度な魔物を扱えるし、劣る者は単純な個体しか動かせない。
<0230> 優れた者はより高度な魔物を扱えるし、劣る者は単純な個体しか動かせない。

// <0231> 講師は『相性』という言葉でその格差を誤魔化した。
<0231> 講師は『相性』という言葉でその格差を誤魔化した。

// <0232> 俺はさほど優れた魔物使いではないようだ。
<0232> 俺はさほど優れた魔物使いではないようだ。

// <0233> ヤスミンがやったような、大きな魔物はとても扱えない。
<0233> ヤスミンがやったような、大きな魔物はとても扱えない。

// <0234> 俺に契約できたのは、小型のもの、鳥型、獣型くらいのもの。
<0234> 俺に契約できたのは、小型のもの、鳥型、獣型くらいのもの。

// <0235> 小型でも現実にはいない形の魔物は、うまく操縦できない。
<0235> 小型でも現実にはいない形の魔物は、うまく操縦できない。

// <0236> 魔物使いの格があるとすれば、俺は下の上くらいに分類されそうだ。
<0236> 魔物使いの格があるとすれば、俺は下の上くらいに分類されそうだ。

// <0237> 鳥は苦手だし、虫もあまりパッとしない。
<0237> 鳥は苦手だし、虫もあまりパッとしない。

// <0238> けど獣型の扱いは、性に合っていたらしい。
<0238> けど獣型の扱いは、性に合っていたらしい。

// <0239> あの黒犬を自在に操ってみせると、『体験』段階はクリアとなった。
<0239> あの黒犬を自在に操ってみせると、『体験』段階はクリアとなった。

// <0240> そして最後は『創出』が待っていた。
<0240> そして最後は『創出』が待っていた。

// <0241> すでにできあがった魔物を動かすより、新たな魔物を生み出す方がはるかに難しい。
<0241> すでにできあがった魔物を動かすより、新たな魔物を生み出す方がはるかに難しい。

// <0242> 創出とは、魔物を生み出す行為だ。
<0242> 創出とは、魔物を生み出す行為だ。

// <0243> これができる者は限られる。
<0243> これができる者は限られる。

// <0244> だからこの訓練は、別に合格しないでも構わない。
<0244> だからこの訓練は、別に合格しないでも構わない。

// <0245> 俺みたいなヘボには無縁の段階だ。
<0245> 俺みたいなヘボには無縁の段階だ。

// <0246> …と思っていたが、できた。
<0246> …と思っていたが、できた。

// <0247> 講師
<0247> 講師

// <0248> 「鈴木さんの隠された才能には私もびっくりです」
<0248> 「鈴木さんの隠された才能には私もびっくりです」

// <0249> 自分でもびっくりだ。
<0249> 自分でもびっくりだ。

// <0250> 有機物に命を注ぎ、かりそめの肉体を形作る。
<0250> 有機物に命を注ぎ、かりそめの肉体を形作る。

// <0251> 魔物といっても、肉体が動作する仕組みは必要だ。
<0251> 魔物といっても、肉体が動作する仕組みは必要だ。

// <0252> 骨格や筋の設計に矛盾があれば、正常に動作しなくなる。
<0252> 骨格や筋の設計に矛盾があれば、正常に動作しなくなる。

// <0253> 完全に一から魔物を設計することも可能だが、やはり別格のセンスと知識がいる。
<0253> 完全に一から魔物を設計することも可能だが、やはり別格のセンスと知識がいる。

// <0254> 既存の生物（の遺骸）を用いた方が、ずっと簡単だ。
<0254> 既存の生物（の遺骸）を用いた方が、ずっと簡単だ。

// <0255> 必要な機能を強化し、不必要を削るだけで良い。
<0255> 必要な機能を強化し、不必要を削るだけで良い。

// <0256> 魔物は動かそうと思えば命を供給する必要があるが、使用しない時には保存ができる。
<0256> 魔物は動かそうと思えば命を供給する必要があるが、使用しない時には保存ができる。

// <0257> マーテルには、現在では誰も創出できない貴重な魔物が何体も保存されているそうだ。
