// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。
// <0065> 「火事騒動の中に、怪しい気配がありましたしね」
<0065> 「火事騒動の中に、怪しい気配がありましたしね」

// <0066> 
<0066> 

// <0067> 朱音
<0067> 朱音

// <0068> 「…見つけたわ」
<0068> 「…見つけたわ」

// <0069> ？？＿小鳥
<0069> ？？＿小鳥

// <0070> 「………！！」
<0070> 「………！！」

// <0071> 朱音
<0071> 朱音

// <0072> 「心配しなくてもいいわ。あなたに危害は加えない」
<0072> 「心配しなくてもいいわ。あなたに危害は加えない」

// <0073> 朱音
<0073> 朱音

// <0074> 「もっとも、危害を加えようが無いと思うけど」
<0074> 「もっとも、危害を加えようが無いと思うけど」

// <0075> 朱音
<0075> 朱音

// <0076> 「『鍵』はそこね」
<0076> 「『鍵』はそこね」

// <0077> ？？＿小鳥
<0077> ？？＿小鳥

// <0078> 「どうして…」
<0078> 「どうして…」

// <0079> 朱音
<0079> 朱音

// <0080> 「結界よ」
<0080> 「結界よ」

// <0081> 朱音
<0081> 朱音

// <0082> 「完璧に隠されていたけれど、そんな完璧な結界があるとわかれば、ここの割り出しはそう難しくはなかったわ」
<0082> 「完璧に隠されていたけれど、そんな完璧な結界があるとわかれば、ここの割り出しはそう難しくはなかったわ」

// <0083> 朱音
<0083> 朱音

// <0084> 「…渡してもらうわね」
<0084> 「…渡してもらうわね」

// <0085> ―――鍵と、それを守るドルイドの力―――
<0085> ―――鍵と、それを守るドルイドの力―――

// <0086> 
<0086> 

// <0087> 結局、すぐにちはやの家まで戻れることになった。
<0087> 結局、すぐにちはやの家まで戻れることになった。

// <0088> 瑚太朗
<0088> 瑚太朗

// <0089> 「もう、普通に歩けるけどさぁ…」
<0089> 「もう、普通に歩けるけどさぁ…」

// <0090> …ちはやは咲夜と一緒に先に戻っていった。
<0090> …ちはやは咲夜と一緒に先に戻っていった。

// <0091> ぎる
<0091> ぎる

// <0092> 「まあいいじゃねえか。オレらがいるじゃん」
<0092> 「まあいいじゃねえか。オレらがいるじゃん」

// <0093> 瑚太朗
<0093> 瑚太朗

// <0094> 「ちはやが良かったんだよ」
<0094> 「ちはやが良かったんだよ」

// <0095> 瑚太朗
<0095> 瑚太朗

// <0096> 「無駄にけが人の振りして、甘える楽しみとかがあったりする」
<0096> 「無駄にけが人の振りして、甘える楽しみとかがあったりする」

// <0097> ぱに
<0097> ぱに

// <0098> 「そんなことしても、肩に担がれて運ばれるだけなんじゃありませんの？」
<0098> 「そんなことしても、肩に担がれて運ばれるだけなんじゃありませんの？」

// <0099> 瑚太朗
<0099> 瑚太朗

// <0100> 「かも…」
<0100> 「かも…」

// <0101> 瑚太朗
<0101> 瑚太朗

// <0102> 「っと、お前らそろそろ隠れとけ。こっち人通り多いし」
<0102> 「っと、お前らそろそろ隠れとけ。こっち人通り多いし」

// <0103> ぎる
<0103> ぎる

// <0104> 「じゃあ、空から先に戻っとくぜ」
<0104> 「じゃあ、空から先に戻っとくぜ」

// <0105> ぱに
<0105> ぱに

// <0106> 「私は心配ですから、ご一緒しますわよ」
<0106> 「私は心配ですから、ご一緒しますわよ」

// <0107> 瑚太朗
<0107> 瑚太朗

// <0108> 「…いや、いいや。だいじょぶ」
<0108> 「…いや、いいや。だいじょぶ」

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「ちょっと寄るとこあっから、先行っていいよ」
<0110> 「ちょっと寄るとこあっから、先行っていいよ」

// <0111> ぎる
<0111> ぎる

// <0112> 「だってよ！　行くぞ！！」
<0112> 「だってよ！　行くぞ！！」

// <0113> ぱに
<0113> ぱに

// <0114> 「仕方ありませんわねぇ。待ってますわー」
<0114> 「仕方ありませんわねぇ。待ってますわー」

// <0115> 二匹は飛んでいった。
<0115> 二匹は飛んでいった。

// <0116> 瑚太朗
<0116> 瑚太朗

// <0117> 「………」
<0117> 「………」

// <0118> 少し、一人で歩きたい気分だった。
<0118> 少し、一人で歩きたい気分だった。

// <0119> 瑚太朗
<0119> 瑚太朗

// <0120> 「ミドウ…」
<0120> 「ミドウ…」

// <0121> あの炎だ。テンマと同じように、死体も残らないだろう。
<0121> あの炎だ。テンマと同じように、死体も残らないだろう。

// <0122> 瑚太朗
<0122> 瑚太朗

// <0123> （俺…）
<0123> （俺…）

// <0124> 瑚太朗
<0124> 瑚太朗

// <0125> （俺が殺したんかな…）
<0125> （俺が殺したんかな…）

// <0126> 違う。あいつが最後に自分で炎に焼かれただけだ。
<0126> 違う。あいつが最後に自分で炎に焼かれただけだ。

// <0127> 最後まで、あいつは理解できなかった。
<0127> 最後まで、あいつは理解できなかった。

// <0128> でも…。
<0128> でも…。

// <0129> あいつは最後に、涙を見せた。
<0129> あいつは最後に、涙を見せた。

// <0130> 望んでいたわけじゃないと思うんだ。
<0130> 望んでいたわけじゃないと思うんだ。

// <0131> それだけしか道がなかったと、それだけの事で…。
<0131> それだけしか道がなかったと、それだけの事で…。

// <0132> 瑚太朗
<0132> 瑚太朗

// <0133> （………）
<0133> （………）

// <0134> これからこんな風に戦ってたら…。
<0134> これからこんな風に戦ってたら…。

// <0135> 瑚太朗
<0135> 瑚太朗

// <0136> 「俺…」
<0136> 「俺…」

// <0137> 瑚太朗
<0137> 瑚太朗

// <0138> 「何でこんなことしてんのかなぁ…」
<0138> 「何でこんなことしてんのかなぁ…」

// <0139> …もっと強ければ。
<0139> …もっと強ければ。

// <0140> 強ければ…。
<0140> 強ければ…。

// <0141> 瑚太朗
<0141> 瑚太朗

// <0142> 「………」
<0142> 「………」

// <0143> くそ…。
<0143> くそ…。

// <0144> 何一つ割り切れやしねえ…。
<0144> 何一つ割り切れやしねえ…。

// <0145> 瑚太朗
<0145> 瑚太朗

// <0146> 「咲夜の野郎だったら…」
<0146> 「咲夜の野郎だったら…」

// <0147> …多分、目の前の道に塞がるやつくらい、余裕で排除できるだろう。
<0147> …多分、目の前の道に塞がるやつくらい、余裕で排除できるだろう。

// <0148> 瑚太朗
<0148> 瑚太朗

// <0149> 「…魔物か…」
<0149> 「…魔物か…」

// <0150> 背中をさする。
<0150> 背中をさする。

// <0151> ここだけ、皮膚の質感が違う。
<0151> ここだけ、皮膚の質感が違う。

// <0152> 強化のし過ぎだろうか。すでに俺の身体が異常に変形し始めていた。
<0152> 強化のし過ぎだろうか。すでに俺の身体が異常に変形し始めていた。

// <0153> 瑚太朗
<0153> 瑚太朗

// <0154> 「………」
<0154> 「………」

// <0155> 瑚太朗
<0155> 瑚太朗

// <0156> （人じゃなくなるって言うけど…）
<0156> （人じゃなくなるって言うけど…）

// <0157> すでに俺は人ではなくなっている気がした。
<0157> すでに俺は人ではなくなっている気がした。

// <0158> 翌日。
<0158> 翌日。

// <0159> 町中に響く連絡放送で目が醒める。
<0159> 町中に響く連絡放送で目が醒める。

// <0160> 放送
<0160> 放送

// <0161> 『…以上、防災風祭でした』
<0161> 『…以上、防災風祭でした』

// <0162> 瑚太朗
<0162> 瑚太朗

// <0163> 「………」
<0163> 「………」

// <0164> 前半を聞き逃した。
<0164> 前半を聞き逃した。

// <0165> 何の放送だったんだ？
<0165> 何の放送だったんだ？

// <0166> 咲夜
<0166> 咲夜

// <0167> 「…連日の火災騒ぎで収穫祭自体が中止となったようです」
<0167> 「…連日の火災騒ぎで収穫祭自体が中止となったようです」

// <0168> 瑚太朗
<0168> 瑚太朗

// <0169> 「え、まじかよ」
<0169> 「え、まじかよ」

// <0170> 咲夜
<0170> 咲夜

// <0171> 「当然でしょうね。このご時世です」
<0171> 「当然でしょうね。このご時世です」

// <0172> 瑚太朗
<0172> 瑚太朗

// <0173> 「…そうかぁ」
<0173> 「…そうかぁ」

// <0174> 瑚太朗
<0174> 瑚太朗

// <0175> 「じゃあ祭り、行けないな…」
<0175> 「じゃあ祭り、行けないな…」

// <0176> バイトも無駄になっちまった。
<0176> バイトも無駄になっちまった。

// <0177> ちはや
<0177> ちはや

// <0178> 「まあ、また来年やるんじゃないです？」
<0178> 「まあ、また来年やるんじゃないです？」

// <0179> 瑚太朗
<0179> 瑚太朗

// <0180> 「………」
<0180> 「………」

// <0181> いや、二人で行ったらそれは楽しかったろうなぁ、と。
<0181> いや、二人で行ったらそれは楽しかったろうなぁ、と。

// <0182> 瑚太朗
<0182> 瑚太朗

// <0183> 「…くそ」
<0183> 「…くそ」

// <0184> ミドウの野郎、こんなところまで俺の邪魔しやがって…。
<0184> ミドウの野郎、こんなところまで俺の邪魔しやがって…。

// <0185> ちはや
<0185> ちはや

// <0186> 「そんなに楽しみだったんです？」
<0186> 「そんなに楽しみだったんです？」

// <0187> 瑚太朗
<0187> 瑚太朗

// <0188> 「…来年、一緒にいこうな」
<0188> 「…来年、一緒にいこうな」

// <0189> ちはや
<0189> ちはや

// <0190> 「は、はい？　え、えぇ、それは、ええ…」
<0190> 「は、はい？　え、えぇ、それは、ええ…」

// <0191> 素直に同意を得られる関係になったのはある意味喜ばしい。
<0191> 素直に同意を得られる関係になったのはある意味喜ばしい。

// <0192> …でも、そのためには。
<0192> …でも、そのためには。

// <0193> 瑚太朗
<0193> 瑚太朗

// <0194> （どうにかして、これ解決しないとな…）
<0194> （どうにかして、これ解決しないとな…）

// <0195> 鍵の争奪戦。
<0195> 鍵の争奪戦。

// <0196> 長年続いてきたような、激しい争い。
<0196> 長年続いてきたような、激しい争い。

// <0197> 俺なんかでどうこうできるんだろうか、本当に…。
<0197> 俺なんかでどうこうできるんだろうか、本当に…。

// <0198> ちはや
<0198> ちはや

// <0199> 「収穫祭…」
<0199> 「収穫祭…」

// <0200> ちはや
<0200> ちはや

// <0201> 「楽しいんです？」
<0201> 「楽しいんです？」

// <0202> 瑚太朗
<0202> 瑚太朗

// <0203> 「ん？　まあ…基本的に屋台で買い食いとかするのがメインだけど」
<0203> 「ん？　まあ…基本的に屋台で買い食いとかするのがメインだけど」

// <0204> 催し物にも面白いものは存在するが、基本的にパレードとか見ても楽しくはない。
<0204> 催し物にも面白いものは存在するが、基本的にパレードとか見ても楽しくはない。

// <0205> 瑚太朗
<0205> 瑚太朗

// <0206> 「まあ、なんか馬鹿騒ぎするためのイベントみたいな」
<0206> 「まあ、なんか馬鹿騒ぎするためのイベントみたいな」

// <0207> ちはや
<0207> ちはや

// <0208> 「へー…」
<0208> 「へー…」

// <0209> 咲夜
<0209> 咲夜

// <0210> 「…ふむ」
<0210> 「…ふむ」

// <0211> 咲夜が携帯を取り出し、どこかへ電話を掛けた。
<0211> 咲夜が携帯を取り出し、どこかへ電話を掛けた。

// <0212> 咲夜
<0212> 咲夜

// <0213> 「どうやら有志で出店の類が集まっている場所があるようです」
<0213> 「どうやら有志で出店の類が集まっている場所があるようです」

// <0214> 瑚太朗
<0214> 瑚太朗

// <0215> 「え、まじで？」
<0215> 「え、まじで？」

// <0216> 咲夜
<0216> 咲夜

// <0217> 「当然許可がなければそういったことは出来ないでしょうが、ここ風祭には無法地帯が存在しますから」
<0217> 「当然許可がなければそういったことは出来ないでしょうが、ここ風祭には無法地帯が存在しますから」

// <0218> 瑚太朗
<0218> 瑚太朗

// <0219> 「Ｋ－スラムか」
<0219> 「Ｋ－スラムか」

// <0220> 咲夜
<0220> 咲夜

// <0221> 「…その恥ずかしい呼び名は知りませんが、おそらく」
<0221> 「…その恥ずかしい呼び名は知りませんが、おそらく」

// <0222> 瑚太朗
<0222> 瑚太朗

// <0223> 「あの怪しい路地裏か」
<0223> 「あの怪しい路地裏か」

// <0224> 瑚太朗
<0224> 瑚太朗

// <0225> 「だいじょうぶなんかね、そういうの」
<0225> 「だいじょうぶなんかね、そういうの」

// <0226> 咲夜
<0226> 咲夜

// <0227> 「そもそも、騒ぎの原因はすでにここに無いわけですし、中止については自治的な面が強いですから」
<0227> 「そもそも、騒ぎの原因はすでにここに無いわけですし、中止については自治的な面が強いですから」

// <0228> 瑚太朗
<0228> 瑚太朗

// <0229> 「…そりゃそうか」
<0229> 「…そりゃそうか」

// <0230> ミドウたちはもういない。
<0230> ミドウたちはもういない。

// <0231> 爆発事件なんて、もう起こるはずはない。
<0231> 爆発事件なんて、もう起こるはずはない。

// <0232> とはいえ、それを知っているのは俺たちくらいのもんだ。行政側が知る由もない。
<0232> とはいえ、それを知っているのは俺たちくらいのもんだ。行政側が知る由もない。

// <0233> 瑚太朗
<0233> 瑚太朗

// <0234> 「んじゃ、いこうぜ」
<0234> 「んじゃ、いこうぜ」

// <0235> そう、ミドウたちはもういないのだ。
<0235> そう、ミドウたちはもういないのだ。

// <0236> 今この瞬間くらいはいいじゃないか。
<0236> 今この瞬間くらいはいいじゃないか。

// <0237> 咲夜
<0237> 咲夜

// <0238> 「この緊迫した状態でまた、お気楽なことですね与太郎君は」
<0238> 「この緊迫した状態でまた、お気楽なことですね与太郎君は」

// <0239> 瑚太朗
<0239> 瑚太朗

// <0240> 「緊迫した状況だからこそこういう息抜きが必要なんだろうが」
<0240> 「緊迫した状況だからこそこういう息抜きが必要なんだろうが」

// <0241> 咲夜
<0241> 咲夜

// <0242> 「その点はおいておいて…確かに、収穫祭はガイア側の主催によるものです。その中でガーディアンが何かしらの行動を起こすとも考えられます」
<0242> 「その点はおいておいて…確かに、収穫祭はガイア側の主催によるものです。その中でガーディアンが何かしらの行動を起こすとも考えられます」

// <0243> 咲夜
<0243> 咲夜

// <0244> 「本当に開催されるとなれば、現地にいることは間違いではなかったのでしょうが」
<0244> 「本当に開催されるとなれば、現地にいることは間違いではなかったのでしょうが」

// <0245> 祭りまで戦場になるのか…。
<0245> 祭りまで戦場になるのか…。

// <0246> 咲夜
<0246> 咲夜

// <0247> 「…ちはやさんはどうです？」
<0247> 「…ちはやさんはどうです？」

// <0248> ちはや
<0248> ちはや

// <0249> 「行ってみたいですねぇ」
<0249> 「行ってみたいですねぇ」

// <0250> 咲夜
<0250> 咲夜

// <0251> 「………」
<0251> 「………」

// <0252> 悩んでいるようだった。
<0252> 悩んでいるようだった。

// <0253> 瑚太朗
<0253> 瑚太朗

// <0254> 「いや、お前がわざわざ出してきた情報だろ…別に行ってもいいじゃん」
<0254> 「いや、お前がわざわざ出してきた情報だろ…別に行ってもいいじゃん」

// <0255> 咲夜
<0255> 咲夜

// <0256> 「いえ…」
<0256> 「いえ…」

// <0257> 咲夜
<0257> 咲夜

// <0258> 「お小遣いはいかほどにしようかと思いまして」
<0258> 「お小遣いはいかほどにしようかと思いまして」

// <0259> 瑚太朗
<0259> 瑚太朗

// <0260> 「そこかよ！」
<0260> 「そこかよ！」

// <0261> 確かに、ちはやだったら行く店行く店で買い食いしては平らげていくだろう。
<0261> 確かに、ちはやだったら行く店行く店で買い食いしては平らげていくだろう。

// <0262> 祭りスイーツ代表格であるチョコバナナにいたっては、全店制覇しかねん勢いだ。
<0262> 祭りスイーツ代表格であるチョコバナナにいたっては、全店制覇しかねん勢いだ。

// <0263> だが、ちはやに大金を持たせるとなると、それはとても危険な気もする…。
<0263> だが、ちはやに大金を持たせるとなると、それはとても危険な気もする…。

// <0264> 瑚太朗
<0264> 瑚太朗

// <0265> 「うーむ…」
<0265> 「うーむ…」

// <0266> ちはや
<0266> ちはや

// <0267> 「なんで瑚太朗まで悩んでるんですか」
<0267> 「なんで瑚太朗まで悩んでるんですか」

// <0268> 瑚太朗
<0268> 瑚太朗

// <0269> 「お前のことを考えると憂い想ってしまうのだ…」
<0269> 「お前のことを考えると憂い想ってしまうのだ…」

// <0270> ちはや
<0270> ちはや

// <0271> 「なんですかそれ…」
<0271> 「なんですかそれ…」

// <0272> で、結局。
<0272> で、結局。

// <0273> ちはや
<0273> ちはや

// <0274> 「結構人いますねぇー」
<0274> 「結構人いますねぇー」

// <0275> 咲夜
<0275> 咲夜

// <0276> 「思っていた以上ですね。賑やかで何よりです」
<0276> 「思っていた以上ですね。賑やかで何よりです」

// <0277> 咲夜にとっては最良の、俺にとっては最悪の選択をすることとなった。
<0277> 咲夜にとっては最良の、俺にとっては最悪の選択をすることとなった。

// <0278> 瑚太朗
<0278> 瑚太朗

// <0279> 「デートだってのに…」
<0279> 「デートだってのに…」

// <0280> 咲夜
<0280> 咲夜

// <0281> 「私とですか？」
<0281> 「私とですか？」

// <0282> 瑚太朗
<0282> 瑚太朗

// <0283> 「んな気味の悪い真似、世界が滅んでもしたくないわい」
<0283> 「んな気味の悪い真似、世界が滅んでもしたくないわい」

// <0284> ちはや
<0284> ちはや

// <0285> 「別に私は大丈夫なんですけどねえ」
<0285> 「別に私は大丈夫なんですけどねえ」

// <0286> 咲夜
<0286> 咲夜

// <0287> 「いえ、せっかくですから」
<0287> 「いえ、せっかくですから」

// <0288> 要はこいつが一緒に来たかっただけだろう。
<0288> 要はこいつが一緒に来たかっただけだろう。

// <0289> ちなみにぎるぱにはさすがに目立ってしまうため家でお留守番となった。
<0289> ちなみにぎるぱにはさすがに目立ってしまうため家でお留守番となった。

// <0290> 瑚太朗
<0290> 瑚太朗

// <0291> 「ま、適当に回っていくかね」
<0291> 「ま、適当に回っていくかね」

// <0292> ちはや
<0292> ちはや

// <0293> 「はーい」
<0293> 「はーい」

// <0294> 咲夜
<0294> 咲夜

// <0295> 「おっとちはやさん、こちらにくじがありますよ」
<0295> 「おっとちはやさん、こちらにくじがありますよ」

// <0296> ちはや
<0296> ちはや

// <0297> 「別に欲しいのないですけどねえ」
<0297> 「別に欲しいのないですけどねえ」

// <0298> 咲夜
<0298> 咲夜

// <0299> 「む、そうですか…この程度なら出るまででも引き続けてみては、と思ったのですが」
<0299> 「む、そうですか…この程度なら出るまででも引き続けてみては、と思ったのですが」

// <0300> 瑚太朗
<0300> 瑚太朗

// <0301> 「…お前もう少しサイフの紐締めろよ…」
<0301> 「…お前もう少しサイフの紐締めろよ…」

// <0302> 行き交う人々は一様に笑顔だ。
<0302> 行き交う人々は一様に笑顔だ。

// <0303> 表通りの大きな催しが出来ない分、ここで全力で発散しているかのように。
<0303> 表通りの大きな催しが出来ない分、ここで全力で発散しているかのように。

// <0304> いつものこの辺にいる柄の悪い連中も多いが、今日ばかりは一般人もここを訪れているようだった。
<0304> いつものこの辺にいる柄の悪い連中も多いが、今日ばかりは一般人もここを訪れているようだった。

// <0305> おっさんがビール片手に「フェスティバアアアアアァァァァル！」と叫びながら歩いていった。
<0305> おっさんがビール片手に「フェスティバアアアアアァァァァル！」と叫びながら歩いていった。

// <0306> 風祭名物フェスティバルおじさんだ。
<0306> 風祭名物フェスティバルおじさんだ。

// <0307> すでに風物詩なので俺は軽くスルーする。
<0307> すでに風物詩なので俺は軽くスルーする。

// <0308> 瑚太朗
<0308> 瑚太朗

// <0309> 「お、あんず飴だ。あれ美味いぞ」
<0309> 「お、あんず飴だ。あれ美味いぞ」

// <0310> ちはや
<0310> ちはや

// <0311> 「食べたことないですねえ」
<0311> 「食べたことないですねえ」

// <0312> 咲夜
<0312> 咲夜

// <0313> 「それでしたら、うちのアプリコットの酢漬けをご用意しますが」
<0313> 「それでしたら、うちのアプリコットの酢漬けをご用意しますが」

// <0314> 瑚太朗
<0314> 瑚太朗

// <0315> 「…いや、そっちのほうが美味いには美味いだろうけどよ…」
<0315> 「…いや、そっちのほうが美味いには美味いだろうけどよ…」

// <0316> 咲夜
<0316> 咲夜

// <0317> 「では与太郎君の顔を立てて、物は試しと買ってみましょう」
<0317> 「では与太郎君の顔を立てて、物は試しと買ってみましょう」

// <0318> いちいち言い方がむかつく。
<0318> いちいち言い方がむかつく。

// <0319> ちはや
<0319> ちはや

// <0320> 「わーい」
<0320> 「わーい」

// <0321> ちはやが喜んでくれるのか！？
<0321> ちはやが喜んでくれるのか！？

// <0322> 瑚太朗
<0322> 瑚太朗

// <0323> 「待てよ！　俺が薦めたんだから俺が出すんだよ！」
<0323> 「待てよ！　俺が薦めたんだから俺が出すんだよ！」

// <0324> 咲夜
<0324> 咲夜

// <0325> 「…与太郎君の少ないお小遣いからですか？　ご無理をなさらないほうが」
<0325> 「…与太郎君の少ないお小遣いからですか？　ご無理をなさらないほうが」

// <0326> 瑚太朗
<0326> 瑚太朗

// <0327> 「２００円くらい普通に出せるわ！　それにじゃんけんで勝ちゃあ二本貰えんだよ！」
<0327> 「２００円くらい普通に出せるわ！　それにじゃんけんで勝ちゃあ二本貰えんだよ！」

// <0328> 咲夜
<0328> 咲夜

// <0329> 「でしたら、なおさら私のほうが有利でしょう。僭越ながら、私は１対１のじゃんけんでは勝率９割を超えております」
<0329> 「でしたら、なおさら私のほうが有利でしょう。僭越ながら、私は１対１のじゃんけんでは勝率９割を超えております」

// <0330> 瑚太朗
<0330> 瑚太朗

// <0331> 「ぐ…」
<0331> 「ぐ…」

// <0332> こいつの場合、はったりに聞こえねえからたちが悪い…。
<0332> こいつの場合、はったりに聞こえねえからたちが悪い…。

// <0333> 瑚太朗
<0333> 瑚太朗

// <0334> 「だったらてめえ、まず俺と勝負だ」
<0334> 「だったらてめえ、まず俺と勝負だ」

// <0335> 咲夜
<0335> 咲夜

// <0336> 「ふ…あなたごときがこの私に勝てるとでも？」
<0336> 「ふ…あなたごときがこの私に勝てるとでも？」

// <0337> 瑚太朗
<0337> 瑚太朗

// <0338> 「俺だってあんず飴は２００円で二本もらうもんと決めてんだよ…！」
<0338> 「俺だってあんず飴は２００円で二本もらうもんと決めてんだよ…！」

// <0339> 二人の間に稲妻が走る。
<0339> 二人の間に稲妻が走る。

// <0340> 男と男の（ごく小さい）プライドをかけた（ごく小規模の）竜虎図が展開されていた。
<0340> 男と男の（ごく小さい）プライドをかけた（ごく小規模の）竜虎図が展開されていた。

// <0341> ちはや
<0341> ちはや

// <0342> 「何でもいいですけどー」
<0342> 「何でもいいですけどー」

// <0343> ちはや
<0343> ちはや

// <0344> 「これ美味しいですねえ」
<0344> 「これ美味しいですねえ」

// <0345> ちはやはすでにあんず飴の周りの水飴をびろーん、と伸ばしていた。
<0345> ちはやはすでにあんず飴の周りの水飴をびろーん、と伸ばしていた。

// <0346> 瑚太朗
<0346> 瑚太朗

// <0347> 「………」
<0347> 「………」

// <0348> 咲夜
<0348> 咲夜

// <0349> 「………」
<0349> 「………」

// <0350> ちはや
<0350> ちはや

// <0351> 「はい、瑚太朗の分です」
<0351> 「はい、瑚太朗の分です」

// <0352> 瑚太朗
<0352> 瑚太朗

// <0353> 「げぇっ、しかも勝ったのかよ！」
<0353> 「げぇっ、しかも勝ったのかよ！」
