// <0000> 瑚太朗＿体験版

// <0038> 追跡者をまくとか、保安のための用心とかで、たらい回しにする。
<0038> 追跡者をまくとか、保安のための用心とかで、たらい回しにする。

// <0039> 瑚太朗＿体験版
<0039> 瑚太朗＿体験版

// <0040> 「これぞクエストって感じだ」
<0040> 「これぞクエストって感じだ」

// <0041> 瑚太朗＿体験版
<0041> 瑚太朗＿体験版

// <0042> 「１－Ｃな」
<0042> 「１－Ｃな」

// <0043> ■マッピー／既読■　ID:
<0043> ■マッピー／既読■　ID:

// <0044>  (Z
<0044>  (Z

// <0045> -
<0045> -

// <0046> ■マッピー／コンプリート■
<0046> ■マッピー／コンプリート■

// <0047> 瑚太朗＿体験版
<0047> 瑚太朗＿体験版

// <0048> 「ここは指定の場所じゃないぞ。見つかる危険が大きい」
<0048> 「ここは指定の場所じゃないぞ。見つかる危険が大きい」

// <0049> 瑚太朗＿体験版
<0049> 瑚太朗＿体験版

// <0050> 「ちゃんと指定の場所から入ろう」
<0050> 「ちゃんと指定の場所から入ろう」

// <0051> 
<0051> 

// <0052> 瑚太朗＿体験版
<0052> 瑚太朗＿体験版

// <0053> 「え、ここから入るのかよ…」
<0053> 「え、ここから入るのかよ…」

// <0054> 瑚太朗＿体験版
<0054> 瑚太朗＿体験版

// <0055> 「いいや、行っちゃえ！　よっしゃあ！　アイムデンジャーメーン！！」
<0055> 「いいや、行っちゃえ！　よっしゃあ！　アイムデンジャーメーン！！」

// <0056> 
<0056> 

// <0057> 俺はデンジャーメンだったので、ここから侵入することにした。
<0057> 俺はデンジャーメンだったので、ここから侵入することにした。

// <0058> ■マッピー／既読■　ID:
<0058> ■マッピー／既読■　ID:

// <0059>  (Z
<0059>  (Z

// <0060> -
<0060> -

// <0061> ■マッピー／コンプリート■
<0061> ■マッピー／コンプリート■

// <0062> 瑚太朗＿体験版
<0062> 瑚太朗＿体験版

// <0063> 「正面から行く気かよ。何のための指定の場所なんだよ！」
<0063> 「正面から行く気かよ。何のための指定の場所なんだよ！」

// <0064> 
<0064> 

// <0065> 瑚太朗＿体験版
<0065> 瑚太朗＿体験版

// <0066> 「アホか俺は！　何でわざわざ危険な道を…」
<0066> 「アホか俺は！　何でわざわざ危険な道を…」

// <0067> 瑚太朗＿体験版
<0067> 瑚太朗＿体験版

// <0068> 「そうか！　俺アホだったんだ！！」
<0068> 「そうか！　俺アホだったんだ！！」

// <0069> 瑚太朗＿体験版
<0069> 瑚太朗＿体験版

// <0070> 「イエイ！　レツゴォオオオォォォォー！！！」
<0070> 「イエイ！　レツゴォオオオォォォォー！！！」

// <0071> 
<0071> 

// <0072> 俺はアホだったので、ここから侵入することにした。
<0072> 俺はアホだったので、ここから侵入することにした。

// <0073> ■マッピー／既読■　ID:
<0073> ■マッピー／既読■　ID:

// <0074>  (Z
<0074>  (Z

// <0075> -
<0075> -

// <0076> ■マッピー／コンプリート■
<0076> ■マッピー／コンプリート■

// <0077> 俺は指定された以外の箇所から侵入した。
<0077> 俺は指定された以外の箇所から侵入した。

// <0078> するとたちまち警備会社のスタッフが現れて、立ちふさがった。
<0078> するとたちまち警備会社のスタッフが現れて、立ちふさがった。

// <0079> 警備員Ａ＿体験版
<0079> 警備員Ａ＿体験版

// <0080> 「追いつめたぞ薄汚いネズミめ…」
<0080> 「追いつめたぞ薄汚いネズミめ…」

// <0081> 警備員Ｂ＿体験版
<0081> 警備員Ｂ＿体験版

// <0082> 「すぐには殺さん。じわじわと苦しめながら地獄に送ってやる…」
<0082> 「すぐには殺さん。じわじわと苦しめながら地獄に送ってやる…」

// <0083> 瑚太朗＿体験版
<0083> 瑚太朗＿体験版

// <0084> 「くっ…ここで終わるのか…」
<0084> 「くっ…ここで終わるのか…」

// <0085> 脳裏に走馬燈が浮かんだ。
<0085> 脳裏に走馬燈が浮かんだ。

// <0086> 力が湧いてきた。
<0086> 力が湧いてきた。

// <0087> 瑚太朗＿体験版
<0087> 瑚太朗＿体験版

// <0088> 「まだ…終われないんだ…」
<0088> 「まだ…終われないんだ…」

// <0089> 瑚太朗＿体験版
<0089> 瑚太朗＿体験版

// <0090> 「彼女との…約束を守るんだ！」
<0090> 「彼女との…約束を守るんだ！」

// <0091> 警備員Ａ＿体験版
<0091> 警備員Ａ＿体験版

// <0092> 「何だと！？」
<0092> 「何だと！？」

// <0093> 警備員Ｂ＿体験版
<0093> 警備員Ｂ＿体験版

// <0094> 「まだ抵抗するというのか！　その傷ついた体で！」
<0094> 「まだ抵抗するというのか！　その傷ついた体で！」

// <0095> 瑚太朗＿体験版
<0095> 瑚太朗＿体験版

// <0096> 「やってやる！　うぉぉぉぉ！！」
<0096> 「やってやる！　うぉぉぉぉ！！」

// <0097> 最後の力を拳に集め、警備員に突進していった。
<0097> 最後の力を拳に集め、警備員に突進していった。

// <0098> もう絶望はなかった。
<0098> もう絶望はなかった。

// <0099> 美しい青い地球は、俺の心で永遠の輝きを発していた。
<0099> 美しい青い地球は、俺の心で永遠の輝きを発していた。

// <0100> そして俺は――
<0100> そして俺は――

// <0101> 停学となった。
<0101> 停学となった。

// <0102> 　　　　　　　Ｇ
<0102> 　　　　　　　Ｇ

// <0103> Ａ
<0103> Ａ

// <0104> Ｍ
<0104> Ｍ

// <0105> Ｅ
<0105> Ｅ

// <0106> 　
<0106> 　

// <0107> Ｏ
<0107> Ｏ

// <0108> Ｖ
<0108> Ｖ

// <0109> Ｅ
<0109> Ｅ

// <0110> Ｒ
<0110> Ｒ

// <0111> 魔女＿朱音＿体験版
<0111> 魔女＿朱音＿体験版

// <0112> 「…アホね」
<0112> 「…アホね」

// <0113> …ということになりかねないぞ。ちゃんと入ろう。
<0113> …ということになりかねないぞ。ちゃんと入ろう。

// <0114> ■マッピー／既読■　ID:
<0114> ■マッピー／既読■　ID:

// <0115>  (Z
<0115>  (Z

// <0116> -
<0116> -

// <0117> ■マッピー／コンプリート■
<0117> ■マッピー／コンプリート■

// <0118> 瑚太朗
<0118> 瑚太朗

// <0119> 「池がある。鯉が飼われていて、餌をやると一斉に集まってくるぞ」
<0119> 「池がある。鯉が飼われていて、餌をやると一斉に集まってくるぞ」

// <0120> 瑚太朗
<0120> 瑚太朗

// <0121> 「でも今は餌がない」
<0121> 「でも今は餌がない」

// <0122> 
<0122> 

// <0123> 瑚太朗
<0123> 瑚太朗

// <0124> 「何も出来ないってば」
<0124> 「何も出来ないってば」

// <0125> 
<0125> 

// <0126> 瑚太朗
<0126> 瑚太朗

// <0127> 「待て…池に対して何かするっていったら、ダイブくらいしかないじゃないか」
<0127> 「待て…池に対して何かするっていったら、ダイブくらいしかないじゃないか」

// <0128> 瑚太朗
<0128> 瑚太朗

// <0129> 「俺にそんなことをしろというのか？」
<0129> 「俺にそんなことをしろというのか？」

// <0130> 
<0130> 

// <0131> 瑚太朗
<0131> 瑚太朗

// <0132> 「よっしゃあ！　ダーーイブ！！」
<0132> 「よっしゃあ！　ダーーイブ！！」

// <0133> 
<0133> 

// <0134> ばっしゃーん！
<0134> ばっしゃーん！

// <0135> 瑚太朗
<0135> 瑚太朗

// <0136> 「吹っ切れたらどうでもよくなった」
<0136> 「吹っ切れたらどうでもよくなった」

// <0137> 
<0137> 

// <0138> 瑚太朗
<0138> 瑚太朗

// <0139> 「ん、池の中にペットボトルが落ちている」
<0139> 「ん、池の中にペットボトルが落ちている」

// <0140> 瑚太朗
<0140> 瑚太朗

// <0141> 「誰かの秘密を書いた紙が入っている…」
<0141> 「誰かの秘密を書いた紙が入っている…」

// <0142> ネタ『僕が本当の超能力者です』を手に入れた！
<0142> ネタ『僕が本当の超能力者です』を手に入れた！

// <0143> 瑚太朗
<0143> 瑚太朗

// <0144> 「ヒュッヒュウ！　藻くせえけど気にせず泳ぐぜ！」
<0144> 「ヒュッヒュウ！　藻くせえけど気にせず泳ぐぜ！」

// <0145> 瑚太朗
<0145> 瑚太朗

// <0146> 「ヌメる！」
<0146> 「ヌメる！」

// <0147> 
<0147> 

// <0148> ■マッピー／既読■　ID:
<0148> ■マッピー／既読■　ID:

// <0149>  (Z
<0149>  (Z

// <0150> -
<0150> -

// <0151> ■マッピー／コンプリート■
<0151> ■マッピー／コンプリート■

// <0152> １－Ｃ教室――
<0152> １－Ｃ教室――

// <0153> 瑚太朗＿体験版
<0153> 瑚太朗＿体験版

// <0154> 「……で、またこれか」
<0154> 「……で、またこれか」

// <0155> 『Ｋ・Ｔに告ぐ』
<0155> 『Ｋ・Ｔに告ぐ』

// <0156> 『３－Ｂに』
<0156> 『３－Ｂに』

// <0157> 瑚太朗＿体験版
<0157> 瑚太朗＿体験版

// <0158> 「へいへい」
<0158> 「へいへい」

// <0159> ＲＰＧのおつかいイベントみたいだな。
<0159> ＲＰＧのおつかいイベントみたいだな。

// <0160> 指示をこなして、次の教室に向かうことにする。
<0160> 指示をこなして、次の教室に向かうことにする。

// <0161> ■マッピー／既読■　ID:
<0161> ■マッピー／既読■　ID:

// <0162>  (Z
<0162>  (Z

// <0163> -
<0163> -

// <0164> ■マッピー／コンプリート■
<0164> ■マッピー／コンプリート■

// <0165> 『Ｋ・Ｔに告ぐ』
<0165> 『Ｋ・Ｔに告ぐ』

// <0166> 『渡り廊下に』
<0166> 『渡り廊下に』

// <0167> 瑚太朗＿体験版
<0167> 瑚太朗＿体験版

// <0168> 「渡り廊下か」
<0168> 「渡り廊下か」

// <0169> ■マッピー／既読■　ID:
<0169> ■マッピー／既読■　ID:

// <0170>  (Z
<0170>  (Z

// <0171> -
<0171> -

// <0172> ■マッピー／コンプリート■
<0172> ■マッピー／コンプリート■

// <0173> 薄闇立ちこめる前方に誰かが立っている。
<0173> 薄闇立ちこめる前方に誰かが立っている。

// <0174> 瑚太朗＿体験版
<0174> 瑚太朗＿体験版

// <0175> 「げ…」
<0175> 「げ…」

// <0176> 警備員
<0176> 警備員

// <0177> 教職員
<0177> 教職員

// <0178> 学校系怨霊
<0178> 学校系怨霊

// <0179> どれでも漏れなくアウトだ。
<0179> どれでも漏れなくアウトだ。

// <0180> 元教職員の怨霊の現職警備員だったらトリプルで最悪だ。
<0180> 元教職員の怨霊の現職警備員だったらトリプルで最悪だ。

// <0181> 最悪トリプル退学に追い込まれるだろう。
<0181> 最悪トリプル退学に追い込まれるだろう。

// <0182> Ｕターンして引き返そうかとも思ったが、相手の態度が変だ。
<0182> Ｕターンして引き返そうかとも思ったが、相手の態度が変だ。

// <0183> 闇に隠れて正体はわからないが、どうも生きている感じがしない。
<0183> 闇に隠れて正体はわからないが、どうも生きている感じがしない。

// <0184> プレッシャーもない。
<0184> プレッシャーもない。

// <0185> 思い切って近寄ってみる。
<0185> 思い切って近寄ってみる。

// <0186> 瑚太朗＿体験版
<0186> 瑚太朗＿体験版

// <0187> 「…魔女か？」
<0187> 「…魔女か？」

// <0188> そいつが白い口髭の下で、ニヤリと不敵に笑みを浮かべた気がした。
<0188> そいつが白い口髭の下で、ニヤリと不敵に笑みを浮かべた気がした。

// <0189> 慎重に距離を詰める。
<0189> 慎重に距離を詰める。

// <0190> 採光窓からこぼれ落ちる星明かりが、その姿を照らす。
<0190> 採光窓からこぼれ落ちる星明かりが、その姿を照らす。

// <0191> 瑚太朗＿体験版
<0191> 瑚太朗＿体験版

// <0192> 「うおっ、軍曹…！？」
<0192> 「うおっ、軍曹…！？」

// <0193> 俺はのけぞる。
<0193> 俺はのけぞる。

// <0194> 風祭市だけに展開するカザマッリー・フライドチキン（ＫＦＣ）のマスコット、等身大人形だ。
<0194> 風祭市だけに展開するカザマッリー・フライドチキン（ＫＦＣ）のマスコット、等身大人形だ。

// <0195> サージェント・サンダース。
<0195> サージェント・サンダース。

// <0196> 軍務経験のある創設者がモデルと聞く。
<0196> 軍務経験のある創設者がモデルと聞く。

// <0197> 現在は某有名フライドチキン・チェーンに訴えられて大変らしい。
<0197> 現在は某有名フライドチキン・チェーンに訴えられて大変らしい。

// <0198> なんていうか…その…ロゴとかも似てるから…
<0198> なんていうか…その…ロゴとかも似てるから…

// <0199> でもこの界隈じゃ、軍曹の方がメジャーだ。
<0199> でもこの界隈じゃ、軍曹の方がメジャーだ。

// <0200> 瑚太朗＿体験版
<0200> 瑚太朗＿体験版

// <0201> 「なんでこんなところに軍曹が…？」
<0201> 「なんでこんなところに軍曹が…？」

// <0202> 軍曹は人当たりの良い笑みを浮かべ、片手にビラを掲げていた。
<0202> 軍曹は人当たりの良い笑みを浮かべ、片手にビラを掲げていた。

// <0203> 『Ｋ・Ｔに告ぐ』
<0203> 『Ｋ・Ｔに告ぐ』

// <0204> 『部室へ』
<0204> 『部室へ』

// <0205> 『軍曹を持参のこと』
<0205> 『軍曹を持参のこと』

// <0206> 戻るんかい。
<0206> 戻るんかい。

// <0207> わけのわからないお使いを…
<0207> わけのわからないお使いを…

// <0208> 軍曹をかつぐ。
<0208> 軍曹をかつぐ。

// <0209> 等身大なので持ちにくいが、重さ自体はたいしたものでもない。
<0209> 等身大なので持ちにくいが、重さ自体はたいしたものでもない。

// <0210> 瑚太朗＿体験版
<0210> 瑚太朗＿体験版

// <0211> 「結局部室かよ…」
<0211> 「結局部室かよ…」

// <0212> ■マッピー／既読■　ID:
<0212> ■マッピー／既読■　ID:

// <0213>  (Z
<0213>  (Z

// <0214> -
<0214> -

// <0215> ■マッピー／コンプリート■
<0215> ■マッピー／コンプリート■

// <0216> 瑚太朗＿体験版
<0216> 瑚太朗＿体験版

// <0217> （廊下に何か落ちてる…）
<0217> （廊下に何か落ちてる…）

// <0218> 瑚太朗＿体験版
<0218> 瑚太朗＿体験版

// <0219> （えろほんじゃないか…いつだっておまえたちは唐突に現れるんだな…）
<0219> （えろほんじゃないか…いつだっておまえたちは唐突に現れるんだな…）

// <0220> 瑚太朗＿体験版
<0220> 瑚太朗＿体験版

// <0221> （よし、読んでやるぞ）
<0221> （よし、読んでやるぞ）

// <0222> 
<0222> 

// <0223> 瑚太朗＿体験版
<0223> 瑚太朗＿体験版

// <0224> 「…」
<0224> 「…」

// <0225> 瑚太朗＿体験版
<0225> 瑚太朗＿体験版

// <0226> 「………」
<0226> 「………」

// <0227> 瑚太朗＿体験版
<0227> 瑚太朗＿体験版

// <0228> 「４５点くらい…な」
<0228> 「４５点くらい…な」

// <0229> 
<0229> 

// <0230> えろほん（ランクＣ）を手に入れた！
<0230> えろほん（ランクＣ）を手に入れた！

// <0231> ■マッピー／既読■　ID:
<0231> ■マッピー／既読■　ID:

// <0232>  (Z
<0232>  (Z

// <0233> -
<0233> -

// <0234> ■マッピー／コンプリート■
<0234> ■マッピー／コンプリート■

// <0235> 瑚太朗＿体験版
<0235> 瑚太朗＿体験版

// <0236> （ふん…落書きか）
<0236> （ふん…落書きか）

// <0237> 
<0237> 

// <0238> 『わたし杏奈、えっちなこと大好き！　ここに電話ちょーだい！　せくしー体験、させてあげる♪』
<0238> 『わたし杏奈、えっちなこと大好き！　ここに電話ちょーだい！　せくしー体験、させてあげる♪』

// <0239> 瑚太朗＿体験版
<0239> 瑚太朗＿体験版

// <0240> 「せ、せくしー体験…一体どんなほどせくしーなんだ…」
<0240> 「せ、せくしー体験…一体どんなほどせくしーなんだ…」

// <0241> 瑚太朗＿体験版
<0241> 瑚太朗＿体験版

// <0242> 「もしもし？　あ、杏奈さんですか？　僕の名前は天王…」
<0242> 「もしもし？　あ、杏奈さんですか？　僕の名前は天王…」

// <0243> 
<0243> 

// <0244> 電話の相手＿体験版
<0244> 電話の相手＿体験版

// <0245> 『はいこちら風祭警察署夜間窓口です』
<0245> 『はいこちら風祭警察署夜間窓口です』

// <0246> 瑚太朗＿体験版
<0246> 瑚太朗＿体験版

// <0247> 「…ちっ」
<0247> 「…ちっ」

// <0248> 
<0248> 

// <0249> ■友達■　ID:
<0249> ■友達■　ID:

// <0250> 　NO:
<0250> 　NO:

// <0251> ■マッピー／既読■　ID:
<0251> ■マッピー／既読■　ID:

// <0252>  (Z
<0252>  (Z

// <0253> -
<0253> -

// <0254> ■マッピー／コンプリート■
<0254> ■マッピー／コンプリート■

// <0255> 瑚太朗＿体験版
<0255> 瑚太朗＿体験版

// <0256> （…落書きだ）
<0256> （…落書きだ）

// <0257> 
<0257> 

// <0258> 『最近、彼氏がかまってくれない（ビェェン）…誰かあそんでくんないかなぁ。お医者さんごっこしたーい。ケータイバンゴーはこっちね』
<0258> 『最近、彼氏がかまってくれない（ビェェン）…誰かあそんでくんないかなぁ。お医者さんごっこしたーい。ケータイバンゴーはこっちね』

// <0259> 瑚太朗＿体験版
<0259> 瑚太朗＿体験版

// <0260> 「お、お医者さんごっこ…俺もしてみたい…！」
<0260> 「お、お医者さんごっこ…俺もしてみたい…！」

// <0261> 瑚太朗＿体験版
<0261> 瑚太朗＿体験版

// <0262> 「もしもし？　む、胸をさわって心音を確かめるのが得意な者ですが…」
<0262> 「もしもし？　む、胸をさわって心音を確かめるのが得意な者ですが…」

// <0263> 
<0263> 

// <0264> 電話の相手＿体験版
<0264> 電話の相手＿体験版

// <0265> 『ヘイこちら指定暴力団』
<0265> 『ヘイこちら指定暴力団』

// <0266> 瑚太朗＿体験版
<0266> 瑚太朗＿体験版

// <0267> 「…くっそ」
<0267> 「…くっそ」

// <0268> 
<0268> 

// <0269> ■友達■　ID:
<0269> ■友達■　ID:

// <0270> 　NO:
<0270> 　NO:

// <0271> ■マッピー／既読■　ID:
<0271> ■マッピー／既読■　ID:

// <0272>  (Z
<0272>  (Z

// <0273> -
<0273> -

// <0274> ■マッピー／コンプリート■
<0274> ■マッピー／コンプリート■

// <0275> 一年生男子＿体験版
<0275> 一年生男子＿体験版

// <0276> 「ひ、ひぃっ」
<0276> 「ひ、ひぃっ」

// <0277> 夜中だというのに、ひどく慌てた様子の一年が走ってきた。
<0277> 夜中だというのに、ひどく慌てた様子の一年が走ってきた。

// <0278> 瑚太朗＿体験版
<0278> 瑚太朗＿体験版

// <0279> 「どうした一年」
<0279> 「どうした一年」

// <0280> 
<0280> 

// <0281> 一年生男子＿体験版
<0281> 一年生男子＿体験版

// <0282> 「ああ、あなたは二年生の人ですね！　助けてください！」
<0282> 「ああ、あなたは二年生の人ですね！　助けてください！」

// <0283> 瑚太朗＿体験版
<0283> 瑚太朗＿体験版

// <0284> 「理由を話してみろ」
<0284> 「理由を話してみろ」

// <0285> 
<0285> 

// <0286> 一年生男子＿体験版
<0286> 一年生男子＿体験版

// <0287> 「ぼ、僕は忘れ物を取りに来たんです！　そうしたら…」
<0287> 「ぼ、僕は忘れ物を取りに来たんです！　そうしたら…」

// <0288> 瑚太朗＿体験版
<0288> 瑚太朗＿体験版

// <0289> 「そうしたら？」
<0289> 「そうしたら？」

// <0290> 
<0290> 

// <0291> 一年生男子＿体験版
<0291> 一年生男子＿体験版

// <0292> 「オッサンが…いたんです！」
<0292> 「オッサンが…いたんです！」

// <0293> 瑚太朗＿体験版
<0293> 瑚太朗＿体験版

// <0294> 「何ぃ…どういうことだ？」
<0294> 「何ぃ…どういうことだ？」

// <0295> 
<0295> 

// <0296> 一年生男子＿体験版
<0296> 一年生男子＿体験版

// <0297> 「うちの制服を着た……オッサンの軍団です。ああ、マジで思い出すだけでも震えが来ます。あれはキてます」
<0297> 「うちの制服を着た……オッサンの軍団です。ああ、マジで思い出すだけでも震えが来ます。あれはキてます」

// <0298> 瑚太朗＿体験版
<0298> 瑚太朗＿体験版

// <0299> 「おい、落ち着け」
<0299> 「おい、落ち着け」

// <0300> 
<0300> 

// <0301> 一年生＿体験版
<0301> 一年生＿体験版

// <0302> 「やっぱりあの噂は本当だったんだ！　あいつらは…実在した！　うわぁぁ！」
<0302> 「やっぱりあの噂は本当だったんだ！　あいつらは…実在した！　うわぁぁ！」

// <0303> 一年生はパニックになって逃げ去った。
<0303> 一年生はパニックになって逃げ去った。

// <0304> 瑚太朗＿体験版
<0304> 瑚太朗＿体験版

// <0305> 「ああもう…場所くらい教えろって」
<0305> 「ああもう…場所くらい教えろって」

// <0306> 瑚太朗＿体験版
<0306> 瑚太朗＿体験版

// <0307> 「それに、あいつらって…？」
<0307> 「それに、あいつらって…？」

// <0308> 
<0308> 

// <0309> ネタ『恐怖！　オッサン軍団』を入手した！
<0309> ネタ『恐怖！　オッサン軍団』を入手した！

// <0310> ■マッピー／既読■　ID:
<0310> ■マッピー／既読■　ID:

// <0311>  (Z
<0311>  (Z

// <0312> -
<0312> -

// <0313> ■マッピー／コンプリート■
<0313> ■マッピー／コンプリート■

// <0314> 廊下でビラを拾った。
<0314> 廊下でビラを拾った。

// <0315> 『無料で彼女をゲットできる！』
<0315> 『無料で彼女をゲットできる！』

// <0316> 深夜の学校で、指定された場所に行くと、闇の合コンに参加できると書いてあった。
<0316> 深夜の学校で、指定された場所に行くと、闇の合コンに参加できると書いてあった。

// <0317> 闇の合コン。
<0317> 闇の合コン。

// <0318> 魅惑の響きだ。
<0318> 魅惑の響きだ。

// <0319> 無視できぬ響きだ。
<0319> 無視できぬ響きだ。

// <0320> そこは目の前の男子便所だった。
<0320> そこは目の前の男子便所だった。

// <0321> 瑚太朗
<0321> 瑚太朗

// <0322> 「…クッソ」
<0322> 「…クッソ」

// <0323> 
<0323> 

// <0324> 悪戯だ。
<0324> 悪戯だ。

// <0325> ハイエナ系男子
<0325> ハイエナ系男子

// <0326> 「…クッソ」
<0326> 「…クッソ」

// <0327> 俺以外にも、騙されたヤツがいたらしい。
<0327> 俺以外にも、騙されたヤツがいたらしい。

// <0328> そいつも手に、例のビラを持っていた。
<0328> そいつも手に、例のビラを持っていた。

// <0329> ハイエナ系男子
<0329> ハイエナ系男子

// <0330> 「そっちも一杯食わされたみたいだな」
<0330> 「そっちも一杯食わされたみたいだな」

// <0331> 瑚太朗
<0331> 瑚太朗

// <0332> 「そのようだな…」
<0332> 「そのようだな…」

// <0333> 
<0333> 

// <0334> ハイエナ系男子
<0334> ハイエナ系男子

// <0335> 「深夜の学校に来るといろいろ楽しいって噂があったから、つい信じちまったぜ」
<0335> 「深夜の学校に来るといろいろ楽しいって噂があったから、つい信じちまったぜ」

// <0336> 瑚太朗
<0336> 瑚太朗

// <0337> 「そんな噂が出回っているのか…」
<0337> 「そんな噂が出回っているのか…」

// <0338> 
<0338> 

// <0339> 道理でやけに変なことばかりあるはずだ。
<0339> 道理でやけに変なことばかりあるはずだ。

// <0340> ハイエナ系男子
<0340> ハイエナ系男子

// <0341> 「二枚目のビラが落ちてたぜ。読むか？」
<0341> 「二枚目のビラが落ちてたぜ。読むか？」

// <0342> こんなことが書いてあった。
<0342> こんなことが書いてあった。

// <0343> 『便所を掃除すると、合コンへの扉が開くであろう――』
<0343> 『便所を掃除すると、合コンへの扉が開くであろう――』

// <0344> 瑚太朗
<0344> 瑚太朗

// <0345> 「…やられたな」
<0345> 「…やられたな」

// <0346> 
<0346> 

// <0347> ハイエナ系男子
<0347> ハイエナ系男子

// <0348> 「だな」
<0348> 「だな」

// <0349> だけど俺は諦めない。
<0349> だけど俺は諦めない。

// <0350> この深夜の校舎で、不思議なことを追っていくんだ。
<0350> この深夜の校舎で、不思議なことを追っていくんだ。

// <0351> ハイエナ系男子と知り合いになった！
<0351> ハイエナ系男子と知り合いになった！

// <0352> ■友達■　ID:
<0352> ■友達■　ID:

// <0353> 　NO:
<0353> 　NO:

// <0354> ■マッピー／既読■　ID:
<0354> ■マッピー／既読■　ID:

// <0355>  (Z
<0355>  (Z

// <0356> -
<0356> -

// <0357> ■マッピー／コンプリート■
<0357> ■マッピー／コンプリート■

// <0358> 廊下に子供がいた。
<0358> 廊下に子供がいた。

// <0359> 小学生高学年くらい。
<0359> 小学生高学年くらい。

// <0360> 瑚太朗＿体験版
<0360> 瑚太朗＿体験版

// <0361> 「何してんだよ、こんなところで。夜中だぞ」
<0361> 「何してんだよ、こんなところで。夜中だぞ」

// <0362> 
<0362> 

// <0363> 子供＿体験版
<0363> 子供＿体験版

// <0364> 「おれ、スクモンハンターだから、いいんだ」
<0364> 「おれ、スクモンハンターだから、いいんだ」

